Description,Easting,Northing,Elevation,year,X,Y,Xnew,Ynew,Xnew_flipped,type,square,spit,cnr,find,findn,depth_below_ground_surface
EL_E4_1_N,5000.490999,5014.432977,100.664748,2012,1.3021960606338325,2.0285423408868155,-0.554629848973998,2.345865371185634,0.554629848973998,EL,E4,1,N,,,0.028464999999997076
EL_E4_1_E,5001.202183,5013.746351,100.640463,2012,2.0133800606345176,1.3419163408862005,0.4333174793107585,2.3804778294749633,-0.4333174793107585,EL,E4,1,E,,,0.05275000000000318
EL_E4_1_S,5000.548416,5013.096635,100.655177,2012,1.3596130606338193,0.692200340886302,0.4465393381471602,1.4588665484053949,-0.4465393381471602,EL,E4,1,S,,,0.03803600000000529
EL_E4_1_W,4999.836541,5013.718075,100.683165,2012,0.6477380606338556,1.3136403408861952,-0.4949971148456878,1.3784750257773088,0.4949971148456878,EL,E4,1,W,,,0.010047999999997614
EL_E3_1_N,5001.227387,5013.739972,100.64212,2012,2.0385840606340935,1.3355373408867308,0.4554143174654913,2.394176844057604,-0.4554143174654913,EL,E3,1,N,,,0.051092999999994504
EL_E3_1_E,5001.952075,5013.122105,100.685227,2012,2.7632720606343355,0.7176703408867979,1.4032812270526422,2.486267281905252,-1.4032812270526422,EL,E3,1,E,,,0.007986000000002491
EL_E2_1_N,5001.983691,5013.09989,100.675652,2012,2.7948880606345483,0.6954553408868378,1.4412236797577163,2.493578093333193,-1.4412236797577163,EL,E2,1,N,,,0.017561000000000604
EL_E2_1_E,5002.460517,5012.640221,100.659971,2012,3.271714060634622,0.23578634088607942,2.1031130585926623,2.51726509447848,-2.1031130585926623,EL,E2,1,E,,,0.033242000000001326
EL_E2_1_S,5002.020319,5011.792601,100.69851,2012,2.831516060634385,-0.6118336591134721,2.407052634795913,1.611806825080692,-2.407052634795913,EL,E2,1,S,,,-0.005296999999998775
EL_E2_1_W,5001.363284,5012.363932,100.680505,2012,2.174481060634207,-0.04050265911337192,1.539656644893908,1.5360552608178375,-1.539656644893908,EL,E2,1,W,,,0.012708000000003494
EL_E3_1_S,5001.299764,5012.419905,100.714987,2012,2.1109610606345086,0.015470340886167833,1.4552683385585377,1.529244909669925,-1.4552683385585377,EL,E3,1,S,,,-0.02177399999999352
EL_C4_2_N,4999.165285,5013.016124,100.886064,2012,-0.02351793936577451,0.611689340886187,-0.4563494217787333,0.407997730959384,0.4563494217787333,EL,C4,2,N,,,-0.19285100000000455
EL_C4_2_EN,4999.875504,5012.306182,100.885041,2012,0.6867010606338226,-0.09825265911331371,0.547699687961669,0.42571937177575603,-0.547699687961669,EL,C4,2,,,,-0.191828000000001
EL_C4_2_S,4999.224061,5011.679598,100.864629,2012,0.03525806063407799,-0.724836659113862,0.5458961645907134,-0.47815132617213335,-0.5458961645907134,EL,C4,2,S,,,-0.17141599999999357
EL_E3_1_W,5000.590508,5013.061688,100.665632,2012,1.4017050606344128,0.6572533408862,0.5009176662794408,1.4648687732091747,-0.5009176662794408,EL,E3,1,W,,,0.027580999999997857
EL_D4_1_N,4999.795679,5013.698076,100.676204,2012,0.606876060634022,1.2936413408860972,-0.5089961685122246,1.335188890105113,0.5089961685122246,EL,D4,1,N,,,0.017009000000001606
EL_D4_1_E,5000.53919,5013.05019,100.662864,2012,1.3503870606346027,0.6457553408863532,0.47354015704854147,1.4199665113921016,-0.47354015704854147,EL,D4,1,E,,,0.03034900000000107
EL_D3_1_N,5000.562113,5013.020243,100.666735,2012,1.3733100606341395,0.6158083408863604,0.5110058798749878,1.4156530034148005,-0.5110058798749878,EL,D3,1,N,,,0.026477999999997337
EL_D3_1_E,5001.279195,5012.375927,100.710644,2012,2.090392060634258,-0.02850765911352937,1.472615036275468,1.4838991235007437,-1.472615036275468,EL,D3,1,E,,,-0.017431000000001973
EL_D2_1_N,5001.313387,5012.34503,100.695786,2012,2.1245840606343336,-0.059404659113170055,1.5185922370890592,1.487031930282155,-1.5185922370890592,EL,D2,1,N,,,-0.00257299999999816
EL_D2_1_W,5001.968245,5011.755073,100.702846,2012,2.77944206063421,-0.6493616591133105,2.397874378839502,1.5482787849912585,-2.397874378839502,EL,D2,1,W,,,-0.009632999999993785
EL_D2_1_S,5001.01127,5011.377112,100.786117,2012,1.8224670606341533,-1.0273226591134517,2.004986075045362,0.5973348072049858,-2.004986075045362,EL,D2,1,S,,,-0.09290400000000432
EL_C2_1_E,5000.890167,5011.354241,100.784259,2012,1.7013640606337503,-1.0501936591135745,1.9373128829810198,0.4943330677734312,-1.9373128829810198,EL,C2,1,E,,,-0.09104600000000573
EL_C2_1_S,5000.343267,5010.67336,100.725028,2012,1.154464060634382,-1.7310746591138013,2.047189022771977,-0.372053554967973,-2.047189022771977,EL,C2,1,S,,,-0.0318149999999946
EL_B2_1_E,5000.25131,5010.610988,100.680431,2012,1.062507060633834,-1.793446659113215,2.028176985025599,-0.4815291168699696,-2.028176985025599,EL,B2,1,E,,,0.012782000000001403
EL_B2_1_S,5000.202715,5010.41162,100.658363,2012,1.0139120606345386,-1.9928146591137192,2.1378333988279126,-0.6549780844689393,-2.1378333988279126,EL,B2,1,S,,,0.03485000000000582
EL_B2_1_W,4999.876633,5010.725457,100.671789,2012,0.6878300606340417,-1.6789776591140253,1.6855623631528955,-0.671532346233797,-1.6855623631528955,EL,B2,1,W,,,0.021423999999996113
EL_B2_1_N,4999.962545,5010.869078,100.681598,2012,0.773742060634504,-1.5353566591138588,1.6419295516115329,-0.5099648954829628,-1.6419295516115329,EL,B2,1,N,,,0.011615000000006148
EL_C2_1_N,5000.633849,5011.608762,100.766433,2012,1.445046060634013,-0.795672659113734,1.5761723534600138,0.48675847193790145,-1.5761723534600138,EL,C2,1,N,,,-0.07322000000000628
EL_C3_1_W,5000.62138,5011.623901,100.758068,2012,1.4325770606337755,-0.7805336591136438,1.556620573001204,0.4883054570377493,-1.556620573001204,EL,C3,1,W,,,-0.06485499999999433
EL_C3_1_S,4999.954848,5010.94229,100.699644,2012,0.7660450606344966,-1.4621446591136191,1.583918460671539,-0.4646443253079642,-1.583918460671539,EL,C3,1,S,,,-0.006431000000006293
EL_C2_1_W,5000.011937,5010.886365,100.695198,2012,0.823134060634402,-1.51806965911328,1.6638048907163023,-0.462426704814183,-1.6638048907163023,EL,C2,1,W,,,-0.0019850000000047885
EL_B3_1_E,4999.941997,5010.898044,100.687297,2012,0.7531940606340868,-1.506390659114004,1.6068193147585466,-0.5046244153420071,-1.6068193147585466,EL,B3,1,E,,,0.005915999999999144
EL_B3_1_N,4999.23972,5011.552833,100.645166,2012,0.05091706063376478,-0.8516016591138396,0.6479609298034265,-0.5549455525700749,-0.6479609298034265,EL,B3,1,N,,,0.04804699999999684
EL_B3_1_W,4998.549487,5010.802038,100.647342,2012,-0.6393159393655878,-1.602396659113765,0.7085615241820549,-1.5730036522254687,-0.7085615241820549,EL,B3,1,W,,,0.045871000000005324
EL_C3_1_W,4999.279207,5011.567353,100.650292,2012,0.09040406063377304,-0.8370816591132098,0.6649460909763762,-0.5164545423345945,-0.6649460909763762,EL,C3,1,W,,,0.04292100000000687
EL_C4_1_S,4999.291177,5011.658958,100.654853,2012,0.10237406063424714,-0.7454766591135922,0.6073660292613527,-0.4442098648985692,-0.6073660292613527,EL,C4,1,S,,,0.038359999999997285
EL_C4_1_E,4999.844459,5012.315497,100.718934,2012,0.6556560606341009,-0.08893765911398077,0.519433368611288,0.40985821039480497,-0.519433368611288,EL,C4,1,E,,,-0.025721000000004324
EL_C3_1_N,4999.898564,5012.271344,100.726511,2012,0.7097610606342641,-0.13309065911380458,0.5887788699493112,0.4181068392614914,-0.5887788699493112,EL,C3,1,N,,,-0.03329800000000205
EL_C4_1_N,4999.143399,5012.920922,100.717989,2012,-0.04540393936622422,0.5164873408866697,-0.4030701272034182,0.3261213939047467,0.4030701272034182,EL,C4,1,N,,,-0.024776000000002796
EL_C4_1_W,4998.564172,5012.286467,100.674578,2012,-0.6246309393654883,-0.11796765911367402,-0.34904627812465455,-0.5312691170552817,0.34904627812465455,EL,C4,1,W,,,0.018635000000003288
PF_C2_2_HB1,5000.871592,5011.286093,100.717908,2012,1.6827890606346045,-1.1183416591138666,1.9734311724640259,0.4336317523525126,-1.9734311724640259,PF,C2,2,,HB,1,-0.02469499999999414
PF_C2_2_HB2,5000.694595,5011.06977,100.733051,2012,1.5057920606341213,-1.334664659113514,2.0060884684959635,0.15604018303906786,-2.0060884684959635,PF,C2,2,,HB,2,-0.03983800000000315
EL_E2_2_N,5001.993059,5013.098337,100.64783,2012,2.8042560606345432,0.6939023408867797,1.4488483740821403,2.4992380641333987,-1.4488483740821403,EL,E2,2,N,,,0.04538300000000106
EL_E2_2_E,5002.457225,5012.662584,100.641943,2012,3.2684220606342933,0.2581493408861206,2.08473964728188,2.530431672994132,-2.08473964728188,EL,E2,2,E,,,0.05127000000000237
EL_E2_2_W,5001.34803,5012.356178,100.65591,2012,2.1592270606342936,-0.04825665911357646,1.5346380869229594,1.5196960704988527,-1.5346380869229594,EL,E2,2,W,,,0.03730299999999431
EL_E2_2_S,5002.034792,5011.809766,100.638103,2012,2.8459890606345652,-0.5946686591132675,2.4047589577187307,1.634141640940194,-2.4047589577187307,EL,E2,2,S,,,0.055109999999999104
EL_C2_2_N,5000.648697,5011.59701,100.66192,2012,1.4598940606338147,-0.8074246591131669,1.5949403222776233,0.4892756041239469,-1.5949403222776233,EL,C2,2,N,,,0.03129300000000512
EL_C2_2_W,5000.002404,5010.900798,100.687781,2012,0.8136010606340278,-1.5036366591139085,1.6468004811326211,-0.4592581668706823,-1.6468004811326211,EL,C2,2,W,,,0.005431999999998993
EL_C2_2_S,5000.308095,5010.658784,100.682739,2012,1.119292060634507,-1.7456506591133802,2.0332415954957135,-0.4074795148329118,-2.0332415954957135,EL,C2,2,S,,,0.010474000000002093
EL_C2_2_E,5000.968132,5011.229829,100.684605,2012,1.7793290606341543,-1.1746056591136949,2.080966426073955,0.4639925581214962,-2.080966426073955,EL,C2,2,E,,,0.008607999999995286
EL_B3_2_N,4999.256382,5011.530017,100.645414,2012,0.0675790606337614,-0.8744176591135329,0.6759477844563179,-0.5588092381970142,-0.6759477844563179,EL,B3,2,N,,,0.047798999999997704
EL_B3_2_E,4999.946058,5010.89344,100.663371,2012,0.757255060634634,-1.5109946591137486,1.6129521628419363,-0.5049013835498541,-1.6129521628419363,EL,B3,2,E,,,0.029842000000002145
EL_B3_2_W,4998.581173,5010.799067,100.645486,2012,-0.6076299393662339,-1.6053676591136536,0.7327096278546958,-1.5522744813309592,-0.7327096278546958,EL,B3,2,W,,,0.047726999999994746
EL_B3_2_S,4999.441849,5011.08477,100.703144,2012,0.2530460606340057,-1.3196646591131866,1.1250678765315407,-0.7346899989189466,-1.1250678765315407,EL,B3,2,S,,,-0.009930999999994583
PF_B2_2_HB3,5000.26592,5010.463145,100.642153,2012,1.0771170606340092,-1.9412896591138633,2.1446752979200605,-0.5737199398511158,-2.1446752979200605,PF,B2,2,,HB,3,0.05106000000000677
EL_B2_2_N,4999.965083,5010.866083,100.662026,2012,0.7762800606342353,-1.5383516591136868,1.6458470172574617,-0.5102197128893019,-1.6458470172574617,EL,B2,2,N,,,0.03118700000000274
EL_B2_2_E,5000.292475,5010.583282,100.646247,2012,1.1036720606343806,-1.8211526591139773,2.0767026253546543,-0.47116369880110254,-2.0767026253546543,EL,B2,2,E,,,0.04696599999999762
EL_B2_2_S,5000.231694,5010.373458,100.614615,2012,1.042891060634247,-2.0309766591135485,2.185415349205642,-0.660641889128473,-2.185415349205642,EL,B2,2,S,,,0.0785979999999995
EL_B2_2_W,4999.87069,5010.703732,100.666949,2012,0.681887060633926,-1.700702659113631,1.6970616656192508,-0.6908988357652406,-1.6970616656192508,EL,B2,2,W,,,0.026263999999997623
EL_D3_2_N,5000.564437,5013.010329,100.638058,2012,1.3756340606341837,0.6058943408861523,0.5197518007086722,1.4104379060259444,-0.5197518007086722,EL,D3,2,N,,,0.05515499999999918
EL_D3_2_E,5001.318516,5012.351985,100.653716,2012,2.129713060634458,-0.052449659113335656,1.5171521315599936,1.495552773084609,-1.5171521315599936,EL,D3,2,E,,,0.03949699999999723
EL_D3_2_S,5000.66468,5011.65044,100.666215,2012,1.4758770606340477,-0.753994659113232,1.567608721480784,0.5378884088865061,-1.567608721480784,EL,D3,2,S,,,0.026998000000006073
EL_D3_2_SW,5000.316389,5011.959284,100.735326,2012,1.1275860606338028,-0.445150659114006,1.1035016816798457,0.5018899002520819,-1.1035016816798457,EL,D3,2,,,,-0.04211300000000051
EL_D3_2_W,4999.935606,5012.297422,100.67955,2012,0.7468030606341927,-0.1070126591139342,0.5957514619946657,0.46286792513032393,-0.5957514619946657,EL,D3,2,W,,,0.013662999999993986
EL_D3_2_C,5000.626115,5012.363359,100.727231,2012,1.4373120606342127,-0.041075659113630536,1.0279882103068032,1.0053822202955458,-1.0279882103068032,EL,D3,2,C,,,-0.03401800000000321
EL_C3_2_N,4999.930329,5012.262072,100.672918,2012,0.7415260606339871,-0.1423626591131324,0.6175144117150053,0.4345157956086204,-0.6175144117150053,EL,C3,2,N,,,0.020295000000004393
EL_C3_2_E,5000.646445,5011.625655,100.676662,2012,1.4576420606344982,-0.7787796591137521,1.5727704630475445,0.5075541399154674,-1.5727704630475445,EL,C3,2,E,,,0.016551000000006866
EL_C3_2_S,4999.977741,5010.898817,100.6726,2012,0.7889380606338818,-1.5056176591133408,1.6310931338859518,-0.4783753625980244,-1.6310931338859518,EL,C3,2,S,,,0.020612999999997328
EL_C3_2_W,4999.2491900000005,5011.574517,100.639574,2012,0.060387060634639056,-0.829917659113562,0.6389411803415375,-0.5330704325550134,-0.6389411803415375,EL,C3,2,W,,,0.05363900000000399
EL_C3_2_C,4999.945733,5011.641349,100.711827,2012,0.7569300606337492,-0.7630856591131305,1.0747256881389977,0.014406078206447015,-1.0747256881389977,EL,C3,2,C,,,-0.018613999999999464
EL_D4_2_N,4999.803596,5013.683779,100.659406,2012,0.6147930606339287,1.2793443408863823,-0.49321215706812893,1.3309523725820727,0.49321215706812893,EL,D4,2,N,,,0.033806999999995924
EL_D4_2_E,5000.535958,5013.035362,100.634136,2012,1.3471550606345772,0.6309273408860463,0.48196139175484265,1.4073412108400094,-0.48196139175484265,EL,D4,2,E,,,0.059077000000002045
EL_D4_2_S,4999.91801,5012.32767,100.680121,2012,0.7292070606345078,-0.07676465911390551,0.5617696630276239,0.4712224483934554,-0.5617696630276239,EL,D4,2,S,,,0.013092000000000326
EL_D4_2_W,4999.176751,5012.978625,100.682367,2012,-0.01205193936584692,0.5741903408861617,-0.4214099457301834,0.39019668687615544,0.4214099457301834,EL,D4,2,W,,,0.0108460000000008
EL_D4_2_C,4999.903635,5012.963502,100.663204,2012,0.714832060633853,0.5590673408860312,0.09440468502294125,0.9025679597687576,-0.09440468502294125,EL,D4,2,C,,,0.030009000000006836
EL_C4_2_W,4998.531736,5012.301076,100.879646,2012,-0.6570669393659045,-0.10335865911383735,-0.38208705217218164,-0.5444533586854435,0.38208705217218164,EL,C4,2,W,,,-0.18643299999999385
EL_C4_2_C,4999.194109,5012.330875,100.867998,2012,0.0053060606342114625,-0.07355965911392559,0.05660028993370844,-0.047281972334400436,-0.05660028993370844,EL,C4,2,C,,,-0.17478499999999997
EL_C4_2_N,4999.122498,5012.974047,100.891318,2012,-0.06630493936609128,0.569612340886124,-0.4558041086968877,0.34799019866821934,0.4558041086968877,EL,C4,2,N,,,-0.1981049999999982
EL_C4_2_E,4999.894816,5012.30142,100.889755,2012,0.7060130606341772,-0.10301465911379637,0.5645404265417794,0.4363032988396901,-0.5645404265417794,EL,C4,2,E,,,-0.19654199999999378
EL_C4_2_S,4999.194422,5011.678777,100.857455,2012,0.005619060633762274,-0.7256576591134944,0.5258977631242737,-0.5000421530364894,-0.5258977631242737,EL,C4,2,S,,,-0.16424200000000155
EL_E3_2_N,5001.23775,5013.777061,100.841134,2012,2.0489470606344184,1.3726263408861996,0.4359334683044056,2.4273955467103323,-0.4359334683044056,EL,E3,2,N,,,-0.14792099999999664
EL_E3_2_E,5001.964114,5013.126193,100.86379,2012,2.7753110606345217,0.7217583408864812,1.408703558071171,2.4977671771798793,-1.408703558071171,EL,E3,2,E,,,-0.17057699999999443
EL_E3_2_S,5001.292249,5012.388505,100.871408,2012,2.103446060634269,-0.015929659113680827,1.4726352506348965,1.5020267982379005,-1.4726352506348965,EL,E3,2,S,,,-0.17819500000000232
EL_E3_2_W,5000.566649,5013.046531,100.852781,2012,1.3778460606345106,0.6420963408863827,0.49524684557232906,1.4371771079920452,-0.49524684557232906,EL,E3,2,W,,,-0.15956799999999305
EL_E3_2_C,5001.276913,5013.061624,100.868772,2012,2.0881100606338805,0.6571893408863616,0.9777806828010844,1.9585827507246467,-0.9777806828010844,EL,E3,2,C,,,-0.1755590000000069
EL_E4_2_N,5000.462338,5014.447415,100.864457,2012,1.2735350606344582,2.0429803408860607,-0.5849252805660351,2.335277850720741,0.5849252805660351,EL,E4,2,N,,,-0.1712440000000015
EL_E4_2_E,5001.196831,5013.78809,100.832307,2012,2.0080280606343877,1.3836553408864347,0.3995751437854682,2.4056222685882083,-0.3995751437854682,EL,E4,2,E,,,-0.13909400000000005
