Lab ID,Sample ID,source,pretreat,Mean ?13C (‰),1? ?13C (‰),Mean 14C Age (BP),1? 14C Age (BP),1? range lower Calibrated Age (cal BP)(a),1? range upper Calibrated Age (cal BP)(a),2? range lower Calibrated Age (cal BP)(a),2s upper Calibrated Age (cal BP)(a),Median,Depth mbs
OZQ460,C14X14-E4/6A,Radiocarbon Results for AINSE Grant 15/001 - Feb 2016,,-25.8,0.1,330,20,440,315,465,305,385,0.199732
OZQ463,C14X196-C2/37A,Radiocarbon Results for AINSE Grant 15/001 - Feb 2016,,-25.4,0.1,24520,100,29520,29280,29660,28600,29390,1.896983
OZQ464,C14X2-C3/4,Radiocarbon Results for AINSE Grant 15/001 - Feb 2016,,-25.1,0.1,145,20,275,10,285,5,150,0.137827
OZQ466,C14X221-D2/38,Radiocarbon Results for AINSE Grant 15/001 - Feb 2016,,-25.8,0.1,31370,170,36350,35420,36450,35210,35800,2.019678
OZQ469,C14X228-E2/34,Radiocarbon Results for AINSE Grant 15/001 - Feb 2016,,-22.5,0.1,28200,130,32800,32130,33020,31820,32450,1.779469
OZQ470,C14X229-E2/38,Radiocarbon Results for AINSE Grant 15/001 - Feb 2016,,-23.1,0.1,31850,170,36650,36300,36760,35570,36440,2.036075
OZQ471,C14X3-B3/5,Radiocarbon Results for AINSE Grant 15/001 - Feb 2016,,-24.4,0.1,775,20,725,675,730,670,700,0.152151
OZQ472,C14X72-D3/16,Radiocarbon Results for AINSE Grant 15/001 - Feb 2016,,-25.5,0.1,7485,35,8375,8215,8380,8200,8315,0.72421
OZQ508,C14X1-C2/4,Radiocarbon Results for AINSE Grant 15/001 - Feb 2016,,-24.6,0.1,175,20,285,0,290,0,185,0.128003
OZQ509,C14X105-C2/21,Radiocarbon Results for AINSE Grant 15/001 - Feb 2016,,-26.1,0.1,8255,35,9300,9135,9405,9090,9235,1.009947
OZQ510,C14X126-C3/25,Radiocarbon Results for AINSE Grant 15/001 - Feb 2016,,-24.3,0.1,16130,40,19440,18990,19450,18930,19300,1.184901
OZQ512,C14X158-C1/29,Radiocarbon Results for AINSE Grant 15/001 - Feb 2016,,-22.9,0.1,23270,70,28290,27920,28480,27810,28120,1.578845
OZQ513,C14X177-C2/33A,Radiocarbon Results for AINSE Grant 15/001 - Feb 2016,,-23.5,0.1,28640,140,33320,32870,33570,32410,33080,1.76381
OZQ516,C14X220-C2/38A,Radiocarbon Results for AINSE Grant 15/001 - Feb 2016,,-22.9,0.3,31650,180,36540,35620,36640,35350,36190,1.994
OZQ697,C14X197 B2/38A,Radiocarbon Results for AINSE Grant 15/001 - Feb 2016,,-23.5,0.1,24130,90,29200,28730,29340,28520,28950,1.95518
OZQ698,C14X198 B1/39,Radiocarbon Results for AINSE Grant 15/001 - Feb 2016,,-24.6,0.1,31950,140,36660,36390,36810,35690,36520,2.097115
OZR149,C14X29 D3/9,Radiocarbon Results for AINSE Grant 15/001 - Feb 2016,,-23.3,0.1,1555,25,1515,1405,1525,1385,1465,0.370774
OZT582,C4/5 C14X4,Radiocarbon Results for AINSE Grant 15/001 - Feb 2016,(b),-24.8,0.1,170,25,285,5,290,0,180,
OZT583,C4/9 C14X26,Radiocarbon Results for AINSE Grant 15/001 - Feb 2016,(b),-25.3,0.1,3550,25,3890,3780,3915,3720,3850,
OZT584,C3/17 C14X76,Radiocarbon Results for AINSE Grant 15/001 - Feb 2016,(b),-27.2,0.1,7935,35,8955,8645,8980,8635,8775,
OZT585,C4/19 C14X96,Radiocarbon Results for AINSE Grant 15/001 - Feb 2016,(b),Sample did not survive during pretreatment,,,,,,,,,
OZT586,C4/23 C14X114,Radiocarbon Results for AINSE Grant 15/001 - Feb 2016,(c),-25,0.1,14160,50,17350,17120,17460,17040,17240,
OZT587,C4/26A C14X132,Radiocarbon Results for AINSE Grant 15/001 - Feb 2016,(c),-24.4,0.1,17990,60,21900,21680,22000,21560,21790,
