Sample,Depth
SW1,76-78
SW2,78-80
SW3,80-82
SW4,82-84
SW5,84-86
SW6,86-88
SW7,88-90
SW8,90-92
SW9,92-94
SW10,94-96
SW11,96-98
SW12,98-100
SW13,100-102
SW14,102-104
SW15,104-106
SW16,106-108
SW17,108-110
SW18,110-112
SW19,112-114
SW20,114-116
SW21,116-118
SW22,118-120
SW23,120-122
SW24,122-124
SW25,124-126
SW26,126-128
SW27,128-130
SW28,130-132
SW29,132-134
SW30,134-136
SW31,136-138
SW32,138-141
SW33,141-142
SW34,142-144
SW35,144-146
SW36,146-148
SW37,148-150
SW38,150-152
SW39,152-154
SW40,154-156
SW41,156-158
SW42,158-160
SW43,160-162
SW44,162-164
SW45,164-166
SW46,166-168.5
SW47,168.5-170
SW48,170-172
SW49,172-174
SW50,174-176
SW51,176-178
SW52,178-180
SW53,180-182
SW54,182-184
SW55,184-186
SW56,186-188
SW57,188-190
SW58,190-192
SW59,192-194
SW60,194-196
SW61,196-198
SW62,198-200
SW63,200-202
SW64,202-204
SW65,204-206
SW66,206-208
SW67,208-210
SW68,210-212
SW69,212-214
SW70,214-216
SW71,216-218
SW72,218-220
SW73,220-222
SW74,222-224
SW75,224-226
SW76,226-228
SW77,228-230
SW78,230-232
SW79,232-234
SW80,234-236
SW81,236-238
SW82,238-240
SW83,240-242
SW84,242-244
SW85,244-246
SW86,246-248
SW87,248-250
SW88,250-252
SW89,252-254
SW90,254-256
SW91,256-258
SW92,258-260
SW93,260-262
SW94,262-264
SW95,264-266
SW96,266-268
SW97,268-270
SW98,270-272
SW99,272-274
SW100,274-276
SW101,276-278
SW102,278-280
SW103,280-282
SW104,282-284
SW105,284-286
SW106,286-288
SW107,288-290
SW108,290-292
SW109,292-294
SW110,294-296
SW111,296-298
SW112,298-308
SW113,308-310
SW114,310-312
SW115,312-314
SW116,314-316
SW117,322-324
SW118,326-328
SW119,326-328
SW120,328-330
SW121,330-332
SW122,332-334
