"","Sample","Depth below surface (m)","Water (%)","EDR_Beta","EDR_Gamma","EDR_Cosmic","EDR_total","De value (Gy)","Number of grains","OD (%)","Age (ka)","Sample.y","upper","lower","Elevation","Easting","Northing","year","X","Y","Xnew","Ynew","Xnew_flipped","Description","type","square","spit","cnr","find","findn","depth_below_ground_surface","total_station_depth_below_surf","osl_age","osl_error"
"1","SW7C","2.89","1.2","0.23 ± 0.02","0.37 ± 0.02","0.069","0.70 ± 0.03","55.4 ± 1.2","116/500 (99)","23 ± 2","79.0 ± 4.3 (3.3)",NA,NA,NA,97.803323,4997.350492,5012.277244,"2015",-1.83831093936624,-0.127190659113694,-1.18550477820531,-1.41072428008159,1.18550477820531,"OSL_B5_SW_7C","OSL","B5","SW","","","",2.88988999999999,-2.88988999999999,79,NA
"2","SW14A","2.75","<1","0.22 ± 0.02","0.26 ± 0.01","0.061","0.57 ± 0.03","46.8 ± 0.9","166/500 (150)","21 ± 2","81.6 ± 4.6 (3.7)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.75,81.6,NA
"3","SW6C","2.74","<1","0.27 ± 0.02","0.27 ± 0.02","0.070","0.64 ± 0.03","49.8 ± 1.3","136/500 (116)","24 ± 2","77.6 ± 4.5 (3.7)",NA,NA,NA,97.949321,4997.331514,5012.248609,"2015",-1.85728893936539,-0.155825659113361,-1.17808970957684,-1.44426745324967,1.17808970957684,"OSL_B5_SW_6C","OSL","B5","SW","","","",2.743892,-2.743892,77.6,NA
"4","SW8C","2.71","<1","0.39 ± 0.02","0.39 ± 0.02","0.079","0.90 ± 0.04","63.2 ± 1.7","92/500 (78)","19 ± 2","70.4 ± 3.7 (2.9)",NA,NA,NA,97.979646,4996.739601,5013.049687,"2015",-2.44920193936559,0.645252340886145,-2.16551431818581,-1.31357849439746,2.16551431818581,"OSL_B6_SW_8C","OSL","B6","SW","","","",2.713567,-2.713567,70.4,NA
"5","SW5C","2.62","<1","0.26 ± 0.02","0.31 ± 0.02","0.071","0.67 ± 0.03","48.5 ± 1.1","149/500 (130)","24 ± 2","72.7 ± 4.1 (3.3)",NA,NA,NA,98.068781,4997.304095,5012.262343,"2015",-1.8847079393654,-0.142091659113248,-1.20701596025439,-1.4544505931752,1.20701596025439,"OSL_B5_SW_5C","OSL","B5","SW","","","",2.624432,-2.624432,72.7,NA
"6","SW4C","2.54","<1","0.31 ± 0.02","0.31 ± 0.01ǁ","0.071","0.70 ± 0.03","44.1 ± 1.2","112/500 (100)","25 ± 2","62.7 ± 3.5 (2.7)",NA,NA,NA,98.152646,4997.292949,5012.261517,"2015",-1.89585393936613,-0.142917659113664,-1.21416444777666,-1.46304214240459,1.21416444777666,"OSL_B5_SW_4C","OSL","B5","SW","","","",2.540567,-2.540567,62.7,NA
"7","KTL162","2.52","—","0.25 ± 0.04","0.31 ± 0.05","0.063","0.66 ± 0.09","41.2 ± 0.6","282/1000 (226)","18 ± 1","62.3 ± 8.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.52,62.3,8.7
"8","SW3C","2.50","<1","0.34 ± 0.02","0.30 ± 0.01ǁ","0.072","0.74 ± 0.03","47.1 ± 1.0","142/500 (116)","19 ± 2","64.0 ± 3.5 (2.5)",NA,NA,NA,98.19306,4997.394823,5012.195859,"2015",-1.79397993936618,-0.208575659113194,-1.09616640833426,-1.4353699988722,1.09616640833426,"OSL_B5_SW_3C","OSL","B5","SW","","","",2.500153,-2.500153,64,NA
"9","NW14","2.50","2.7","0.23 ± 0.02","0.31 ±0.01","0.064","0.64 ± 0.03","40.3 ± 1.0","131/400 (108)","22 ± 2","62.8 ± 3.5 (2.7)",NA,NA,NA,98.194763,4998.987217,5012.690446,"2012",-0.201585939365941,0.286011340886034,-0.345772700994941,0.0536713826181099,0.345772700994941,"OSL_NW14","OSL","NW14",NA,NA,"","",2.49845000000001,-2.49845000000001,62.8,NA
"10","SW13A","2.45","<1","0.25 ± 0.02","0.31 ± 0.01","0.063","0.64 ± 0.03","39.8 ± 0.9","133/500 (114)","21 ± 2","62.6 ± 3.3 (2.6)",NA,NA,NA,98.247165,4997.975182,5011.434869,"2015",-1.21362093936568,-0.969565659113869,-0.1456047764525,-1.54652274502316,0.1456047764525,"OSL_SW_13A","OSL","SW","13A",NA,"","",2.446048,-2.446048,62.6,NA
"11","KTL158","2.44","—","0.27 ± 0.04","0.32 ± 0.04","0.064","0.68 ± 0.08","40.0 ± 0.7","229/700 (181)","23 ± 1","58.6 ± 7.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.44,58.6,7.2
"12","SW2C","2.39","<1","0.30 ± 0.02","0.32 ± 0.01","0.073","0.72 ± 0.03","47.0 ± 0.9","169/500 (145)","20 ± 2","64.9 ± 3.3 (2.3)",NA,NA,NA,98.306641,4997.367085,5012.206063,"2015",-1.82171793936595,-0.198371659113945,-1.122774985536,-1.44823475224219,1.122774985536,"OSL_B5_SW_2C","OSL","B5","SW","","","",2.386572,-2.386572,64.9,NA
"13","NW13","2.37","4.0","0.26 ± 0.02","0.33 ± 0.01ǁ","0.068","0.69 ± 0.03","40.2 ± 0.9","183/500 (163)","25 ± 2","58.2 ± 3.1 (2.4)",NA,NA,NA,98.319534,4998.975012,5012.636439,"2012",-0.213790939365936,0.232004340886306,-0.315401621809695,0.00737542574179006,0.315401621809695,"OSL_NW13","OSL","NW13",NA,NA,"","",2.373679,-2.373679,58.2,NA
"14","NW12","2.29","<1","0.27 ± 0.02","0.33 ± 0.01","0.069","0.70 ± 0.03","38.7 ± 0.7","152/400 (128)","20 ± 2","55.5 ± 2.9 (2.2)",NA,NA,NA,98.400802,4998.983589,5012.68712,"2012",-0.205213939365422,0.282685340886019,-0.345900397386668,0.0487511840826976,0.345900397386668,"OSL_NW12","OSL","NW12",NA,NA,"","",2.292411,-2.292411,55.5,NA
"15","SW11A","2.28","<1","0.28 ± 0.02","0.35 ± 0.02","0.064","0.73 ± 0.03","46.0 ± 1.0","156/500 (121)","16 ± 2","63.4 ± 3.3 (2.6)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.28,63.4,NA
"16","KTL164","2.28","—","0.32 ± 0.03","0.38 ± 0.03","0.066","0.80 ± 0.06","42.1 ± 0.6","280/900 (240)","21 ± 1","52.6 ± 4.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.28,52.6,4.4
"17","NW11","2.20","<1","0.29 ± 0.02","0.35 ± 0.02ǁ","0.072","0.74 ± 0.03","38.8 ± 0.8","126/500 (101)","17 ± 2","52.6 ± 2.7 (2.0)",NA,NA,NA,98.497835,4999.013998,5012.719977,"2012",-0.174804939365458,0.315542340886168,-0.34841187881924,0.0934499781494441,0.34841187881924,"OSL_NW11","OSL","NW11",NA,NA,"","",2.19537800000001,-2.19537800000001,52.6,NA
"18","SW10A","2.16","<1","0.32 ± 0.02","0.32 ± 0.01","0.065","0.73 ± 0.03","40.3 ± 0.6","191/500 (160)","18 ± 1","55.3 ± 2.6 (1.9)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.16,55.3,NA
"19","NW9B","2.10","<1","0.25 ± 0.02","0.35 ± 0.02","0.075","0.71 ± 0.03","40.0 ± 0.7","182/500 (151)","29 ± 1","56.7 ± 3.0 (2.3)",NA,NA,NA,98.592755,4997.504586,5011.967225,"2015",-1.6842169393658,-0.43720965911325,-0.855453085706629,-1.51523562623891,0.855453085706629,"OSL_NW_9B","OSL","NW","9B",NA,"","",2.100458,-2.100458,56.7,NA
"20","NW15","2.07","<1","0.31 ± 0.03","0.35 ± 0.02ǁ","0.071","0.76 ± 0.03","36.8 ± 0.6","213/500 (175)","20 ± 1","48.4 ± 2.5 (1.9)",NA,NA,NA,98.626363,4998.974963,5012.687379,"2012",-0.213839939366153,0.282944340886388,-0.352078829499308,0.0427260754826557,0.352078829499308,"OSL_NW15","OSL","NW15",NA,NA,"","",2.06685,-2.06685,48.4,NA
