Square,Spit,Depth,,Burnt Chert
C3,1,0.00,,0
C3,2,0.02,,0
C3,3,0.05,,0
C3,4,0.10,,0
C3,5,0.16,,1
C3,6,0.22,,0
C3,7,0.29,,0
C3,8,0.32,,0
C3,11,0.47,,0
C3,12,0.53,,0
C3,13,0.57,,0
C3,15,0.66,,0
C3,16,0.74,,0
C3,17,0.80,,0
C3,19,0.87,,0
C3,20,0.93,,2
C3,22,1.04,,0
C3,24,1.15,,1
C3,25,1.21,,7
C3,26,1.26,,3
C3,27,1.28,,3
C3,28,1.38,,5
C2,28,1.410592,,3
C2,29,1.464297,,4
C2,30,1.564723,,2
C2,31,1.634675,,1
C2,32,1.689276667,,4
C2,33,1.759281,,3
C2,34,1.796754,,2
C2,35,1.8612155,,3
C2,36,1.937098,,2
C2,37,1.949702,,13
C2,38,1.994153,,5
C2,39,2.038604,,8
C2,40,2.1011956,,3
C2,41,2.1263578,,2
C2,42,2.1602924,,3
C2,43,2.1971358,,0
C2,44,2.2363442,,0
C2,45,2.2589944,,0
C2,46,2.2954234,,0
C2,47,2.3561238,,0
C2,48,2.3936654,,0
C2,49,2.4369918,,0
C2,50,2.4705556,,0
C2,51,2.5041194,,0
C2,52,2.538564,,0
C2,53,2.5737014,,0
C2,54,2.6058378,,0
C2,55,2.6456002,,0
C2,56,2.675897,,0
C2,57,2.7220376,,0
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
