Square,Spit,Depth,,Burnt Earth
C3,1,0.00,,0.00
C3,2,0.02,,0.00
C3,3,0.05,,0.00
C3,4,0.10,,0.40
C3,5,0.16,,5.12
C3,6,0.22,,0.00
C3,7,0.29,,0.85
C3,8,0.32,,0.00
C3,11,0.47,,0.85
C3,12,0.53,,0.97
C3,13,0.57,,1.05
C3,15,0.66,,0.00
C3,16,0.74,,1.31
C3,17,0.80,,0.95
C3,19,0.87,,0.37
C3,20,0.93,,0.00
C3,22,1.04,,2.42
C3,24,1.15,,0.00
C3,25,1.21,,0.00
C3,26,1.26,,0.00
C3,27,1.28,,0.00
C3,28,1.38,,0.00
C2,28,1.410592,,1.20
C2,29,1.464297,,0.00
C2,30,1.564723,,0.00
C2,31,1.634675,,9.96
C2,32,1.689276667,,0.53
C2,33,1.759281,,0.00
C2,34,1.796754,,0.97
C2,35,1.8612155,,1.98
C2,36,1.937098,,7.29
C2,37,1.949702,,4.47
C2,38,1.994153,,0.00
C2,39,2.038604,,1.26
C2,40,2.1011956,,0.25
C2,41,2.1263578,,4.45
C2,42,2.1602924,,0.00
C2,43,2.1971358,,0.84
C2,44,2.2363442,,0.20
C2,45,2.2589944,,1.22
C2,46,2.2954234,,0.68
C2,47,2.3561238,,1.75
C2,48,2.3936654,,2.68
C2,49,2.4369918,,0.97
C2,50,2.4705556,,0.77
C2,51,2.5041194,,0.00
C2,52,2.538564,,0.08
C2,53,2.5737014,,0.00
C2,54,2.6058378,,0.00
C2,55,2.6456002,,0.06
C2,56,2.675897,,0.00
C2,57,2.7220376,,0.03
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
