Square,Spit,Depth,,Charcoal g
C3,1,0.00,,93.89
C3,2,0.02,,52.28
C3,3,0.05,,23.29
C3,4,0.10,,217.97
C3,5,0.16,,95.97
C3,6,0.22,,10.01
C3,7,0.29,,1.23
C3,8,0.32,,0.41
C3,11,0.47,,0.38
C3,12,0.53,,0.97
C3,13,0.57,,0.81
C3,15,0.66,,2.16
C3,16,0.74,,0.06
C3,17,0.80,,0.09
C3,19,0.87,,0.17
C3,20,0.93,,1.23
C3,22,1.04,,0.10
C3,24,1.15,,0.81
C3,25,1.21,,3.21
C3,26,1.26,,1.24
C3,27,1.28,,28.67
C3,28,1.38,,6.85
C2,28,1.410592,,49.45
C2,29,1.464297,,18.23
C2,30,1.564723,,16.36
C2,31,1.634675,,15.91
C2,32,1.689276667,,8.79
C2,33,1.759281,,51.10
C2,34,1.796754,,25.87
C2,35,1.8612155,,47.00
C2,36,1.937098,,9.35
C2,37,1.949702,,19.32
C2,38,1.994153,,4.25
C2,39,2.038604,,0.06
C2,40,2.1011956,,0.37
C2,41,2.1263578,,0.01
C2,42,2.1602924,,0.08
C2,43,2.1971358,,0.01
C2,44,2.2363442,,0.01
C2,45,2.2589944,,0.02
C2,46,2.2954234,,0.05
C2,47,2.3561238,,0.05
C2,48,2.3936654,,0.01
C2,49,2.4369918,,0
C2,50,2.4705556,,0
C2,51,2.5041194,,0.01
C2,52,2.538564,,0
C2,53,2.5737014,,0
C2,54,2.6058378,,0.03
C2,55,2.6456002,,0
C2,56,2.675897,,0.027
C2,57,2.7220376,,0
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
