Square,Spit,Depth,,Charcoal/Litre
C3,1,0.00,,4.47
C3,2,0.02,,1.71
C3,3,0.05,,0.54
C3,4,0.10,,2.81
C3,5,0.16,,2.06
C3,6,0.22,,0.22
C3,7,0.29,,0.03
C3,8,0.32,,0.02
C3,11,0.47,,0.01
C3,12,0.53,,0.03
C3,13,0.57,,0.02
C3,15,0.66,,0.04
C3,16,0.74,,0.00
C3,17,0.80,,0.00
C3,19,0.87,,0.00
C3,20,0.93,,0.02
C3,22,1.04,,0.00
C3,24,1.15,,0.02
C3,25,1.21,,0.07
C3,26,1.26,,0.02
C3,27,1.28,,0.43
C3,28,1.38,,0.37
C2,28,1.410592,,0.17
C2,29,1.464297,,0.18
C2,30,1.564723,,0.17
C2,31,1.634675,,0.07
C2,32,1.689276667,,0.52
C2,33,1.759281,,0.31
C2,34,1.796754,,0.50
C2,35,1.8612155,,0.10
C2,36,1.937098,,0.20
C2,37,1.949702,,0.04
C2,38,1.994153,,0.00
C2,39,2.038604,,0.00
C2,40,2.1011956,,0.00
C2,41,2.1263578,,0.00
C2,42,2.1602924,,0.00
C2,43,2.1971358,,0.00
C2,44,2.2363442,,0.00
C2,45,2.2589944,,0.00
C2,46,2.2954234,,0.00
C2,47,2.3561238,,0.00
C2,48,2.3936654,,0.00
C2,49,2.4369918,,0.00
C2,50,2.4705556,,0.00
C2,51,2.5041194,,0.00
C2,52,2.538564,,0.00
C2,53,2.5737014,,0.00
C2,54,2.6058378,,0.00
C2,55,2.6456002,,0.00
C2,56,2.675897,,0.00
C2,57,2.7220376,,0.00
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
