Sample (Spit),Depth Below Surface (cm),Xlf (m^3/kg),,Square,Spit,Depth
1,0,,,C3,1,0.00
2,5,0.00040375,,C3,2,0.02
3,10,0.000486085,,C3,3,0.05
4,15,0.00053271,,C3,4,0.10
5,20,0.0007473,,C3,5,0.16
6,25,0.0008045,,C3,6,0.22
7,30,0.000995602,,C3,7,0.29
8,35,0.00067685,,C3,8,0.32
9,40,0.001065,,C3,11,0.47
10,45,0.00092483,,C3,12,0.53
11,50,0.00101,,C3,13,0.57
12,55,0.000563085,,C3,15,0.66
13,60,0.000574365,,C3,16,0.74
14,65,0.00057108,,C3,17,0.80
15,70,0.000679845,,C3,19,0.87
16,75,0.000890795,,C3,20,0.93
17,80,0.00253,,C3,22,1.04
18,85,0.000562125,,C3,24,1.15
19,90,0.00060941,,C3,25,1.21
20,95,0.00056838,,C3,26,1.26
21,100,0.00046656,,C3,27,1.28
22,105,0.00074002,,C3,28,1.38
23,110,0.000539955,,C2,28,1.410592
24,115,0.000621985,,C2,29,1.464297
25,120,0.00057072,,C2,30,1.564723
26,125,0.00055784,,C2,31,1.634675
27,130,0.00088017,,C2,32,1.689276667
28,135,0.00054557,,C2,33,1.759281
29,140,0.000505905,,C2,34,1.796754
30,145,0.000415935,,C2,35,1.8612155
31,150,0.00040835,,C2,36,1.937098
32,155,0.00039214,,C2,37,1.949702
33,160,0.000421925,,C2,38,1.994153
34,165,0.00037692,,C2,39,2.038604
35,170,0.00035514,,C2,40,2.1011956
36,175,0.00037434,,C2,41,2.1263578
37,180,0.00030224,,C2,42,2.1602924
38,185,0.00031873,,C2,43,2.1971358
39,190,0.00032176,,C2,44,2.2363442
40,195,0.000333635,,C2,45,2.2589944
41,200,0.000296275,,C2,46,2.2954234
42,205,0.00032072,,C2,47,2.3561238
43,210,0.000330335,,C2,48,2.3936654
44,215,0.00025826,,C2,49,2.4369918
45,220,0.00011702,,C2,50,2.4705556
46,225,0.000107125,,C2,51,2.5041194
47,230,0.000068135,,C2,52,2.538564
48,235,0.000124995,,C2,53,2.5737014
49,240,0.000065495,,C2,54,2.6058378
50,245,0.00005587,,C2,55,2.6456002
51,250,0.00005321,,C2,56,2.675897
52,255,0.00005059,,C2,57,2.7220376
53,260,0.00003837,,,,
54,265,0.000050555,,,,
55,270,0.000043335,,,,
56,275,0.000046625,,,,
57,280,0.0000496,,,,
58,285,0.000034395,,,,
59,290,0.000031385,,,,
60,295,0.000032055,,,,
61,300,0.00003107,,,,
62,305,0.00003372,,,,
63,310,0.000023125,,,,
64,315,0.000033435,,,,
65,320,0.00003079,,,,
66,325,0.00003273,,,,
67,330,0.000033395,,,,
