Spit,Mass,,,
2,1.67,,,
2,294.8,,,
3,1.33,,,
3,6.3,,,
4,1.59,,,
4,1.67,,,
4,2.63,,,
4,29.54,,,
5,1.287,,,
5,1.99,,,
5,2.23,,,
10,1.01,,,
10,1.46,,,
10,1.66,,,
10,2.79,,,
10,3.95,,,
10,5.29,,,
11,2.79,,,
11,3.41,,,
11,3.62,,,
11,8.63,,,
12,1.2,,,
12,1.75,,,
12,2.48,,,
12,2.52,,,
12,3.31,,,
12,4.01,,,
12,17.63,,,
12,189.92,,,
13,1.1,,,
13,2.32,,,
13,2.68,,,
13,5.05,,,
13,5.21,,,
13,5.92,,,
13,6.01,,,
13,6.92,,,
13,11.48,,,
13,16.03,,,
14,1.22,,,
14,1.26,,,
14,1.26,,,
14,1.31,,,
14,1.33,,,
14,1.37,,,
14,1.43,,,
14,1.5,,,
14,1.74,,,
14,1.8,,,
14,1.91,,,
14,1.92,,,
14,1.95,,,
14,1.96,,,
14,1.97,,,
14,2.06,,,
14,2.11,,,
14,2.18,,,
14,2.19,,,
14,2.2,,,
14,2.28,,,
14,2.39,,,
14,2.63,,,
14,2.65,,,
14,2.66,,,
14,2.68,,,
14,2.69,,,
14,2.71,,,
14,2.73,,,
14,2.77,,,
14,2.78,,,
14,2.84,,,
14,2.87,,,
14,2.87,,,
14,3.04,,,
14,3.06,,,
14,3.06,,,
14,3.09,,,
14,3.1,,,
14,3.1,,,
14,3.18,,,
14,3.24,,,
14,3.24,,,
14,3.5,,,
14,3.51,,,
14,3.54,,,
14,4.22,,,
14,4.32,,,
14,4.35,,,
14,4.43,,,
14,4.51,,,
14,4.59,,,
14,4.65,,,
14,4.72,,,
14,4.8,,,
14,4.97,,,
14,5.33,,,
14,5.57,,,
14,5.75,,,
14,5.8,,,
14,6.06,,,
14,6.12,,,
14,6.13,,,
14,6.9,,,
14,7.28,,,
14,7.64,,,
14,8.07,,,
14,8.45,,,
14,8.86,,,
14,9.16,,,
14,9.92,,,
14,10.5,,,
14,12.06,,,
14,15.04,,,
14,16.39,,,
14,106.29,,,
15,1,,,
15,1.22,,,
15,1.24,,,
15,1.48,,,
15,1.61,,,
15,1.62,,,
15,1.62,,,
15,1.71,,,
15,1.71,,,
15,1.73,,,
15,1.79,,,
15,1.79,,,
15,1.79,,,
15,1.83,,,
15,1.91,,,
15,1.99,,,
15,2.06,,,
15,2.3,,,
15,2.31,,,
15,2.34,,,
15,2.41,,,
15,2.6,,,
15,2.64,,,
15,2.71,,,
15,2.75,,,
15,2.8,,,
15,2.82,,,
15,2.96,,,
15,3.12,,,
15,3.14,,,
15,3.15,,,
15,3.46,,,
15,3.51,,,
15,3.52,,,
15,3.8,,,
15,4.05,,,
15,4.06,,,
15,5.18,,,
15,6.68,,,
15,6.68,,,
15,6.9,,,
15,7.38,,,
15,8.26,,,
15,8.47,,,
15,9.4,,,
15,10.73,,,
15,11.19,,,
15,12.69,,,
16,1.1,,,
16,1.16,,,
16,1.22,,,
16,1.23,,,
16,1.25,,,
16,1.34,,,
16,1.35,,,
16,1.39,,,
16,1.39,,,
16,1.43,,,
16,1.47,,,
16,1.48,,,
16,1.58,,,
16,1.58,,,
16,1.59,,,
16,1.61,,,
16,1.61,,,
16,1.62,,,
16,1.63,,,
16,1.79,,,
16,1.8,,,
16,1.83,,,
16,1.85,,,
16,1.88,,,
16,1.91,,,
16,2.01,,,
16,2.02,,,
16,2.08,,,
16,2.12,,,
16,2.12,,,
16,2.13,,,
16,2.14,,,
16,2.18,,,
16,2.18,,,
16,2.21,,,
16,2.34,,,
16,2.39,,,
16,2.47,,,
16,2.6,,,
16,2.67,,,
16,2.7,,,
16,2.85,,,
16,2.98,,,
16,3.05,,,
16,3.12,,,
16,3.18,,,
16,3.25,,,
16,3.3,,,
16,3.34,,,
16,3.36,,,
16,3.51,,,
16,3.52,,,
16,3.52,,,
16,3.58,,,
16,3.68,,,
16,3.72,,,
16,3.8,,,
16,3.9,,,
16,3.96,,,
16,3.99,,,
16,4.01,,,
16,4.05,,,
16,4.08,,,
16,4.21,,,
16,4.34,,,
16,4.59,,,
16,4.87,,,
16,4.9,,,
16,5.66,,,
16,5.74,,,
16,5.86,,,
16,5.89,,,
16,5.96,,,
16,5.99,,,
16,6.9,,,
16,6.93,,,
16,7,,,
16,7,,,
16,7.37,,,
16,8.01,,,
16,8.55,,,
16,8.66,,,
16,17.32,,,
16,18.23,,,
16,18.59,,,
16,20.49,,,
16,26.2,,,
17,1.05,,,
17,1.05,,,
17,1.05,,,
17,1.12,,,
17,1.13,,,
17,1.18,,,
17,1.23,,,
17,1.24,,,
17,1.25,,,
17,1.35,,,
17,1.35,,,
17,1.36,,,
17,1.41,,,
17,1.42,,,
17,1.45,,,
17,1.46,,,
17,1.53,,,
17,1.57,,,
17,1.58,,,
17,1.64,,,
17,1.65,,,
17,1.7,,,
17,1.72,,,
17,1.75,,,
17,1.77,,,
17,1.83,,,
17,1.86,,,
17,1.88,,,
17,1.91,,,
17,1.92,,,
17,1.94,,,
17,1.97,,,
17,1.99,,,
17,2.02,,,
17,2.04,,,
17,2.07,,,
17,2.08,,,
17,2.1,,,
17,2.12,,,
17,2.22,,,
17,2.23,,,
17,2.23,,,
17,2.32,,,
17,2.32,,,
17,2.38,,,
17,2.39,,,
17,2.4,,,
17,2.4,,,
17,2.6,,,
17,2.72,,,
17,2.78,,,
17,2.79,,,
17,2.92,,,
17,2.94,,,
17,2.99,,,
17,3.01,,,
17,3.09,,,
17,3.13,,,
17,3.27,,,
17,3.36,,,
17,3.48,,,
17,3.53,,,
17,3.55,,,
17,3.6,,,
17,3.8,,,
17,3.88,,,
17,3.99,,,
17,4.11,,,
17,4.13,,,
17,4.15,,,
17,4.34,,,
17,4.6,,,
17,5.23,,,
17,6.12,,,
17,8.83,,,
17,9.28,,,
17,9.28,,,
17,20.31,,,
17,42.88,,,
17,,,,
18,1.1,,,
18,1.12,,,
18,1.15,,,
18,1.24,,,
18,1.25,,,
18,1.27,,,
18,1.27,,,
18,1.43,,,
