Name,Northing,Easting,Elevation,Description,Description_2,Square,Spit,Plotted_Find,PF,Number,,,
290,5013.246315,5000.23839,100.627806,PF_D4_4_BD1,Plotted Finds,D4,4,Bead,BD,1,,,
101,5012.091239,5000.412164,100.793194,PF_B3_3_BP1,Plotted Finds,B3,3,Bone Point,BP,1,,,
184,5011.01641,5000.096938,100.571753,PF_C2_4_C14X1,Plotted Finds,C2,4,Carbon Sample,C14X,1,,,Have not added data from 22-06-12 and on. 
192,5011.236594,4999.671408,100.615078,PF_C3_4_C14X2,Plotted Finds,C3,4,Carbon Sample,C14X,2,,,
380,5010.901573,4999.069309,100.554474,PF_B3_5_C14X3,Plotted Finds,B3,5,Carbon Sample,C14X,3,,,
393,5012.409444,4999.336611,100.572939,PF_C4_5_C14X_4,Plotted Finds,C4,5,Carbon Sample,C14X,4,,,
442,5012.53953,4999.901251,100.531641,PF_D4_5_C14X_5,Plotted Finds,D4,5,Carbon Sample,C14X,5,,,
459,5013.504367,5000.677542,100.550701,PF_E4_5_C14X_6,Plotted Finds,E4,5,Carbon Sample,C14X,6,,,
528,5012.517619,5000.754593,100.55762,PF_D3_5_C14X_9,Plotted Finds,D3,5,Carbon Sample,C14X,9,,,
534,5012.639595,5000.881151,100.571407,PF_D3_5_C14X_10,Plotted Finds,D3,5,Carbon Sample,C14X,10,,,
567,5012.428065,5001.415894,100.518417,PF_E2_5_C14X_11,Plotted Finds,E2,5,Carbon Sample,C14X,11,,,
623,5011.959392,4998.792335,100.532655,PF_C4_6_C14X12,Plotted Finds,C4,6,Carbon Sample,C14X,12,,,
682,5014.07908,5000.534069,100.509449,PF_E4_6_C14X13,Plotted Finds,E4,6,Carbon Sample,C14X,13,,,
710,5013.271681,5000.697748,100.528006,PF_E4_6_C14X14,Plotted Finds,E4,6,Carbon Sample,C14X,14,,,
755,5012.257784,5000.14912,100.489272,PF_D3_6_C14X15,Plotted Finds,D3,6,Carbon Sample,C14X,15,,,
826,5012.718084,5002.138095,100.460551,PF_E2_6_C14X16,Plotted Finds,E2,6,Carbon Sample,C14X,16,,,
