Name,Y,X,Z,Description,,Date Taken
3650,5010.754615,4985.487209,100.497647,CHECK150712,,15/07/2012
3651,5010.751608,4985.477468,100.498056,CHECK150712,,15/07/2012
3652,5019.987447,5003.023113,100.824071,CHECK150712,,15/07/2012
3653,5010.704574,5001.098351,98.731473,P_C2_36A_L3007,,15/07/2012
3654,5010.289355,5000.707702,98.760387,P_C2_36A_L3008,,15/07/2012
3655,5010.405233,5000.671756,98.724338,P_C2_36A_HM1000,,15/07/2012
3656,5010.773883,4999.944177,98.768135,EL_B2_36A_N,,15/07/2012
3657,5010.124885,5000.578784,98.710422,EL_B2_36_E,,15/07/2012
3658,5009.457216,4999.938844,98.718695,EL_B2_36_S,,15/07/2012
3659,5010.041789,5000.947549,98.741855,P_C1_36_L3009,,15/07/2012
3660,5012.198431,4999.881836,98.775998,EL_C3_37_N,,15/07/2012
3661,5011.590749,5000.503102,98.734038,EL_C3_37_E,,15/07/2012
3662,5011.019421,5000.002539,98.761999,EL_C3_37_S,,15/07/2012
3663,5011.518049,4999.264354,98.803651,EL_C3_37_W,,15/07/2012
3664,5011.51862,4999.929889,98.752168,EL_C3_37_C,,15/07/2012
3666,5011.548263,5001.242332,98.729174,PF_D2_37A_L3010,,15/07/2012
CP1,5016,5006,100.37,control point,,15/07/2012
TBM03,5020,5003,100.795,TBM03,,15/07/2012
TBM06,5015.3528,5000.8168,100.691,TBM06,,15/07/2012
