Name,Northing,Easting,Elevation,Description,,,Date Taken
1935,5023.285708,4999.142296,100.494304,CHECK,,,24/06/2012
1936,5012.839496,5001.489127,100.334202,PF_E3_10_HB497,,,24/06/2012
1937,5012.88068,5000.863128,100.26946,PF_E3_10_HB498,,,24/06/2012
1938,5011.678068,4999.207308,100.279744,PF_C4_11_HB499,,,24/06/2012
1939,5011.648787,4999.256844,100.254452,PF_C4_11_HB500,,,24/06/2012
1940,5011.914992,4999.248,100.238153,PF_C4_11_HB501,,,24/06/2012
1941,5011.853861,5001.449408,100.262957,PF_D2_10_HB502,,,24/06/2012
1942,5012.014394,4999.423005,100.251032,PF_C4_11_HB503,,,24/06/2012
1943,5012.169605,4999.651186,100.275691,PF_C4_11_HB504,,,24/06/2012
1944,5012.13757,4999.533094,100.255749,PF_C4_11_HB505,,,24/06/2012
1945,5012.758588,5001.551617,100.278522,PF_E3_10_HB506,,,24/06/2012
1946,5011.941146,4999.242564,100.240965,PF_C4_11_HB507,,,24/06/2012
1947,5012.007029,4999.353079,100.256875,PF_C4_11_HB508,,,24/06/2012
1948,5011.837217,4999.008944,100.281906,PF_C4_11_L131,,,24/06/2012
1949,5011.977387,4999.257097,100.246009,PF_C4_11_HB509,,,24/06/2012
1950,5012.164679,4999.225889,100.254346,PF_C4_11_L132,,,24/06/2012
1951,5011.858591,4998.926663,100.273222,PF_C4_11_HB510,,,24/06/2012
1952,5011.659219,5001.72358,100.297591,PF_D2_10_HB511,,,24/06/2012
1953,5013.397447,5001.4061,100.319825,PF_E3_10_HB512,,,24/06/2012
1954,5012.10292,4999.390548,100.230146,PF_C4_11_HB513,,,24/06/2012
1955,5011.895771,5001.576827,100.357231,PF_D2_10_HB514,,,24/06/2012
1956,5012.289723,4999.499811,100.290042,PF_C4_11_HB515,,,24/06/2012
1957,5013.463004,5001.417456,100.303511,PF_E3_10_C14X36,,,24/06/2012
1958,5012.215549,4999.543283,100.282674,PF_C4_11_HB516,,,24/06/2012
1959,5012.295446,5001.223793,100.239135,EL_D2_10_N,,,24/06/2012
1960,5011.702098,5001.805609,100.268376,EL_D2_10_E,,,24/06/2012
1961,5011.278767,5001.067736,100.21045,EL_D2_10_S,,,24/06/2012
1962,5011.604113,5000.566394,100.249075,EL_D2_10_W,,,24/06/2012
1963,5011.825271,5001.263429,100.231111,EL_D2_10_C,,,24/06/2012
1964,5012.902956,4999.11278,100.235052,EL_C4_11_N,,,24/06/2012
1965,5012.348391,4999.693499,100.241947,EL_C4_11_E,,,24/06/2012
1966,5011.633396,4999.198556,100.238785,EL_C4_11_S,,,24/06/2012
1967,5012.273054,4998.491724,100.234838,EL_C4_11_W,,,24/06/2012
1968,5012.274207,4999.184786,100.237463,EL_C4_11_C,,,24/06/2012
1969,5012.490486,5000.533476,100.243586,PF_D3_11_HB517,,,24/06/2012
1970,5013.740422,5001.151423,100.301954,EL_E3_10_N,,,24/06/2012
