Name,Northing ,Eastig,Elevation,Description,,Date Taken
2472,5010.736998,4985.474091,100.499386,CHECK 300612,,30/06/2012
2473,5013.624897,4999.97919,100.193902,PF_D4_13_SR5,,30/06/2012
2474,5013.371091,5000.254928,100.167828,PF_D4_13_SR5,,30/06/2012
2475,5012.955892,4999.912594,100.181796,PF_D4_13_SR5,,30/06/2012
2476,5012.697121,4999.698529,100.188685,PF_D4_13_SR5,,30/06/2012
2477,5012.897216,4999.357284,100.196891,PF_D4_13_SR5,,30/06/2012
2478,5013.219521,4999.608261,100.188018,PF_D4_13_SR5,,30/06/2012
2479,5012.850293,4999.50894,100.333716,PF_D4_SR5_CR,,30/06/2012
2480,5011.260868,5000.18358,100.182043,PF_C3_SR14_HB602,,30/06/2012
2481,5011.291365,5000.211736,100.16538,PF_C3_SR14_HB602,,30/06/2012
2482,5012.496276,5002.286311,100.160706,PF_E2_11_C14X47,,30/06/2012
2483,5012.690018,5001.999053,100.184434,PF_E2_11_L190,,30/06/2012
2484,5012.678233,5002.069514,100.171966,PF_E2_11_L191,,30/06/2012
2485,5012.777269,4999.630021,100.182729,PF_D4_SR5_BP2,,30/06/2012
2486,5012.665983,5002.027117,100.181824,PF_E2_11_HB603,,30/06/2012
2487,5012.638096,5002.04342,100.166411,PF_E2_11_HB604,,30/06/2012
2488,5012.658857,5002.010522,100.174964,PF_E2_11_HB605,,30/06/2012
2489,5012.445169,5002.27793,100.166251,PF_E2_11_HB606,,30/06/2012
2490,5012.744533,5000.254993,100.180467,PF_D2_12_L192,,30/06/2012
2491,5012.218696,4999.930238,100.198018,PF_D2_12_L193,,30/06/2012
2492,5012.219379,5000.254383,100.214273,PF_D2_12_L194,,30/06/2012
2493,5012.107812,5000.188966,100.182774,PF_E3_12_OT4,,30/06/2012
2494,5011.792132,5000.543867,100.181958,PF_D3_12_L195,,30/06/2012
2495,5011.850656,5000.467514,100.158943,PF_D3_12_L196,,30/06/2012
2496,5011.809549,5000.626332,100.147632,PF_D3_12_L197,,30/06/2012
2497,5011.707992,5000.49543,100.146492,PF_D3_12_L198,,30/06/2012
2498,5012.364028,5001.902452,100.195256,PF_E2_11_HB607,,30/06/2012
2499,5012.498994,5000.337989,100.167553,PF_D3_12_L199,,30/06/2012
2500,5012.467282,5000.434001,100.186914,PF_D3_12_SH10,,30/06/2012
2501,5012.303768,5000.611101,100.192789,PF_D3_12_O6,,30/06/2012
2502,5011.51605,5000.204918,100.133753,PF_C3_SR13_SR3,,30/06/2012
2503,5011.254548,5000.421175,100.135497,PF_C3_SR13_SR3,,30/06/2012
2504,5011.005492,5000.207811,100.153228,PF_C3_SR13_SR3,,30/06/2012
2505,5010.778365,4999.955584,100.172016,PF_C3_SR13_SR3,,30/06/2012
2506,5011.03146,4999.690139,100.161306,PF_C3_SR13_SR3,,30/06/2012
2507,5011.297192,4999.949664,100.144517,PF_C3_SR13_SR3,,30/06/2012
2508,5014.212142,5000.585477,100.196609,PF_E4_SR4_L200,,30/06/2012
2509,5012.317405,5001.92941,100.186333,PF_E2_11_HB6O8,,30/06/2012
2510,5012.688337,5000.487506,100.183559,PF_D3_12_HM78,,30/06/2012
2511,5012.537013,5000.670335,100.170923,PF_D3_12_L201,,30/06/2012
2512,5012.597306,5000.872064,100.181082,PF_D3_12_L202,,30/06/2012
2513,5012.534625,5000.873316,100.17621,PF_D3_12_L203,,30/06/2012
2514,5012.305527,5000.954713,100.157354,PF_D3_12_L204,,30/06/2012
2515,5012.695479,5000.796845,100.187156,PF_D3_12_L205,,30/06/2012
2516,5012.647191,5000.751898,100.194082,PF_D3_12_L205,,30/06/2012
2517,5012.920167,5001.813333,100.181616,EL_E2_11_N,,30/06/2012
2518,5012.583398,5002.336868,100.159017,EL_E2_11_E,,30/06/2012
2519,5012.387968,5001.234569,100.17032,EL_E2_11_W,,30/06/2012
2520,5012.992298,5000.436666,100.154472,EL_D3_12_N,,30/06/2012
2521,5012.364342,5001.171687,100.135906,EL_D3_12_E,,30/06/2012
2522,5011.66593,5000.550297,100.141075,EL_D3_12_S,,30/06/2012
2523,5012.303188,4999.833046,100.194746,EL_D3_12_W,,30/06/2012
2524,5012.306146,5000.508105,100.17005,EL_D3_12_C,,30/06/2012
2525,5011.715022,5000.732905,100.156546,PF_D2_12_L206,,30/06/2012
2526,5011.702204,5000.789316,100.16674,PF_D2_12_L207,,30/06/2012
2527,5011.577543,5000.756249,100.159454,PF_D2_12_L208,,30/06/2012
2528,5013.010269,5000.809824,100.180911,PF_E3_12_L209,,30/06/2012
2529,5012.985029,5000.782759,100.195636,PF_E3_12_L209,,30/06/2012
2530,5012.984021,5000.782438,100.142424,PF_E3_12_L209,,30/06/2012
2531,5012.971262,5000.801819,100.165728,PF_E3_12_L209,,30/06/2012
2532,5012.999017,5000.769354,100.171011,PF_E3_12_L209,,30/06/2012
2533,5011.926622,5000.884958,100.158886,PF_D2_12_L210,,30/06/2012
2534,5011.722578,5001.06087,100.158427,PF_D2_12_L211,,30/06/2012
2535,5013.432038,5000.950943,100.206319,PF_E3_12_L212,,30/06/2012
2536,5013.415718,5000.917494,100.203202,PF_E3_12_L212,,30/06/2012
2537,5012.976617,5001.043304,100.190558,PF_E3_12_L213,,30/06/2012
2538,5012.946081,5001.02528,100.180255,PF_E3_12_L213,,30/06/2012
2539,5011.546614,5000.978616,100.15484,PF_D2_12_L214,,30/06/2012
2540,5013.602768,5001.151814,100.194422,PF_E3_12_L215,,30/06/2012
2541,5013.569574,5001.120228,100.185768,PF_E3_12_L215,,30/06/2012
2542,5012.161934,5001.123832,100.143029,PF_D2_12_L216,,30/06/2012
2543,5012.313069,5001.199945,100.128514,PF_D2_12_L217,,30/06/2012
2544,5011.385325,5000.924605,100.153872,PF_D2_12_L218,,30/06/2012
2545,5013.045856,5001.040348,100.195007,PF_E3_12_L219,,30/06/2012
2546,5013.063866,5000.991149,100.182983,PF_E3_12_L219,,30/06/2012
2547,5011.565641,5000.868159,100.114852,PF_D2_12_L220,,30/06/2012
2548,5011.343243,5000.975532,100.119093,PF_D2_12_L221,,30/06/2012
2549,5012.610999,5001.192778,100.145703,PF_E3_12_L222,,30/06/2012
2550,5012.91024,5001.499037,100.164183,PF_E3_12_BP3,,30/06/2012
2551,5012.943858,5001.45306,100.163537,PF_E3_12_BP3,,30/06/2012
2552,5012.833421,5001.421291,100.167506,PF_E3_12_HB609,,30/06/2012
2553,5012.720562,5001.309266,100.16749,PF_E3_12_L223,,30/06/2012
2554,5011.41817,5001.142584,100.115813,PF_D2_12_HM79,,30/06/2012
2555,5013.442006,5001.498164,100.15433,PF_D2_12_HM80,,30/06/2012
2556,5013.687467,5001.215195,100.159433,EL_E3_12_N,,30/06/2012
2557,5013.084062,5001.829607,100.154655,EL_E3_12_E,,30/06/2012
