Name,Northing,Easting,Elevation,Description,Description_2,Square,Spit,Plotted_Find,PF,Number,Direction,,,,,Date Taken
1,5010.768504,4985.533521,100.500519,CP2,Control Points,,,,,,,,,,,16/06/2012
2,5014.432977,5000.490999,100.664748,EL_E4_1_N,End Levels,E4,1,,,,N,,,,,16/06/2012
3,5013.746351,5001.202183,100.640463,EL_E4_1_E,End Levels,E4,1,,,,E,,,,,16/06/2012
4,5013.096635,5000.548416,100.655177,EL_E4_1_S,End Levels,E4,1,,,,S,,,,,16/06/2012
5,5013.718075,4999.836541,100.683165,EL_E4_1_W,End Levels,E4,1,,,,W,,,,,16/06/2012
6,5013.739972,5001.227387,100.64212,EL_E3_1_N,End Levels,E3,1,,,,N,,,,,16/06/2012
7,5013.122105,5001.952075,100.685227,EL_E3_1_E,End Levels,E3,1,,,,E,,,,,16/06/2012
8,5013.09989,5001.983691,100.675652,EL_E2_1_N,End Levels,E2,1,,,,N,,,,,16/06/2012
9,5012.640221,5002.460517,100.659971,EL_E2_1_E,End Levels,E2,1,,,,E,,,,,16/06/2012
10,5011.792601,5002.020319,100.69851,EL_E2_1_S,End Levels,E2,1,,,,S,,,,,16/06/2012
11,5012.363932,5001.363284,100.680505,EL_E2_1_W,End Levels,E2,1,,,,W,,,,,16/06/2012
12,5012.419905,5001.299764,100.714987,EL_E3_1_S,End Levels,E3,1,,,,S,,,,,16/06/2012
13,5013.016124,4999.165285,100.886064,EL_C4_2_N,End Levels,C4,2,,,,N,,,,,16/06/2012
14,5012.306182,4999.875504,100.885041,EL_C4_2_E,End Levels,C4,2,,,,E,,,,,16/06/2012
15,5011.679598,4999.224061,100.864629,EL_C4_2_S,End Levels,C4,2,,,,S,,,,,16/06/2012
16,5013.061688,5000.590508,100.665632,EL_E3_1_W,End Levels,E3,1,,,,W,,,,,16/06/2012
17,5013.698076,4999.795679,100.676204,EL_D4_1_N,End Levels,D4,1,,,,N,,,,,16/06/2012
18,5013.05019,5000.53919,100.662864,EL_D4_1_E,End Levels,D4,1,,,,E,,,,,16/06/2012
19,5013.020243,5000.562113,100.666735,EL_D3_1_N,End Levels,D3,1,,,,N,,,,,16/06/2012
20,5012.375927,5001.279195,100.710644,EL_D3_1_E,End Levels,D3,1,,,,E,,,,,16/06/2012
21,5012.34503,5001.313387,100.695786,EL_D2_1_N,End Levels,D2,1,,,,N,,,,,16/06/2012
22,5011.755073,5001.968245,100.702846,EL_D2_1_W,End Levels,D2,1,,,,W,,,,,16/06/2012
23,5011.377112,5001.01127,100.786117,EL_D2_1_S,End Levels,D2,1,,,,S,,,,,16/06/2012
24,5011.354241,5000.890167,100.784259,EL_C2_1_E,End Levels,C2,1,,,,E,,,,,16/06/2012
25,5010.67336,5000.343267,100.725028,EL_C2_1_S,End Levels,C2,1,,,,S,,,,,16/06/2012
26,5010.610988,5000.25131,100.680431,EL_B2_1_E,End Levels,B2,1,,,,E,,,,,16/06/2012
27,5010.41162,5000.202715,100.658363,EL_B2_1_S,End Levels,B2,1,,,,W,,,,,16/06/2012
28,5010.725457,4999.876633,100.671789,EL_B2_1_W,End Levels,B2,1,,,,W,,,,,16/06/2012
29,5010.869078,4999.962545,100.681598,EL_B2_1_N,End Levels,B2,1,,,,S,,,,,16/06/2012
30,5011.608762,5000.633849,100.766433,EL_C2_1_N,End Levels,C2,1,,,,N,,,,,16/06/2012
31,5011.623901,5000.62138,100.758068,EL_C3_1_W,End Levels,C3,1,,,,W,,,,,16/06/2012
32,5010.94229,4999.954848,100.699644,EL_C3_1_S,End Levels,C3,1,,,,S,,,,,16/06/2012
33,5010.886365,5000.011937,100.695198,EL_C2_1_W,End Levels,C2,1,,,,W,,,,,16/06/2012
34,5010.898044,4999.941997,100.687297,EL_B3_1_E,End Levels,B3,1,,,,E,,,,,16/06/2012
35,5011.552833,4999.23972,100.645166,EL_B3_1_N,End Levels,B3,1,,,,N,,,,,16/06/2012
36,5010.802038,4998.549487,100.647342,EL_B3_1_W,End Levels,B3,1,,,,W,,,,,16/06/2012
37,5011.567353,4999.279207,100.650292,EL_C3_1_W,End Levels,C3,1,,,,W,,,,,16/06/2012
38,5011.658958,4999.291177,100.654853,EL_C4_1_S,End Levels,C4,1,,,,S,,,,,16/06/2012
39,5012.315497,4999.844459,100.718934,EL_C4_1_E,End Levels,C4,1,,,,E,,,,,16/06/2012
40,5012.271344,4999.898564,100.726511,EL_C3_1_N,End Levels,C3,1,,,,N,,,,,16/06/2012
41,5012.920922,4999.143399,100.717989,EL_C4_1_N,End Levels,C4,1,,,,N,,,,,16/06/2012
42,5012.286467,4998.564172,100.674578,EL_C4_1_W,End Levels,C4,1,,,,W,,,,,16/06/2012
43,5011.286093,5000.871592,100.717908,PF_C2_2_HB1,Plotted Finds,C2,2,Human Bone,HB,1,,,,,,16/06/2012
44,5011.06977,5000.694595,100.733051,PF_C2_2_HB2,Plotted Finds,C2,2,Human Bone,HB,2,,,,,,16/06/2012
45,5013.098337,5001.993059,100.64783,EL_E2_2_N,End Levels,E2,2,,,,N,,,,,16/06/2012
46,5012.662584,5002.457225,100.641943,EL_E2_2_E,End Levels,E2,2,,,,E,,,,,16/06/2012
47,5012.356178,5001.34803,100.65591,EL_E2_2_W,End Levels,E2,2,,,,W,,,,,16/06/2012
48,5011.809766,5002.034792,100.638103,EL_E2_2_S,End Levels,E2,2,,,,S,,,,,16/06/2012
49,5011.59701,5000.648697,100.66192,EL_C2_2_N,End Levels,C2,2,,,,N,,,,,16/06/2012
50,5010.900798,5000.002404,100.687781,EL_C2_2_W,End Levels,C2,2,,,,W,,,,,16/06/2012
51,5010.658784,5000.308095,100.682739,EL_C2_2_S,End Levels,C2,2,,,,S,,,,,16/06/2012
52,5011.229829,5000.968132,100.684605,EL_C2_2_E,End Levels,C2,2,,,,E,,,,,16/06/2012
53,5011.530017,4999.256382,100.645414,EL_B3_2_N,End Levels,B3,2,,,,N,,,,,16/06/2012
54,5010.89344,4999.946058,100.663371,EL_B3_2_E,End Levels,B3,2,,,,E,,,,,16/06/2012
55,5010.799067,4998.581173,100.645486,EL_B3_2_W,End Levels,B3,2,,,,W,,,,,16/06/2012
56,5011.08477,4999.441849,100.703144,EL_B3_2_S,End Levels,B3,2,,,,S,,,,,16/06/2012
57,5010.463145,5000.26592,100.642153,PF_B2_2_HB3,Plotted Finds,B2,2,Human Bone,HB,3,,,,,,16/06/2012
58,5010.866083,4999.965083,100.662026,EL_B2_2_N,End Levels,B2,2,,,,N,,,,,16/06/2012
59,5010.583282,5000.292475,100.646247,EL_B2_2_E,End Levels,B2,2,,,,E,,,,,16/06/2012
60,5010.373458,5000.231694,100.614615,EL_B2_2_S,End Levels,B2,2,,,,S,,,,,16/06/2012
61,5010.703732,4999.87069,100.666949,EL_B2_2_W,End Levels,B2,2,,,,W,,,,,16/06/2012
62,5013.010329,5000.564437,100.638058,EL_D3_2_N,End Levels,D3,2,,,,N,,,,,16/06/2012
63,5012.351985,5001.318516,100.653716,EL_D3_2_E,End Levels,D3,2,,,,E,,,,,16/06/2012
64,5011.65044,5000.66468,100.666215,EL_D3_2_S,End Levels,D3,2,,,,S,,,,,16/06/2012
65,5011.959284,5000.316389,100.735326,EL_D3_2_SW,End Levels,D3,2,,,,SW,,,,,16/06/2012
66,5012.297422,4999.935606,100.67955,EL_D3_2_W,End Levels,D3,2,,,,W,,,,,16/06/2012
67,5012.363359,5000.626115,100.727231,EL_D3_2_C,End Levels,D3,2,,,,C,,,,,16/06/2012
68,5012.262072,4999.930329,100.672918,EL_C3_2_N,End Levels,C3,2,,,,N,,,,,16/06/2012
69,5011.625655,5000.646445,100.676662,EL_C3_2_E,End Levels,C3,2,,,,E,,,,,16/06/2012
70,5010.898817,4999.977741,100.6726,EL_C3_2_S,End Levels,C3,2,,,,S,,,,,16/06/2012
71,5011.574517,4999.24919,100.639574,EL_C3_2_W,End Levels,C3,2,,,,W,,,,,16/06/2012
72,5011.641349,4999.945733,100.711827,EL_C3_2_C,End Levels,C3,2,,,,C,,,,,16/06/2012
73,5013.683779,4999.803596,100.659406,EL_D4_2_N,End Levels,D4,2,,,,N,,,,,16/06/2012
74,5013.035362,5000.535958,100.634136,EL_D4_2_E,End Levels,D4,2,,,,E,,,,,16/06/2012
75,5012.32767,4999.91801,100.680121,EL_D4_2_S,End Levels,D4,2,,,,S,,,,,16/06/2012
76,5012.978625,4999.176751,100.682367,EL_D4_2_W,End Levels,D4,2,,,,W,,,,,16/06/2012
77,5012.963502,4999.903635,100.663204,EL_D4_2_C,End Levels,D4,2,,,,C,,,,,16/06/2012
78,5012.301076,4998.531736,100.759646,EL_C4_2_W,End Levels,C4,2,,,,W,,,,,16/06/2012
79,5012.330875,4999.194109,100.747998,EL_C4_2_C,End Levels,C4,2,,,,C,,,,,16/06/2012
80,5012.974047,4999.122498,100.771318,EL_C4_2_N,End Levels,C4,2,,,,N,,,,,16/06/2012
81,5012.30142,4999.894816,100.769755,EL_C4_2_E,End Levels,C4,2,,,,E,,,,,16/06/2012
82,5011.678777,4999.194422,100.737455,EL_C4_2_S,End Levels,C4,2,,,,S,,,,,16/06/2012
83,5013.777061,5001.23775,100.721134,EL_E3_2_N,End Levels,E3,2,,,,N,,,,,16/06/2012
84,5013.126193,5001.964114,100.74379,EL_E3_2_E,End Levels,E3,2,,,,E,,,,,16/06/2012
85,5012.388505,5001.292249,100.751408,EL_E3_2_S,End Levels,E3,2,,,,S,,,,,16/06/2012
86,5013.046531,5000.566649,100.732781,EL_E3_2_W,End Levels,E3,2,,,,W,,,,,16/06/2012
87,5013.061624,5001.276913,100.748772,EL_E3_2_C,End Levels,E3,2,,,,C,,,,,16/06/2012
88,5014.447415,5000.462338,100.744457,EL_E4_2_N,End Levels,E4,2,,,,N,,,,,16/06/2012
89,5013.78809,5001.196831,100.712307,EL_E4_2_E,End Levels,E4,2,,,,E,,,,,16/06/2012
90,5013.069616,5000.559872,100.723812,EL_E4_2_S,End Levels,E4,2,,,,S,,,,,16/06/2012
91,5013.733429,4999.835225,100.749645,EL_E4_2_W,End Levels,E4,2,,,,W,,,,,16/06/2012
92,5013.721819,5000.482722,100.714642,EL_E4_2_C,End Levels,E4,2,,,,C,,,,,16/06/2012
93,5012.05142,5002.335478,100.847955,SL_E1_1_N,Starting Level,E1,1,,,,N,,,,,16/06/2012
94,5011.808554,5002.109284,100.834954,SL_E1_1_S,Starting Level,E1,1,,,,S,,,,,16/06/2012
95,5011.966053,5002.41071,100.858184,SL_E1_1_E,Starting Level,E1,1,,,,E,,,,,16/06/2012
96,5012.058865,5002.362136,100.807954,EL_E1_1_N,End Levels,E1,1,,,,N,,,,,16/06/2012
97,5011.82068,5002.149444,100.796218,EL_E1_1_S,End Levels,E1,1,,,,S,,,,,16/06/2012
98,5011.783565,5002.025165,100.727499,EL_E1_2_S,End Levels,E1,2,,,,S,,,,,16/06/2012
99,5011.905144,5002.348815,100.73594,EL_E1_2_E,End Levels,E1,2,,,,E,,,,,16/06/2012
