Name,Y,X,Z,Description,,Date Taken
2863,5010.75038,4985.458664,101.108913,CHECK020712,,2/07/2012
2864,5013.149268,5000.664228,100.072102,PF_E3_14_C14X56,,2/07/2012
2865,5012.777803,5000.358277,100.102005,PF_D3_14_L315,,2/07/2012
2866,5013.118834,5000.853899,100.082379,PF_E3_14_L316,,2/07/2012
2867,5013.089999,5000.665728,100.063089,PF_E3_14_C14X57,,2/07/2012
2868,5010.074325,4999.286663,100.254308,KA 1972_MM1,,2/07/2012
2869,5010.066719,4999.280707,99.956787,KA 1972_MM1,,2/07/2012
2870,5009.83093,4999.514853,100.279134,KA 1972_MM1,,2/07/2012
2871,5009.827158,4999.512686,99.939713,KA 1972_MM1,,2/07/2012
2872,5012.449643,5000.448422,100.120814,PF_D3_14_HB640,,2/07/2012
2873,5013.148168,5001.549347,100.076044,PF_E3_14_L317,,2/07/2012
2874,5011.876454,5000.455603,100.111767,PF_D3_14_L318,,2/07/2012
2875,5012.962629,5001.670464,100.095879,PF_E3_14_L319,,2/07/2012
2876,5011.948271,5000.784228,100.073671,PF_D3_14_L321,,2/07/2012
2877,5012.904701,5001.609818,100.037486,PF_E3_15_SH15,,2/07/2012
2878,5013.006418,5000.461078,100.068353,EL_D3_14_N,,2/07/2012
2879,5012.384591,5001.209307,100.053284,EL_D3_14_E,,2/07/2012
2880,5011.654674,5000.626886,100.082396,EL_D3_14_S,,2/07/2012
2881,5012.287432,4999.835365,100.103168,EL_D3_14_W,,2/07/2012
2882,5012.384453,5000.488083,100.08699,EL_D3_14_C,,2/07/2012
2883,5012.98985,5001.142266,100.064218,PF_E3_SR15_L322,,2/07/2012
2884,5011.500695,5000.789917,100.081114,PF_D2_14_L323,,2/07/2012
2885,5012.680187,5001.462144,100.044582,PF_E3_15_C14X58,,2/07/2012
2886,5011.614983,5000.845216,100.065663,PF_D2_14_L324,,2/07/2012
2887,5011.573907,5000.759941,100.047231,PF_D2_14_L325,,2/07/2012
2888,5013.743726,5001.139668,100.057693,EL_E3_14_N,,2/07/2012
2889,5013.060644,5001.846767,100.062287,EL_E3_14_E,,2/07/2012
2890,5012.391019,5001.243304,100.052051,EL_E3_14_S,,2/07/2012
2891,5013.031022,5000.480835,100.074698,EL_E3_14_W,,2/07/2012
2892,5013.128661,5001.1467,100.070923,EL_E3_14_C,,2/07/2012
2893,5011.444506,5000.91758,100.08276,PF_D2_14_HM96,,2/07/2012
2894,5011.720085,5000.945082,100.058106,PF_D2_14_L326,,2/07/2012
2895,5011.857957,5000.943462,100.089964,PF_D2_14_C14X59,,2/07/2012
2896,5012.250031,5001.514597,100.06876,PF_E2_14_HM97,,2/07/2012
2897,5011.707114,5000.919442,100.059714,PF_D2_14_L327,,2/07/2012
2898,5012.217349,5001.224062,100.087163,PF_D2_14_SH16,,2/07/2012
2899,5012.450808,5001.643259,100.066951,PF_E2_14_L328,,2/07/2012
2900,5011.013207,5000.148826,100.099223,PF_C3_SR14_L329,,2/07/2012
2901,5010.989216,5000.22372,100.106616,PF_C3_SR14_L329,,2/07/2012
2902,5010.973042,5000.174142,100.11221,PF_C3_SR14_L329,,2/07/2012
2903,5011.015198,5000.150823,100.091575,PF_C3_SR14_L329,,2/07/2012
2904,5010.996765,5000.215802,100.100821,PF_C3_SR14_L329,,2/07/2012
2905,5010.976251,5000.178149,100.101755,PF_C3_SR14_L329,,2/07/2012
2906,5012.450313,5001.679944,100.056258,PF_E2_14_L330,,2/07/2012
2907,5012.870137,5001.851584,100.110604,PF_E2_14_R56,,2/07/2012
2908,5012.818339,5001.793694,100.110551,PF_E2_14_R56,,2/07/2012
2909,5012.86611,5001.772486,100.104755,PF_E2_14_R56,,2/07/2012
2910,5012.892149,5001.819938,100.107645,PF_E2_14_R56,,2/07/2012
2911,5012.859674,5001.845075,100.092542,PF_E2_14_R56,,2/07/2012
2912,5012.826714,5001.813202,100.089229,PF_E2_14_R56,,2/07/2012
2913,5012.854573,5001.776491,100.088147,PF_E2_14_R56,,2/07/2012
2914,5012.862784,5001.815232,100.083167,PF_E2_14_R56,,2/07/2012
2915,5012.198153,5001.407662,100.060504,PF_D2_14_L331,,2/07/2012
2916,5011.736702,5000.940786,100.046953,PF_D2_14_L332,,2/07/2012
2917,5011.715067,5001.071577,100.054424,PF_D2_14_L333,,2/07/2012
2918,5011.655685,5001.096631,100.079928,PF_D2_14_HM98,,2/07/2012
2919,5011.391223,5000.999907,100.071691,PF_D2_14_L334,,2/07/2012
2920,5011.446988,5001.014379,100.049724,PF_D2_14_L335,,2/07/2012
2921,5012.210532,5001.742738,100.060244,PF_E2_14_L336,,2/07/2012
2922,5011.746172,5001.155114,100.054813,PF_D2_14_L337,,2/07/2012
2923,5011.374013,5000.943819,100.063326,PF_D2_14_L338,,2/07/2012
2924,5011.456631,5001.10309,100.048037,PF_D2_14_L339,,2/07/2012
2925,5011.512401,5001.26159,100.086478,PF_D2_14_L340,,2/07/2012
2926,5011.537068,5001.212914,100.063538,PF_D2_14_L341,,2/07/2012
2927,5015.256853,5002.137916,103.318399,PF_D2_14_HM99,,2/07/2012
2928,5011.788425,5001.457142,100.07443,PF_D2_14_L342,,2/07/2012
2929,5011.604664,5001.482956,100.098704,PF_D2_14_L343,,2/07/2012
2930,5011.56308,5001.401814,100.059527,PF_D2_14_L344,,2/07/2012
2931,5011.398887,5001.328955,100.079868,PF_D2_14_L345,,2/07/2012
2932,5011.499577,5001.496137,100.09887,PF_D2_14_HM101,,2/07/2012
2933,5011.76376,5001.273705,100.037533,PF_D2_14_L346,,2/07/2012
2934,5011.698404,5001.298221,100.039905,PF_D2_14_L347,,2/07/2012
2935,5011.674468,5001.441019,100.041218,PF_D2_14_L348,,2/07/2012
2936,5011.516893,5001.085425,100.04758,PF_D2_14_L349,,2/07/2012
2937,5011.280746,5001.20633,100.061326,PF_D2_14_L350,,2/07/2012
2938,5011.402101,5001.393352,100.05471,PF_D2_14_L351,,2/07/2012
2939,5011.276377,5001.184412,100.06127,PF_D2_14_L352,,2/07/2012
2940,5013.032338,5001.158305,100.071414,PF_E3_SR15,,2/07/2012
2941,5012.616773,5001.209816,100.059322,PF_E3_SR15,,2/07/2012
2942,5012.495051,5000.748759,100.080881,PF_E3_SR15,,2/07/2012
2943,5012.84577,5000.608528,100.078219,PF_E3_SR15,,2/07/2012
2944,5012.728282,5000.759334,100.110063,PF_E3_SR15,,2/07/2012
2945,5012.733257,5001.084097,100.082155,PF_E3_SR15,,2/07/2012
2946,5012.778142,5001.119385,100.108212,PF_E3_SR15_SAC,,2/07/2012
2947,5012.71265,5000.749769,100.123133,PF_E3_SR15_T1,,2/07/2012
2948,5011.493745,5001.55073,100.082836,PF_D3_14_L353,,2/07/2012
2949,5012.097235,5001.569608,100.072278,PF_D3_14_L354,,2/07/2012
2950,5011.755389,5001.560239,100.062794,PF_D3_14_HM102,,2/07/2012
2951,5012.55523,5002.272339,100.05835,PF_E2_14A_L355,,2/07/2012
2952,5011.64835,5001.719461,100.074149,PF_D2_14_L356,,2/07/2012
2953,5011.713866,5001.646379,100.053717,PF_D2_14_L357,,2/07/2012
2954,5012.831884,5002.792066,100.889803,BR,,2/07/2012
2955,5012.954682,5002.910024,101.097277,BR,,2/07/2012
2956,5013.070044,5002.913149,101.374303,BR,,2/07/2012
2957,5013.172551,5002.853679,101.545639,BR,,2/07/2012
2958,5012.833494,5002.600873,101.687569,BR,,2/07/2012
2959,5013.269156,5002.489929,101.840132,BR,,2/07/2012
2960,5013.590129,5002.451094,102.127442,BR,,2/07/2012
2961,5013.615691,5002.453247,102.318399,BR,,2/07/2012
2962,5013.629495,5002.495669,102.597882,BR,,2/07/2012
2963,5013.72591,5002.346555,102.736195,BR,,2/07/2012
2964,5013.883139,5002.182724,102.754499,BR,,2/07/2012
2965,5014.101323,5002.348603,102.809921,BR,,2/07/2012
2966,5012.697005,5001.168064,100.069698,PF_E3_SR15_L376,,2/07/2012
2967,5012.678068,5001.18835,100.065702,PF_E3_SR15_L376,,2/07/2012
2968,5012.675287,5001.060522,100.050332,PF_E3_SR15_L376,,2/07/2012
2969,5012.705733,5001.069529,100.065778,PF_E3_SR15_L376,,2/07/2012
2970,5012.72717,5001.14984,100.056487,PF_E3_SR15_L376,,2/07/2012
2971,5012.676491,5001.14407,100.057934,PF_E3_SR15_L376,,2/07/2012
2972,5012.698004,5001.03,100.039144,PF_E3_SR15_L376,,2/07/2012
2973,5012.710143,5001.057772,100.043956,PF_E3_SR15_L376,,2/07/2012
2974,5011.267283,5000.515683,100.082167,C2_14_HB642,,2/07/2012
2975,5011.504613,5000.851903,100.097988,C2_14_HB643,,2/07/2012
2976,5011.497094,5000.720259,100.081404,C2_14_HB644,,2/07/2012
2977,5011.760134,5000.41936,100.119979,C3_14_L377,,2/07/2012
2978,5011.895751,4999.805659,100.110099,C3_14_C14X61,,2/07/2012
2979,5011.345749,5000.620844,100.076078,C2_14_L378,,2/07/2012
2980,5011.466223,5000.816966,100.07488,C2_14_L379,,2/07/2012
2981,5011.329145,5001.002093,100.071688,C2_14_L380,,2/07/2012
2982,5011.281111,5001.035262,100.076309,C3_14_L381,,2/07/2012
2983,5012.074167,4999.783691,100.090825,C3_14_L382,,2/07/2012
2984,5016.906544,5006.394685,100.809057,BR,,2/07/2012
2985,5016.769662,5006.25556,100.811077,BR,,2/07/2012
2986,5015.840988,5005.505339,100.843951,BR,,2/07/2012
2987,5018.549548,5007.696849,100.955651,BR,,2/07/2012
2988,5018.426162,5007.546379,100.937763,BR,,2/07/2012
2989,5018.377512,5007.395825,100.928768,BR,,2/07/2012
2990,5019.118631,5004.651642,101.717891,BR,,2/07/2012
2991,5017.802955,5006.764307,100.991123,BR,,2/07/2012
2992,5017.505391,5006.927907,100.836354,BR,,2/07/2012
2993,5017.269868,5006.730217,100.779477,BR,,2/07/2012
2994,5017.001962,5006.466118,100.802896,BR,,2/07/2012
2995,5016.845704,5006.350144,100.797044,BR,,2/07/2012
2996,5016.680866,5006.183571,100.797693,BR,,2/07/2012
2997,5016.529699,5005.978239,100.80588,BR,,2/07/2012
2998,5018.78104,5003.959794,101.77737,BR,,2/07/2012
2999,5014.318473,5004.862863,100.745858,BR,,2/07/2012
3000,5013.964353,5004.814324,100.744775,BR,,2/07/2012
3001,5013.72106,5004.683632,100.696897,BR,,2/07/2012
3002,5013.550856,5004.498274,100.667901,BR,,2/07/2012
3003,5013.422789,5004.316459,100.751026,BR,,2/07/2012
3004,5013.325987,5004.07466,100.800018,BR,,2/07/2012
3005,5013.288009,5003.852073,100.798813,BR,,2/07/2012
3006,5013.234255,5003.72517,100.790604,BR,,2/07/2012
3007,5013.320442,5003.569238,100.764246,BR,,2/07/2012
3008,5013.236039,5003.205837,100.837095,BR,,2/07/2012
3009,5013.124875,5003.07222,100.882601,BR,,2/07/2012
3010,5012.963784,5002.899473,100.914247,BR,,2/07/2012
3011,5012.698223,5002.71138,100.893331,BR,,2/07/2012
3012,5011.725526,5002.119622,100.740908,BR,,2/07/2012
3013,5017.623835,5007.052967,100.912003,BR,,2/07/2012
3014,5017.905765,5007.035249,100.955702,BR,,2/07/2012
3015,5018.324155,5007.700176,100.944367,BR,,2/07/2012
3016,5018.484797,5007.809379,100.982325,BR,,2/07/2012
