Name,Easting,Northing,Elevation,Description,,Date Taken
301,5000.659821,5013.718872,100.567455,PF_E4_4_HM9,,18/06/2012
302,5000.485564,5013.862144,100.565063,PF_E4_4_L33,,18/06/2012
303,5002.917183,5013.06481,100.835462,BR,,18/06/2012
304,5002.917243,5013.069201,100.889043,BR,,18/06/2012
305,5002.917375,5013.079903,100.956333,BR,,18/06/2012
306,5002.917437,5013.084803,101.021905,BR,,18/06/2012
307,5002.917128,5013.055231,101.125169,BR,,18/06/2012
308,5002.917431,5013.081086,101.211877,BR,,18/06/2012
309,5002.91824,5013.148161,101.244366,BR,,18/06/2012
310,5002.918832,5013.198022,101.290735,BR,,18/06/2012
311,5002.919072,5013.218901,101.360973,BR,,18/06/2012
312,5002.919081,5013.218137,101.449475,BR,,18/06/2012
313,5002.919289,5013.235611,101.462396,BR,,18/06/2012
314,5002.919405,5013.245423,101.497976,BR,,18/06/2012
315,5002.919694,5013.268873,101.608699,BR,,18/06/2012
316,5002.920033,5013.297681,101.731423,BR,,18/06/2012
317,5002.920472,5013.335784,101.847295,BR,,18/06/2012
318,5002.920993,5013.378999,101.862632,BR,,18/06/2012
319,5002.9221,5013.472053,101.95193,BR,,18/06/2012
320,5002.924478,5013.671272,101.983227,BR,,18/06/2012
321,5002.92546,5013.753637,102.012982,BR,,18/06/2012
322,5002.925646,5013.769767,102.108492,BR,,18/06/2012
323,5002.925741,5013.778095,102.172005,BR,,18/06/2012
324,5002.925812,5013.784098,102.184695,BR,,18/06/2012
325,5002.929155,5013.790453,102.340891,BR,,18/06/2012
326,5002.930076,5013.811444,102.452661,BR,,18/06/2012
327,5002.930217,5013.823896,102.49176,BR,,18/06/2012
328,5002.930452,5013.844798,102.502578,BR,,18/06/2012
329,5002.932882,5013.86713,102.558827,BR,,18/06/2012
330,5002.93318,5013.894328,102.581013,BR,,18/06/2012
331,5002.93349,5013.922773,102.65407,BR,,18/06/2012
332,5002.9347,5014.033278,102.684307,BR,,18/06/2012
333,5000.434519,5014.450847,100.545046,EL_E4_4_N,,18/06/2012
334,5001.188095,5013.80914,100.558082,EL_E4_4_E,,18/06/2012
335,5000.50109,5013.075035,100.563387,EL_E4_4_S,,18/06/2012
