Name,Northing ,Easting ,Elevation,Description,,Date Taken
1698,5010.753854,4985.483628,100.498937,CHECK,,23/06/2012
1699,5013.735944,5001.175922,100.552439,EL_E3_4_N,,23/06/2012
1700,5013.048909,5000.540393,100.557176,EL_E3_4_W,,23/06/2012
1701,5012.442711,5001.310049,100.514261,EL_E3_4_S,,23/06/2012
1702,5013.107841,5001.812646,100.554962,EL_E3_4_E,,23/06/2012
1703,5013.07181,5001.234014,100.552965,EL_E3_4_C,,23/06/2012
1704,5013.697588,5001.191642,100.546549,EL_E3_5A_N,,23/06/2012
1705,5013.127313,5001.833055,100.511169,EL_E3_5A_E,,23/06/2012
1706,5012.404073,5001.266547,100.501455,EL_E3_5A_S,,23/06/2012
1707,5013.039467,5000.52502,100.541256,EL_E3_5A_W,,23/06/2012
1708,5013.078959,5001.231354,100.518372,EL_E3_5A_C,,23/06/2012
1709,5013.27547,5000.038335,100.266002,PF_D4_10_HB402,,23/06/2012
1710,5013.274382,5000.084527,100.274809,PF_D4_10_HB403,,23/06/2012
1711,5013.324796,5000.107166,100.279746,PF_E4_11_HB404,,23/06/2012
1712,5013.459978,5000.016561,100.234934,PF_E4_11_HB405,,23/06/2012
1713,5013.037137,5001.084262,100.575716,PF_E3_4_SF21,,23/06/2012
1714,5012.968346,5001.069873,100.572431,PF_E3_4_SF21,,23/06/2012
1715,5012.967069,5001.1397,100.574086,PF_E3_4_SF21,,23/06/2012
1716,5013.056161,5001.134861,100.572862,PF_E3_4_SF21,,23/06/2012
1717,5013.053988,5001.088228,100.583286,PF_E3_4_SF21,,23/06/2012
1718,5013.000172,5001.099478,100.466564,PF_E3_4_SF21,,23/06/2012
1719,5013.526819,5000.059429,100.232761,PF_E4_11_HB406,,23/06/2012
1720,5013.58518,5000.194427,100.259059,PF_E4_11_HB407,,23/06/2012
1721,5013.468181,5000.15442,100.235842,PF_E4_11_HB408,,23/06/2012
1722,5013.646335,5000.232074,100.26585,PF_E4_11_HB409,,23/06/2012
1723,5013.655829,5000.20985,100.262249,PF_E4_11_HB410,,23/06/2012
1724,5013.646131,5000.243092,100.253209,PF_E4_11_HB411,,23/06/2012
1725,5013.024537,5000.844425,100.495906,PF_E3_6_HM43,,23/06/2012
1726,5012.995628,5001.019143,100.48923,PF_E3_6_HB412,,23/06/2012
1727,5012.958132,5001.000842,100.481945,PF_E3_6_HB413,,23/06/2012
1728,5013.846295,5000.279554,100.233914,PF_E4_11_HB414,,23/06/2012
1729,5012.405534,5001.381998,100.520272,PF_E3_6_R40,,23/06/2012
1730,5012.345183,5001.258335,100.486141,PF_E3_6_R40,,23/06/2012
1731,5012.46597,5001.28338,100.510201,PF_E3_6_R40,,23/06/2012
1732,5012.486039,5001.169097,100.494909,PF_E3_6_R40,,23/06/2012
1733,5012.447195,5001.220214,100.4489,PF_E3_6_R40,,23/06/2012
1734,5012.423809,5001.265347,100.455172,PF_E3_6_R40,,23/06/2012
1735,5012.397021,5001.316993,100.462848,PF_E3_6_R40,,23/06/2012
1736,5013.770381,5001.168306,100.503901,EL_E3_6_N,,23/06/2012
1737,5013.034046,5000.497691,100.51195,EL_E3_6_W,,23/06/2012
1738,5012.391499,5001.253523,100.448139,EL_E3_6_S,,23/06/2012
1739,5013.081257,5001.859105,100.476501,EL_E3_6_E,,23/06/2012
1740,5013.095421,5001.205305,100.493673,EL_E3_6_C,,23/06/2012
1741,5012.532174,5001.129394,100.432705,PF_E3_7_HB415,,23/06/2012
1742,5014.174592,5000.438054,100.232099,PF_E4_11_HB416,,23/06/2012
1743,5012.440416,5001.180928,100.432974,PF_E3_7_HB417,,23/06/2012
1744,5012.657404,5001.373318,100.423661,PF_E3_7_HM44,,23/06/2012
1745,5014.071674,5000.374458,100.202438,PF_E4_11_HB418,,23/06/2012
1746,5014.15853,5000.473462,100.215961,PF_E4_11_HB419,,23/06/2012
1747,5014.162755,5000.556705,100.21769,PF_E4_11_HB420,,23/06/2012
1748,5014.223168,5000.558795,100.231746,PF_E4_11_HB421,,23/06/2012
1749,5013.940431,5000.312317,100.239408,PF_E4_11_HB422,,23/06/2012
1750,5013.613353,5000.742006,100.230943,PF_E4_11_HB423,,23/06/2012
1751,5014.344287,5000.456312,100.202205,EL_E4_11_N,,23/06/2012
1752,5013.822866,5001.050842,100.193057,EL_E4_11_E,,23/06/2012
1753,5013.135231,5000.481948,100.22803,EL_E4_11_S,,23/06/2012
1754,5013.70672,4999.844378,100.216919,EL_E4_11_W,,23/06/2012
1755,5013.751779,5000.477842,100.213386,EL_E4_11_C,,23/06/2012
1756,5013.591761,5000.968919,100.558661,PF_E3_7_R41,,23/06/2012
1757,5013.523789,5001.045316,100.527019,PF_E3_7_R41,,23/06/2012
1758,5013.488375,5000.961034,100.51491,PF_E3_7_R41,,23/06/2012
1759,5013.54634,5001.045801,100.481186,PF_E3_7_R41,,23/06/2012
1760,5013.511311,5000.997792,100.473198,PF_E3_7_R41,,23/06/2012
1761,5013.498098,5000.954607,100.480547,PF_E3_7_R41,,23/06/2012
1762,5012.464485,5001.285458,100.465013,PF_E3_7_R42,,23/06/2012
1763,5012.518656,5001.266799,100.461043,PF_E3_7_R42,,23/06/2012
1764,5012.559581,5001.191696,100.486649,PF_E3_7_R42,,23/06/2012
1765,5012.517425,5001.171944,100.488371,PF_E3_7_R42,,23/06/2012
1766,5012.470301,5001.300535,100.437471,PF_E3_7_R42,,23/06/2012
1767,5012.503801,5001.238776,100.410202,PF_E3_7_R42,,23/06/2012
1768,5012.524048,5001.181456,100.396791,PF_E3_7_R42,,23/06/2012
1769,5011.029084,4999.424485,100.381055,PF_B3_10_HB426,,23/06/2012
1770,5010.833435,4999.564504,100.248353,PF_B3_10_HB426,,23/06/2012
1771,5011.042029,4999.450415,100.351202,PF_B3_10_HB427,,23/06/2012
1772,5010.850789,4999.674192,100.230767,PF_B3_10_HB427,,23/06/2012
1773,5011.094404,4999.441453,100.384399,PF_B3_10_HB428,,23/06/2012
1774,5010.879709,4999.705572,100.23319,PF_B3_10_HB428,,23/06/2012
1775,5012.627144,5001.223782,100.423006,PF_E3_7_HB424,,23/06/2012
1776,5012.557016,5001.327194,100.411486,PF_E3_7_HB425,,23/06/2012
1777,5013.043013,5001.194844,100.448576,PF_E3_7_HB429,,23/06/2012
1778,5013.258992,5001.680487,100.424736,PF_E3_7_HB430,,23/06/2012
1779,5009.775299,4999.590025,99.216207,PF_KA_SW_HM45,,23/06/2012
1780,5013.760051,5001.156765,100.457796,EL_E3_7_N,,23/06/2012
1781,5013.035174,5000.491493,100.46362,EL_E3_7_W,,23/06/2012
1782,5012.389173,5001.273239,100.421413,EL_E3_7_S,,23/06/2012
1783,5013.077137,5001.83148,100.431142,EL_E3_7_E,,23/06/2012
1784,5013.060222,5001.234998,100.446628,EL_E3_7_C,,23/06/2012
1785,5012.895241,5000.667348,100.443499,PF_E3_7A_SF22,,23/06/2012
1786,5013.125302,5000.798441,100.432018,PF_E3_7A_SF22,,23/06/2012
1787,5013.444446,5000.891321,100.469331,PF_E3_7A_SF22,,23/06/2012
1788,5013.03157,5000.496316,100.461913,PF_E3_7A_SF22,,23/06/2012
1789,5010.80506,4999.222721,99.250211,PF_KA_NW_L126,,23/06/2012
1790,5012.500206,5001.268187,100.400974,PF_E3_8_HB431,,23/06/2012
1791,5012.672854,5001.267302,100.415365,PF_E3_8_HB432,,23/06/2012
1792,5012.562308,5001.158212,100.416523,PF_E3_8_HB433,,23/06/2012
1793,5012.504434,5001.175099,100.401339,PF_E3_8_HB434,,23/06/2012
1794,5012.580352,5001.217701,100.404681,PF_E3_8_HB435,,23/06/2012
1795,5012.59752,5001.314647,100.397595,PF_E3_8_HB436,,23/06/2012
1796,5013.07184,5001.204005,100.455361,PF_E3_8_HB437,,23/06/2012
1797,5013.017662,5001.130472,100.413904,PF_E3_8_HB438,,23/06/2012
1798,5013.064776,5001.153443,100.449282,PF_E3_8_HB439,,23/06/2012
1799,5013.040903,5001.203047,100.44725,PF_E3_8_HB440,,23/06/2012
1800,5013.755145,5001.17513,100.416468,EL_E3_8_N,,23/06/2012
1801,5012.994178,5001.790627,100.391789,EL_E3_8_E,,23/06/2012
1802,5012.383729,5001.265415,100.370578,EL_E3_8_S,,23/06/2012
1803,5013.03745,5000.488202,100.413217,EL_E3_8_W,,23/06/2012
1804,5013.042621,5001.173625,100.39998,EL_E3_8_C,,23/06/2012
1805,5012.885574,5000.683895,100.402171,PF_E3_8A_SF23,,23/06/2012
1806,5013.0689,5000.825786,100.404393,PF_E3_8A_SF23,,23/06/2012
1807,5013.297042,5000.936543,100.407903,PF_E3_8A_SF23,,23/06/2012
1808,5013.452135,5000.882847,100.421276,PF_E3_8A_SF23,,23/06/2012
1809,5013.042331,5000.48719,100.413883,PF_E3_8A_SF23,,23/06/2012
1810,5012.533084,5001.355723,100.355857,PF_E3_9_HB441,,23/06/2012
1811,5012.720328,5001.083546,100.315805,PF_E3_9_HB442,,23/06/2012
1812,5012.618684,5001.538723,100.320545,PF_E3_9_HB443,,23/06/2012
1813,5012.062395,4999.829684,100.297845,PF_C3_11_HM46,,23/06/2012
1814,5011.840416,4999.958116,100.273977,PF_C3_11_HB444,,23/06/2012
1815,5011.893329,4999.936602,100.259749,PF_C3_11_HB444,,23/06/2012
1816,5013.448875,5001.450533,100.355933,PF_E3_9_L127,,23/06/2012
1817,5013.351386,5001.518784,100.348246,PF_E3_9_HB445,,23/06/2012
1818,5011.820598,4999.53434,100.242002,PF_C3_11_HB446,,23/06/2012
1819,5013.361107,5001.41221,100.340963,PF_E3_9_HM47,,23/06/2012
1820,5011.678372,4999.91559,100.250749,PF_C3_11_HB447,,23/06/2012
1821,5011.621439,4999.804917,100.257286,PF_C3_11_HB448,,23/06/2012
1822,5011.645746,4999.933758,100.267625,PF_C3_11_HB449,,23/06/2012
1823,5011.703222,5001.308246,100.28109,PF_D2_10_HB450,,23/06/2012
1824,5011.809244,5001.150909,100.278322,PF_D2_10_HB451,,23/06/2012
1825,5011.954401,5000.978641,100.266717,PF_D2_10_HB452,,23/06/2012
1826,5012.057802,5001.059697,100.276205,PF_D2_10_HB453,,23/06/2012
1827,5011.901252,5001.199423,100.267445,PF_D2_10_HB454,,23/06/2012
1828,5011.692785,5001.052468,100.26934,PF_D2_10_HB455,,23/06/2012
1829,5013.00563,5001.521788,100.352641,PF_E3_9_C14X34,,23/06/2012
1830,5012.031545,5000.031154,100.60009,PF_C3_11_HB456,,23/06/2012
1831,5011.897162,5001.397804,100.265114,PF_D2_10_HB457,,23/06/2012
1832,5012.21596,5001.300174,100.284516,PF_D2_10_HB458,,23/06/2012
1833,5012.03919,5001.145268,100.264668,PF_D2_10_HB459,,23/06/2012
1834,5012.128159,5001.166767,100.259885,PF_D2_10_C14X35,,23/06/2012
1835,5013.099503,5001.832869,100.388869,PF_E3_9_HB460,,23/06/2012
1836,5013.144676,5001.838705,100.411372,PF_E3_9_HB460,,23/06/2012
1837,5011.564948,4999.373928,100.27216,PF_C3_11_HB461,,23/06/2012
1838,5011.461436,4999.565931,100.288213,PF_C3_11_HB462,,23/06/2012
1839,5011.496519,4999.629089,100.281087,PF_C3_11_HB462,,23/06/2012
1840,5011.150524,4998.861048,100.38161,EL_B3_8A_N,,23/06/2012
1841,5010.835374,4999.177027,100.407295,EL_B3_8A_E,,23/06/2012
1842,5010.52801,4998.859793,100.427404,EL_B3_8A_S,,23/06/2012
1843,5010.823549,4998.575667,100.3995,EL_B3_8A_W,,23/06/2012
1844,5011.497889,4999.300593,100.260456,PF_C3_11_L128,,23/06/2012
1845,5011.934582,5001.072568,100.241508,PF_D2_9_HB463,,23/06/2012
1846,5011.784475,5001.084609,100.251694,PF_D2_9_HB464,,23/06/2012
1847,5011.948403,5001.146766,100.257511,PF_D2_9_HB465,,23/06/2012
1848,5013.78348,5001.203178,100.366122,EL_E3_9_N,,23/06/2012
1849,5013.090502,5001.843092,100.363436,EL_E3_9_E,,23/06/2012
1850,5012.388065,5001.241155,100.326725,EL_E3_9_S,,23/06/2012
1851,5013.073275,5000.502808,100.375588,EL_E3_9_W,,23/06/2012
1852,5013.055356,5001.225619,100.350066,EL_E3_9_C,,23/06/2012
1853,5012.036907,5001.342734,100.256413,PF_D2_9_HB466,,23/06/2012
1854,5011.755116,5000.70643,100.255906,PF_D2_9_HB467,,23/06/2012
1855,5011.6859,5000.619475,100.281446,PF_D2_9_HM48,,23/06/2012
1856,5011.644901,5000.115416,100.246127,PF_C3_11_HB468,,23/06/2012
1857,5012.925898,5000.792257,100.32525,PF_E3_10_HB469,,23/06/2012
1858,5012.738297,5001.154347,100.320402,PF_E3_10_HB470,,23/06/2012
1859,5011.627652,5000.286012,100.239382,PF_C3_11_HB471,,23/06/2012
1860,5012.63329,5001.083581,100.286294,PF_E3_10_HB472,,23/06/2012
1861,5011.467297,5000.048025,100.256068,PF_C3_11_HB473,,23/06/2012
1862,5011.554849,5000.068704,100.248833,PF_C3_11_HB474,,23/06/2012
1863,5010.626997,4998.805596,100.403661,PF_B3_9A_HB475,,23/06/2012
1864,5010.691583,4998.828032,100.388969,PF_B3_9A_HB476,,23/06/2012
1865,5011.556547,5000.745835,100.256708,PF_D2_10_HB477,,23/06/2012
1866,5011.650247,5001.102371,100.26333,PF_D2_10_HB478,,23/06/2012
1867,5011.606903,5000.913004,100.343794,PF_D2_10_R43,,23/06/2012
1868,5011.663095,5000.945186,100.301389,PF_D2_10_R43,,23/06/2012
1869,5011.576077,5000.846591,100.291881,PF_D2_10_R43,,23/06/2012
1870,5011.64791,5000.87286,100.267562,PF_D2_10_R43,,23/06/2012
1871,5011.58213,5000.966836,100.300634,PF_D2_10_R43,,23/06/2012
