Name,Northing,Easting,Elevation,Description,,Date Taken
2087,5010.745305,4985.477151,100.500728,CHECK,,25/06/2012
2088,5017.602318,5000.499987,100.74675,DEM,,25/06/2012
2089,5018.581712,4998.587882,100.628614,DEM,,25/06/2012
2090,5015.658648,4997.488261,100.726553,DEM,,25/06/2012
2091,5011.389296,4992.535704,100.779911,DEM,,25/06/2012
2092,5006.632785,4988.674292,100.735469,DEM,,25/06/2012
2093,5008.149525,4986.446334,100.55255,DEM,,25/06/2012
2094,5012.71692,4989.175383,100.521601,DEM,,25/06/2012
2095,5017.378096,4992.744544,100.373406,DEM,,25/06/2012
2096,5022.244972,4995.426622,100.313626,DEM,,25/06/2012
2097,5021.062355,4988.614615,100.091443,DEM,,25/06/2012
2098,5019.173931,4986.015196,100.057538,DEM,,25/06/2012
2099,5016.59392,4985.70476,100.080473,DEM,,25/06/2012
2100,5017.761607,4978.45608,99.922349,DEM,,25/06/2012
2101,5005.968957,4978.508528,100.242626,DEM,,25/06/2012
2102,5002.491966,4979.713973,100.425496,DEM,,25/06/2012
2103,5002.856922,4985.409064,100.719982,DEM,,25/06/2012
2104,5005.024915,4990.412707,100.865571,DEM,,25/06/2012
2105,5006.34413,4993.004302,100.827118,DEM,,25/06/2012
2106,5009.404509,4992.386367,100.837,DEM,,25/06/2012
2107,5011.07132,4993.096684,100.786191,DEM,,25/06/2012
2108,5010.510283,4995.296123,100.752015,DEM,,25/06/2012
2109,5012.600574,4994.980819,100.750712,DEM,,25/06/2012
2110,5014.544683,4997.716322,100.720119,DEM,,25/06/2012
2111,5013.107713,5002.901833,100.75205,RSWALL,,25/06/2012
2112,5013.361922,5003.296833,100.716116,RSWALL,,25/06/2012
2113,5013.396885,5004.115134,100.640589,RSWALL,,25/06/2012
2114,5013.776963,5004.480938,100.648477,RSWALL,,25/06/2012
2115,5014.117502,5004.613652,100.665836,RSWALL,,25/06/2012
2116,5014.617396,5004.733807,100.637304,RSWALL,,25/06/2012
2117,5014.992233,5004.864737,100.67133,RSWALL,,25/06/2012
2118,5015.483472,5005.053695,100.695894,RSWALL,,25/06/2012
2119,5016.031163,5005.286225,100.776104,RSWALL,,25/06/2012
2120,5016.410525,5005.7009,100.719827,RSWALL,,25/06/2012
2121,5016.762921,5006.015229,100.718814,RSWALL,,25/06/2012
2122,5017.092031,5006.392951,100.743938,RSWALL,,25/06/2012
2123,5017.549044,5006.884492,100.757065,RSWALL,,25/06/2012
2124,5018.261237,5007.500399,100.898175,RSWALL,,25/06/2012
2125,5018.641731,5007.770898,100.952476,TREE,,25/06/2012
2126,5018.770775,5007.263242,100.920977,TREE,,25/06/2012
2127,5019.164657,5007.048038,100.958312,TREE,,25/06/2012
2128,5019.53231,5006.877018,100.918749,TREE,,25/06/2012
2129,5020.132175,5006.967071,100.891926,TREE,,25/06/2012
2130,5012.888768,5001.731285,100.310305,PF_E2_9_HB553,,25/06/2012
2131,5012.94961,5001.94953,100.337992,PF_E2_9_L144,,25/06/2012
2132,5012.863141,5002.009471,100.340039,PF_E2_9_HB554,,25/06/2012
2133,5014.274059,5000.4784,100.198637,PF_E4_11_SR4,,25/06/2012
2134,5013.912729,5000.849278,100.197143,PF_E4_11_SR4,,25/06/2012
2135,5013.880004,5000.131043,100.222186,PF_E4_11_SR4,,25/06/2012
2136,5013.5153,5000.565773,100.20743,PF_E4_11_SR4,,25/06/2012
2137,5013.643581,4999.942384,100.228831,PF_E4_11_SR4,,25/06/2012
2138,5013.264855,5000.332175,100.222452,PF_E4_11_SR4,,25/06/2012
2139,5012.920106,5002.070465,100.383317,PF_E2_9_HB555,,25/06/2012
2140,5013.517281,4999.81197,100.230921,PF_D4_11_SR5,,25/06/2012
2141,5013.108175,5000.277989,100.218199,PF_D4_11_SR5,,25/06/2012
2142,5013.264311,4999.586029,100.231271,PF_D4_11_SR5,,25/06/2012
2143,5012.808009,5000.04837,100.22785,PF_D4_11_SR5,,25/06/2012
2144,5012.828547,4999.249992,100.226389,PF_D4_11_SR5,,25/06/2012
2145,5012.487214,4999.717748,100.233882,PF_D4_11_SR5,,25/06/2012
2146,5012.801868,5000.078176,100.229605,PF_D3_11_SR6,,25/06/2012
2147,5012.455316,5000.475508,100.214284,PF_D3_11_SR6,,25/06/2012
2148,5012.684443,4999.912648,100.221478,PF_D3_11_SR6,,25/06/2012
2149,5012.3632,5000.247005,100.236931,PF_D3_11_SR6,,25/06/2012
2150,5012.461585,4999.689528,100.233377,PF_D3_11_SR6,,25/06/2012
2151,5012.095992,5000.143456,100.233763,PF_D3_11_SR6,,25/06/2012
2152,5012.882702,5001.575835,100.243632,PF_E3_11_L145,,25/06/2012
2153,5012.527998,4999.731241,100.232227,PF_C3_11_SR2,,25/06/2012
2154,5012.110012,5000.100713,100.240213,PF_C3_11_SR2,,25/06/2012
2155,5011.980296,4999.3797,100.235315,PF_C3_11_SR2,,25/06/2012
2156,5011.823131,4999.948572,100.232487,PF_C3_11_SR2,,25/06/2012
2157,5011.71242,4999.645454,100.231207,PF_C3_11_SR2,,25/06/2012
2158,5012.044924,4999.20456,100.242065,PF_C4_11_SR7,,25/06/2012
2159,5011.883326,4999.399497,100.238986,PF_C4_11_SR7,,25/06/2012
2160,5011.686289,4999.175603,100.23655,PF_C4_11_SR7,,25/06/2012
