Name,Northing,Easting,Elevation,Description,,Date Taken
1151,5010.873503,4984.91245,100.533812,CHECK020712,,2/07/2012
1152,5011.052719,5000.846852,100.129633,PF_D2_14_HM99,,2/07/2012
1153,5011.637241,5001.599996,100.102653,PF_E2_14_HM100,,2/07/2012
1154,5010.900047,4999.058034,100.123657,PF_C3_S18_C14X60,,2/07/2012
1155,5011.005966,5001.014577,100.092501,PF_D2_14_L358,,2/07/2012
1156,5011.1374,5001.195114,100.132868,PF_D2_14_L359,,2/07/2012
1157,5011.050011,5001.039001,100.094972,PF_D2_14_L360,,2/07/2012
1158,5011.00763,5001.136902,100.121465,PF_D2_14_L361,,2/07/2012
1159,5010.985356,5001.155986,100.126872,PF_D2_14_L362,,2/07/2012
1160,5011.239887,5000.88425,100.063467,PF_D2_14_L363,,2/07/2012
1161,5010.8904,5001.030507,100.076053,PF_D2_14_L364,,2/07/2012
1162,5010.727755,4998.950292,100.136393,PF_C3_SR18_HB641,,2/07/2012
1163,5011.359776,5001.13546,100.076487,PF_D2_14_L365,,2/07/2012
1164,5011.617117,5001.201923,100.068769,PF_E2_14_L366,,2/07/2012
1165,5011.96117,5001.75203,100.05043,PF_E2_14_SH17,,2/07/2012
1166,5010.915498,5001.121804,100.068564,PF_D2_14_L367,,2/07/2012
1167,5010.952197,5001.244483,100.071729,PF_D2_14_L368,,2/07/2012
1168,5010.951345,4999.060585,100.134891,PF_C3_SR18,,2/07/2012
1169,5010.791752,4999.290901,100.128505,PF_C3_SR18,,2/07/2012
1170,5010.700748,4999.178596,100.154256,PF_C3_SR18,,2/07/2012
1171,5010.560413,4999.011201,100.108223,PF_C3_SR18,,2/07/2012
1172,5010.67897,4998.821956,100.109108,PF_C3_SR18,,2/07/2012
1173,5010.797003,4998.957451,100.097977,PF_C3_SR18,,2/07/2012
1174,5010.827119,4999.241073,100.170316,PF_C3_SR18_FMP,,2/07/2012
1175,5010.65361,4999.02976,100.166277,PF_C3_SR18_FMD,,2/07/2012
1176,5010.672525,4999.049661,100.177668,PF_C3_SR18_TEETH,,2/07/2012
1177,5010.642454,4998.938495,100.203314,PF_C3_SR18_CRAN,,2/07/2012
1178,5011.812208,5000.754979,100.07526,EL_D2_14_N,,2/07/2012
1179,5011.261565,5001.218656,100.065777,EL_D2_14_E,,2/07/2012
1180,5010.69223,5000.649012,100.074325,EL_D2_14_S,,2/07/2012
1181,5011.113404,5000.151893,100.095201,EL_D2_14_W,,2/07/2012
1182,5011.172865,5000.794532,100.065557,EL_D2_14_C,,2/07/2012
1183,5012.475268,5001.383684,100.080372,EL_E2_14_N,,2/07/2012
1184,5011.939534,5002.037962,100.067853,EL_E2_14_E,,2/07/2012
1185,5011.449448,5001.274871,100.058339,EL_E2_14_S,,2/07/2012
1186,5011.813873,5000.816395,100.08155,EL_E2_14_W,,2/07/2012
1187,5012.43963,5001.391503,100.086103,EL_E2_14,,2/07/2012
1188,5012.289557,5001.336218,100.088576,EL_E2_14,,2/07/2012
1189,5012.162213,5001.14322,100.082024,EL_E2_14,,2/07/2012
1190,5011.942051,5001.170308,100.078885,EL_E2_14,,2/07/2012
1191,5011.84425,5001.342196,100.074642,EL_E2_14,,2/07/2012
1192,5011.666711,5001.387432,100.071625,EL_E2_14,,2/07/2012
1193,5012.140597,5001.824506,100.07517,EL_E2_14,,2/07/2012
1194,5011.909743,5001.583582,100.069652,EL_E2_14,,2/07/2012
1195,5011.819996,5001.515202,100.067821,EL_E2_14,,2/07/2012
1196,5011.744828,5001.743198,100.058113,EL_E2_14,,2/07/2012
1197,5011.79205,5001.833314,100.053318,EL_E2_14,,2/07/2012
1198,5012.171037,5001.77953,100.085465,EL_E2_14A,,2/07/2012
1199,5012.156806,5001.691404,100.085103,EL_E2_14A,,2/07/2012
1200,5011.960609,5001.552662,100.079138,EL_E2_14A,,2/07/2012
1201,5011.868576,5001.375327,100.07477,EL_E2_14A,,2/07/2012
1202,5011.652884,5001.442675,100.072769,EL_E2_14A,,2/07/2012
1203,5011.672357,5001.724262,100.051287,EL_E2_14A,,2/07/2012
1204,5011.759923,5001.720187,100.054621,EL_E2_14A,,2/07/2012
1205,5011.815297,5001.5353,100.067203,EL_E2_14A,,2/07/2012
1206,5012.130922,5001.822772,100.078919,EL_E2_14A,,2/07/2012
1207,5010.325651,4999.601246,100.107384,PF_C2_L369,,2/07/2012
1208,5010.338279,4999.77439,100.123499,PF_C2_L370,,2/07/2012
1209,5010.259561,4999.710296,100.118548,PF_C2_L371,,2/07/2012
1210,5010.255564,4999.911585,100.116993,PF_C2_L372,,2/07/2012
1211,5010.208647,4999.877547,100.118632,PF_C2_L373,,2/07/2012
1212,5010.158012,4999.793324,100.108505,PF_C2_L374,,2/07/2012
1213,5010.099375,4999.839922,100.112644,PF_C2_L375,,2/07/2012
1214,5010.214416,4999.720885,100.117652,PF_C2_O8,,2/07/2012
1215,5011.02777,5000.151083,100.095241,PF_C2_L383,,2/07/2012
1216,5010.975676,5000.064977,100.088343,PF_C2_L384,,2/07/2012
1217,5010.947822,5000.007629,100.087427,PF_C2_L384,,2/07/2012
1218,5010.930613,4999.999317,100.09115,PF_C2_HM103,,2/07/2012
1219,5011.119204,4999.884619,100.115628,PF_C3_L386,,2/07/2012
1220,5008.937568,4998.545526,100.20745,BR,,2/07/2012
1221,5008.838114,4998.508409,100.192456,BR,,2/07/2012
1222,5008.736829,4998.410203,100.173993,BR,,2/07/2012
1223,5008.680706,4998.380775,100.140315,BR,,2/07/2012
1224,5008.593874,4998.33495,100.114832,BR,,2/07/2012
1225,5008.50443,4998.26666,100.101827,BR,,2/07/2012
1226,5008.415968,4998.168956,100.107641,BR,,2/07/2012
1227,5008.375224,4998.175214,100.09684,BR,,2/07/2012
1228,5008.332627,4998.065398,100.094283,BR,,2/07/2012
1229,5008.287753,4997.997147,100.095038,BR,,2/07/2012
1230,5010.591443,5000.162371,100.090056,PF_C2_14_L387,,2/07/2012
1231,5008.203806,4997.848585,100.094023,BR,,2/07/2012
1232,5008.108613,4997.752539,100.127434,BR,,2/07/2012
1233,5007.996999,4997.597889,100.153882,BR,,2/07/2012
1234,5007.925252,4997.449327,100.14817,BR,,2/07/2012
1235,5007.806795,4997.283263,100.145019,BR,,2/07/2012
1236,5007.720281,4997.12868,100.128101,BR,,2/07/2012
1237,5007.684455,4997.079095,100.132133,BR,,2/07/2012
1238,5007.666649,4996.998459,100.106078,BR,,2/07/2012
1239,5007.535253,4996.951292,100.136375,BR,,2/07/2012
1240,5007.443279,4996.889737,100.14728,BR,,2/07/2012
1241,5007.311968,4996.690816,100.160869,BR,,2/07/2012
1242,5007.207034,4996.509352,100.217054,BR,,2/07/2012
1243,5007.051328,4996.401518,100.242701,BR,,2/07/2012
1244,5006.821663,4996.228117,100.232585,BR,,2/07/2012
1245,5006.625643,4996.076631,100.200609,BR,,2/07/2012
1246,5006.462649,4995.872179,100.178583,BR,,2/07/2012
1247,5006.340949,4995.724762,100.192171,BR,,2/07/2012
1248,5006.197776,4995.560901,100.176517,BR,,2/07/2012
1249,5006.058271,4995.416044,100.222809,BR,,2/07/2012
1250,5005.912068,4995.280305,100.264414,BR,,2/07/2012
1251,5005.718524,4995.08941,100.309511,BR,,2/07/2012
1252,5005.648294,4994.912285,100.343585,BR,,2/07/2012
1253,5005.394856,4994.518464,100.462735,BR,,2/07/2012
1254,5010.513804,5000.395666,100.094974,PF_C2_14_L388,,2/07/2012
1255,5005.278269,4994.270838,100.500578,BR,,2/07/2012
1256,5008.749562,4998.428253,100.180773,BR,,2/07/2012
1257,5008.764794,4998.280455,100.451156,BR,,2/07/2012
1258,5008.778946,4998.142921,100.804307,BR,,2/07/2012
1259,5008.783169,4998.101568,100.989282,BR,,2/07/2012
1260,5008.777475,4998.157597,101.109363,BR,,2/07/2012
1261,5008.809416,4997.847646,101.180896,BR,,2/07/2012
1262,5008.833556,4997.613139,101.328976,BR,,2/07/2012
1263,5008.858684,4997.36903,101.538052,BR,,2/07/2012
1264,5008.832763,4997.620901,101.327701,BR,,2/07/2012
1265,5008.849095,4997.462278,101.4661,BR,,2/07/2012
1266,5008.867166,4997.286546,101.632231,BR,,2/07/2012
1267,5008.873732,4997.222335,101.777893,BR,,2/07/2012
1268,5008.895354,4997.011777,102.030334,BR,,2/07/2012
1269,5008.919132,4996.779725,102.385518,BR,,2/07/2012
1270,5008.992483,4996.433942,102.387161,BR,,2/07/2012
1271,5009.052611,4996.206676,102.577334,BR,,2/07/2012
1272,5008.99768,4995.993198,102.812789,BR,,2/07/2012
1273,5009.157048,4995.868828,102.876202,BR,,2/07/2012
1274,5008.025559,4997.630201,100.152535,BR,,2/07/2012
1275,5008.064588,4997.565039,100.45208,BR,,2/07/2012
1276,5008.057798,4997.588951,100.479232,BR,,2/07/2012
1277,5008.103565,4997.511687,100.565438,BR,,2/07/2012
1278,5008.177713,4997.386618,100.82056,BR,,2/07/2012
1279,5008.196434,4997.354893,101.128119,BR,,2/07/2012
1280,5008.174946,4997.391001,101.155805,BR,,2/07/2012
1281,5008.316376,4997.152559,101.250501,BR,,2/07/2012
1282,5008.417478,4996.982112,101.363663,BR,,2/07/2012
1283,5008.329413,4997.175343,101.515854,BR,,2/07/2012
1284,5008.531491,4996.821178,101.632133,BR,,2/07/2012
1285,5008.484948,4996.927256,101.83216,BR,,2/07/2012
1286,5010.726218,5000.46558,100.075177,PF_C3_14_L389,,2/07/2012
1287,5010.444991,5000.320928,100.090234,PF_C2_14_L390,,2/07/2012
1288,5010.445108,5000.322034,100.068011,PF_C2_14_L390,,2/07/2012
1289,5012.284252,5000.338014,100.094798,PF_D3_SR15,,2/07/2012
1290,5010.670186,5000.367656,100.084071,PF_D3_SR15,,2/07/2012
1291,5010.326856,5000.180304,100.099265,PF_C2_E14_L393,,2/07/2012
1292,5010.649503,4999.798301,100.090349,PF_C2_14_L394,,2/07/2012
1293,5010.627556,4999.695737,100.096355,PF_C2_14_L395,,2/07/2012
1294,5011.09363,4998.890396,100.119256,PF_SR19_C14X87,,2/07/2012
1295,5011.15074,4998.828215,100.102068,PF_SR19_L396,,2/07/2012
1296,5011.4221,4999.159091,100.106211,PF_C314_L397,,2/07/2012
1297,5012.131189,5001.737064,100.067215,PF_SR17_L398,,2/07/2012
1298,5011.087329,5000.126003,100.094266,EL_C214_N,,2/07/2012
1299,5010.564841,5000.618826,100.086389,EL_C214_E,,2/07/2012
1300,5010.050899,4999.804501,100.0699,EL_C214_S,,2/07/2012
1301,5010.362689,4999.497227,100.177399,EL_C214_W,,2/07/2012
1302,5010.415159,5000.134053,100.127991,EL_C214_C,,2/07/2012
1303,5010.948379,4999.889333,100.111366,PF_C3_14_L399,,2/07/2012
1304,5010.934527,4999.699613,100.127079,PF_C3_14_L400,,2/07/2012
1305,5010.961874,4999.651706,100.093968,PF_C314_L401,,2/07/2012
1306,5010.362419,4999.404659,100.09507,PF_B314A_L402,,2/07/2012
1307,5010.311724,4999.404232,100.104593,PF_B314A_L403,,2/07/2012
1308,5010.886079,4999.954115,100.077449,PF_C314_L404,,2/07/2012
1309,5010.962007,4999.972293,100.088853,PF_C314_L405,,2/07/2012
1310,5012.084456,5001.273295,100.18261,PF_SR17_CR,,2/07/2012
1311,5011.964782,5001.272989,100.153041,PF_SR17_CR,,2/07/2012
1312,5011.924831,5001.337165,100.134054,PF_SR17_CR,,2/07/2012
1313,5011.963365,5001.369076,100.151142,PF_SR17_CR,,2/07/2012
1314,5012.142483,5001.340707,100.13097,PF_SR17_MX,,2/07/2012
1315,5012.109354,5001.433396,100.095043,PF_SR17_MN,,2/07/2012
1316,5010.167764,4999.597647,100.10045,PF_B214A_HM104,,2/07/2012
1317,5010.093039,4999.660766,100.085258,PF_B214A_L406,,2/07/2012
1318,5012.13166,5001.338763,100.08325,PF_E2SR17_L407,,2/07/2012
1319,5012.154616,5001.394645,100.09169,PF_E2SR17_L407,,2/07/2012
1320,5012.096065,5001.379054,100.099649,PF_E2SR17_L407,,2/07/2012
1321,5012.107712,5001.35501,100.090009,PF_E2SR17_L407,,2/07/2012
1322,5012.161814,5001.37911,100.081179,PF_E2SR17_L407,,2/07/2012
1323,5012.139078,5001.423202,100.076152,PF_E2SR17_L407,,2/07/2012
1324,5012.109641,5001.407582,100.081273,PF_E2SR17_L407,,2/07/2012
1325,5012.15035,5001.413703,100.081586,PF_E2SR17_L407,,2/07/2012
1326,5012.080852,5001.4117,100.111633,PF_E2SR17_L408,,2/07/2012
1327,5012.053085,5001.380033,100.092232,PF_E2SR17_L408,,2/07/2012
1328,5012.091083,5001.363458,100.09832,PF_E2SR17_L408,,2/07/2012
1329,5012.086966,5001.433436,100.089059,PF_E2SR17_L408,,2/07/2012
1330,5012.059432,5001.388227,100.090515,PF_E2SR17_L408,,2/07/2012
1331,5012.112064,5001.391889,100.084674,PF_E2SR17_L408,,2/07/2012
1332,5012.201613,5000.534903,100.052429,PF_E3SR15_L409,,2/07/2012
1333,5009.893936,4999.658948,99.517547,PF_B214A_L410,,2/07/2012
1334,5010.358138,4999.432114,100.076743,EL_B214A_N,,2/07/2012
1335,5010.013075,4999.765263,100.083622,EL_B214A_E,,2/07/2012
1336,5009.888671,4999.650967,100.088415,EL_B214A_S,,2/07/2012
1337,5010.228338,4999.353278,100.076235,EL_B214A_W,,2/07/2012
1338,5012.173181,5000.295203,100.068385,PF_D3SR15_C14X88,,2/07/2012
1339,5010.553634,4999.468807,100.087668,PF_SR13A_C14X89,,2/07/2012
1340,5010.471987,4999.339046,100.078017,PF_SR13A_L411,,2/07/2012
1341,5010.232743,4999.23666,100.076952,PF_B314A_HM105,,2/07/2012
1342,5010.257164,4999.271149,100.080632,EL_B314A_E,,2/07/2012
1343,5010.438468,4998.98952,100.079825,EL_B314A_S,,2/07/2012
1344,5011.676043,4999.435726,100.114449,EL_C314_N,,2/07/2012
1345,5011.08523,5000.064003,100.101126,EL_C314_E,,2/07/2012
1346,5010.579678,4999.409254,100.082843,EL_C314_S,,2/07/2012
1347,5011.136458,4999.473322,100.09853,EL_C314_C,,2/07/2012
1348,5012.041785,5001.29406,100.032732,PF_E2_SR17_HM106,,2/07/2012
1349,5011.208494,4999.379344,100.104154,PF_C3_14_SF26,,2/07/2012
1350,5010.999868,4999.295069,100.077856,PF_C3_14_SF26,,2/07/2012
1351,5010.866637,4999.159945,100.116938,PF_C3_14_SF26,,2/07/2012
1352,5011.008191,4999.04764,100.129569,PF_C3_14_SF26,,2/07/2012
1353,5011.111655,4999.123001,100.106764,PF_C3_14_SF26,,2/07/2012
1354,5011.208751,4999.266771,100.083035,PF_C3_14_SF26,,2/07/2012
1355,5010.998281,4999.058352,100.1267,PF_C3_SF26_L412,,2/07/2012
1356,5012.062495,5000.193312,100.098646,PF_SR15,,2/07/2012
1357,5012.251835,5000.085085,100.110038,PF_SR15,,2/07/2012
1358,5012.470829,5000.211254,100.089045,PF_SR15,,2/07/2012
1359,5012.489434,5000.458347,100.082047,PF_SR15,,2/07/2012
1360,5012.444477,5000.67566,100.095649,PF_SR15,,2/07/2012
1361,5012.294091,5000.744942,100.090724,PF_SR15,,2/07/2012
1362,5012.107403,5000.561987,100.091556,PF_SR15,,2/07/2012
1363,5012.052857,5000.37594,100.085421,PF_SR15,,2/07/2012
1364,5012.338953,5000.099114,100.102923,PF_SR15,,2/07/2012
1365,5012.274973,5000.300366,100.04038,PF_SR15,,2/07/2012
1366,5012.311442,5000.609416,100.049678,PF_SR15,,2/07/2012
CP1,5016,5006,100.37,control point,,2/07/2012
TBM03,5020,5003,100.795,TBM03,,2/07/2012
TBM04,5009,4996,100.754,TBM04,,2/07/2012
