Name,Northing,Easting,Elevation,Description
1,5000,5000,100,
2,5003.398716,5020.771875,-9.99E+27,
2TBM01,5000,5000,100,
4,4997.86245,5018.178236,-9.99E+27,EL_E4_1_N
5,5003.409642,5020.540537,100.794755,TBM03
6,4987.570547,5003.729807,100.812783,BL30
7,4994.917655,5010.625284,100.779052,BL20
8,5002.017426,5017.575466,100.69718,BL10
9,5009.102467,5024.652501,100.610863,BL0
10,4998.007984,5017.761141,100.635054,XG2012N
11,4995.954945,5015.734049,100.639863,XG2012W
12,4996.551166,5005.828422,100.498674,R1
13,4994.665076,5005.414299,100.670083,R2
14,4994.729175,5003.955654,100.571482,R3
15,4995.074823,5002.915725,100.476884,R4
16,4995.299496,5001.623414,100.284959,R5
17,4997.092813,5001.873593,100.138442,R6
18,4997.971414,5002.670366,100.101684,R7
19,4998.08138,5004.961814,100.250748,R8
20,4997.355766,5005.106518,100.338324,R9
21,4997.249563,5005.553792,100.392854,R10
22,4997.128748,5005.610489,100.450869,R11
23,4997.078409,5005.802123,100.434019,R12
24,4996.840069,5005.761652,100.485228,R13
25,4996.766921,5005.88873,100.473113,R14
26,4996.512996,5005.839849,100.509091,R15
27,4995.689793,5005.779814,100.617442,R16
28,4997.977957,5004.933024,100.328092,R17
29,4997.619709,5004.867822,100.349025,R18
30,4997.363004,5004.878937,100.428197,R19
31,4997.313345,5004.901952,100.688132,R20
32,4997.025488,5004.858775,100.730995,R21
33,4996.744888,5004.89883,100.782845,R22
34,4996.658971,5005.356876,100.788731,R23
35,4996.583906,5005.777202,100.794025,R24
36,4996.96359,5005.609266,100.685831,R25
37,4997.185844,5005.495685,100.641821,R26
38,4998.063284,5004.408674,100.398976,R27
39,4997.686894,5004.395067,100.466614,R28
40,4997.420256,5004.410717,100.57265,R29
41,4997.34654,5004.38014,100.754967,R30
42,4996.95071,5004.328659,100.799071,R31
43,4998.087812,5004.044325,100.576044,R32
44,4997.76158,5003.988157,100.642106,R33
45,4997.547374,5004.003024,100.637197,R34
46,4997.413762,5004.023412,100.757557,R35
47,4997.038621,5003.966139,100.781164,R36
48,4998.017064,5003.596251,100.677591,R37
49,4997.657219,5003.552775,100.717333,R38
50,4997.428216,5003.524777,100.731642,R39
51,4997.247969,5003.542381,100.831701,R40
52,4997.041378,5003.493281,100.858826,R41
53,4997.892519,5003.241617,100.644893,R42
54,4997.432423,5003.215103,100.761474,R43
55,4997.318435,5003.187218,100.871443,R44
56,4997.356186,5003.011512,100.874658,R45
57,4997.268508,5002.990185,100.8743,R46
58,4997.126047,5003.00189,101.095234,R47
59,4996.982944,5003.318465,101.214958,R48
60,4996.976425,5003.611683,101.193308,R49
61,4996.961745,5004.187952,101.105405,R50
62,4996.781344,5004.403956,101.072799,R51
63,4996.660828,5004.934448,101.047589,R52
64,4996.589432,5005.345304,101.020067,R53
65,4996.441875,5005.70039,100.956661,R54
66,4996.004532,5005.619592,101.094932,R55
67,4996.088093,5005.048437,101.180213,R56
68,4996.171241,5004.349137,101.166477,R57
69,4996.281948,5003.752006,101.164838,R58
70,4996.338492,5003.362995,101.220425,R59
71,4996.679056,5003.155147,101.17362,R60
