Name,Northing,Easting,Elevation,Description,,,
738,5010.896392,4984.913939,100.527012,CHECK,,,
739,5010.808579,4999.413287,100.316925,PF_C3_10_HM38,,,
740,5011.2161,4999.691902,100.4724,PF_C3_10_39,,,
741,5011.19248,4999.762248,100.445247,PF_C3_10_39,,,
742,5011.115009,4999.727619,100.448931,PF_C3_10_39,,,
743,5011.163693,4999.824099,100.383308,PF_C3_10_39,,,
744,5011.071456,4999.81548,100.398427,PF_C3_10_39,,,
745,5011.18037,4999.594642,100.380959,PF_C3_10_39,,,
746,5011.191559,4999.606667,100.366823,PF_C3_10_39,,,
747,5011.188725,4999.697259,100.296688,PF_C3_10_39,,,
748,5011.094351,4999.710341,100.314485,PF_C3_10_39,,,
749,5011.15408,4999.748179,100.271539,PF_C3_10_39,,,
750,5011.149656,4999.797492,100.316335,PF_C3_10_39,,,
751,5012.981203,5000.263599,100.271136,PF_E4_10_HM39,,,
752,5012.581525,5000.440246,100.32825,PF_E3_4_L120,,,100.02825
753,5011.891875,5000.034975,100.302547,PF_D3_10_HB394,,,
754,5012.182681,5000.57688,100.335696,PF_E3_4_HM40,,,100.035696
755,5012.355951,5001.010603,100.29508,PF_E3_4_L121,,,
756,5012.384176,5000.796564,100.320263,PF_E3_4_HM41,,,
757,5012.42279,5000.644648,100.592146,PF_E3_4_L122,,,
758,5012.728279,5000.617746,100.586563,PF_E3_4_L123,,,
759,5013.016875,5000.891871,100.641708,PF_E3_4_HM42,,,
760,5012.89175,5000.590218,100.618121,PF_E3_4_L124,,,
761,5012.745918,5000.955142,100.610461,PF_E3_4_L125,,,
762,5011.173097,5000.153383,100.296828,PF_D3_10_HB395,,,
763,5013.803001,5000.061179,100.280529,EL_E4_10_N,,,
764,5013.165805,5000.708546,100.276281,EL_E4_10_E,,,
765,5012.504906,5000.010364,100.308361,EL_E4_10_S,,,
766,5013.162597,4999.410915,100.3085,EL_E4_10_W,,,
767,5013.151638,5000.013489,100.290259,EL_E4_10_C,,,
768,5012.775266,5000.472527,100.731569,LINE-LEVEL-E3-NW,,,
CP1,5016,5006,100.37,control point,,,
TBM03,5020,5003,100.795,TBM03,,,
TBM04,5009,4996,100.754,TBM04,,,
