Name,Northing,Easting,Elevation,Description,Date Taken
677,5011.22,4985.438,100.52456,CHECK,21/06/2012
678,5011.553,5001.099,100.365586,PF_D2_9_HB339,21/06/2012
679,5010.979,5001.098,100.36841,PF_D2_9_HB340,21/06/2012
680,5010.961,5001.035,100.395849,PF_D2_9_HB340,21/06/2012
681,5010.984,5001.09,100.359883,PF_D2_9_HB341,21/06/2012
682,5010.964,5001.02,100.391178,PF_D2_9_HB341,21/06/2012
683,5010.973,5000.998,100.370365,PF_D2_9_HB342,21/06/2012
684,5010.997,5000.974,100.368019,PF_D2_9_HB343,21/06/2012
685,5011.018,5000.964,100.367222,PF_D2_9_HB344,21/06/2012
686,5010.953,5001.092,100.361053,PF_D2_9_HB345,21/06/2012
687,5010.948,5001.033,100.384593,PF_D2_9_HB346,21/06/2012
688,5010.98,5001.035,100.373692,PF_D2_9_HB347,21/06/2012
689,5010.998,5001.068,100.354392,PF_D2_9_HB348,21/06/2012
690,5010.998,5001.068,100.353939,PF_D2_9_HB349,21/06/2012
691,5010.144,4999.263,100.269343,PF_B2_10_HB351,21/06/2012
692,5009.786,4999.592,100.290598,PF_B2_10_HB352,21/06/2012
693,5012.006,4998.278,100.308905,PF_C4_10_L111,21/06/2012
694,5010.965,5001.061,100.361241,PF_D2_9_HB354,21/06/2012
695,5011.415,4998.854,100.316161,PF_C4_10_HB355,21/06/2012
696,5011.431,4998.945,100.327033,PF_C4_10_HB355,21/06/2012
697,5010.291,4999.368,100.28034,EL_B2_10_N,21/06/2012
698,5009.914,4999.709,100.263803,EL_B2_10_E,21/06/2012
699,5009.775,4999.6,100.26481,EL_B2_10_S,21/06/2012
700,5010.137,4999.215,100.267091,EL_B2_10_W,21/06/2012
701,5011.043,5000.982,100.345754,PF_D2_9_HB356,21/06/2012
702,5011.031,5001.005,100.349252,PF_D2_9_HB357,21/06/2012
703,5011.011,5001.024,100.339591,PF_D2_9_HB358,21/06/2012
704,5010.956,5001.061,100.323293,PF_D2_9_HB359,21/06/2012
705,5011.85,4998.794,100.384449,PF_C4_10_R38,21/06/2012
706,5011.867,4998.72,100.343542,PF_C4_10_R38,21/06/2012
707,5011.953,4998.688,100.302044,PF_C4_10_R38,21/06/2012
708,5011.927,4998.771,100.341029,PF_C4_10_R38,21/06/2012
