Name,Y,X,Elevation,Description,Date Taken
1367,5011.272908,4985.538403,100.475372,CHECK 050712,5/07/2012
1368,5011.654837,4999.230689,100.113136,PF_SR19,5/07/2012
1369,5011.738444,4999.428119,100.104724,PF_SR19,5/07/2012
1370,5011.741409,4999.542032,100.102794,PF_SR19,5/07/2012
1371,5011.629559,4999.77092,100.097227,PF_SR19,5/07/2012
1372,5011.487647,4999.745085,100.067164,PF_SR19,5/07/2012
1373,5011.396909,4999.626356,100.092766,PF_SR19,5/07/2012
1374,5011.177421,4999.663358,100.07854,PF_SR19,5/07/2012
1375,5010.97939,4999.48583,100.077036,PF_SR19,5/07/2012
1376,5010.838793,4999.151478,100.090695,PF_SR19,5/07/2012
1377,5010.985056,4998.904002,100.076873,PF_SR19,5/07/2012
1378,5011.369591,4999.846295,99.886306,PF_C3_14_SF26,5/07/2012
1379,5011.314545,4999.947017,99.848064,PF_C3_14_SF26,5/07/2012
1380,5011.332656,5000.033069,99.886197,PF_C3_14_SF26,5/07/2012
1381,5011.11667,4999.42658,100.067857,PF_B3_SR19_L413,5/07/2012
1382,5011.027243,5000.057458,100.079402,PF_C2_SR13A,5/07/2012
1383,5011.016086,5000.242569,100.086399,PF_C2_SR13A,5/07/2012
1384,5010.933291,5000.310606,100.084483,PF_C2_SR13A,5/07/2012
1385,5010.798749,5000.272439,100.083241,PF_C2_SR13A,5/07/2012
1386,5010.771469,5000.186669,100.082901,PF_C2_SR13A,5/07/2012
1387,5010.915264,5000.153051,100.105745,PF_C2_SR13A_MN,5/07/2012
1388,5010.878052,5000.12754,100.085621,PF_C2_SR13A_MN,5/07/2012
1389,5010.849221,5000.160652,100.036247,PF_C2_SR13A_MN,5/07/2012
1390,5010.857444,5000.176282,100.051003,PF_C2_SR13A_MN,5/07/2012
1391,5010.86604,5000.15031,100.075795,PF_C2_SR13A_MN,5/07/2012
1392,5010.865822,5000.174956,100.092478,PF_C2_SR13A_MN,5/07/2012
1393,5010.866297,5000.094194,100.043953,PF_C2_SR13A_SC,5/07/2012
1394,5010.899644,5000.14776,100.029532,PF_C2_SR13A_L414,5/07/2012
1395,5011.669609,4999.61137,100.044616,PF_B3_SR19_L415,5/07/2012
1396,5011.111076,4999.380992,100.05904,PF_B3_SR19_AB3,5/07/2012
1397,5010.758246,5000.06043,100.134054,PF_C2_SR13A_TIB,5/07/2012
1398,5010.865238,5000.158483,99.953411,PF_C2_SR13A_TIB,5/07/2012
1399,5012.587304,5001.991018,100.060814,PF_E2_SR17_SF27,5/07/2012
1400,5012.476368,5001.888087,100.049895,PF_E2_SR17_SF27,5/07/2012
1401,5012.383248,5001.84496,100.048609,PF_E2_SR17_SF27,5/07/2012
1402,5012.361182,5001.865687,100.047658,PF_E2_SR17_SF27,5/07/2012
1403,5012.301653,5001.937289,100.064314,PF_E2_SR17_SF27,5/07/2012
1404,5012.26083,5002.032192,100.043026,PF_E2_SR17_SF27,5/07/2012
1405,5012.291593,5002.167364,100.045376,PF_E2_SR17_SF27,5/07/2012
1406,5012.403357,5002.231322,100.034816,PF_E2_SR17_SF27,5/07/2012
1407,5012.573659,5002.301652,100.038005,PF_E2_SR17_SF27,5/07/2012
1408,5012.624956,5002.125571,100.031703,PF_E2_SR17_SF27,5/07/2012
1409,5012.563181,5002.146529,99.967741,PF_E2_SR17_SF27,5/07/2012
1410,5012.46345,5002.112653,99.960543,PF_E2_SR17_SF27,5/07/2012
1411,5012.467762,5002.001414,99.976499,PF_E2_SR17_SF27,5/07/2012
1412,5012.393311,5002.002442,99.989734,PF_E2_SR17_SF27,5/07/2012
1413,5011.361118,4999.355583,100.043874,PF_B3_SR19_HB645,5/07/2012
1414,5011.558178,4999.4049,100.050003,PF_C3_SR19_L416,5/07/2012
1415,5010.992538,5000.244586,100.069251,PF_C2_SR13A_SF28,5/07/2012
1416,5010.815219,5000.220656,100.055183,PF_C2_SR13A_SF28,5/07/2012
1417,5010.751195,5000.108517,100.068293,PF_C2_SR13A_SF28,5/07/2012
1418,5010.877286,4999.992013,100.061723,PF_C2_SR13A_SF28,5/07/2012
1419,5010.985922,5000.034419,100.071279,PF_C2_SR13A_SF28,5/07/2012
1420,5011.01616,5000.179407,100.063237,PF_C2_SR13A_SF28,5/07/2012
1421,5010.916669,5000.1478,99.914401,PF_C2_SR13A_SF28,5/07/2012
1422,5010.854303,5000.143144,99.910904,PF_C2_SR13A_SF28,5/07/2012
1423,5010.881581,5000.049928,99.909862,PF_C2_SR13A_SF28,5/07/2012
1424,5010.953264,5000.058434,99.909095,PF_C2_SR13A_SF28,5/07/2012
1425,5010.885137,5000.0962,99.89734,PF_C2_SR13A_SF28,5/07/2012
1426,5012.734055,5000.794308,100.089432,PF_E3_SR15_SF29,5/07/2012
1427,5012.858719,5000.871977,100.078202,PF_E3_SR15_SF29,5/07/2012
1428,5012.879299,5001.096282,100.066373,PF_E3_SR15_SF29,5/07/2012
1429,5012.813407,5001.258307,100.078288,PF_E3_SR15_SF29,5/07/2012
1430,5012.645715,5001.339251,100.068014,PF_E3_SR15_SF29,5/07/2012
1431,5012.475922,5001.211907,100.071082,PF_E3_SR15_SF29,5/07/2012
1432,5012.422407,5001.074599,100.063961,PF_E3_SR15_SF29,5/07/2012
1433,5012.502171,5000.797725,100.075695,PF_E3_SR15_SF29,5/07/2012
1434,5012.701999,5001.182559,100.028399,PF_E3_SR15_SF29,5/07/2012
1435,5012.598374,5001.11565,100.036502,PF_E3_SR15_SF29,5/07/2012
1436,5012.520434,5000.966955,100.047694,PF_E3_SR15_SF29,5/07/2012
1437,5012.671386,5000.84689,100.033469,PF_E3_SR15_SF29,5/07/2012
1438,5012.823263,5000.878429,100.044612,PF_E3_SR15_SF29,5/07/2012
1439,5012.685162,5001.02183,100.02487,PF_E3_SR15_SF29,5/07/2012
1440,5011.556816,4999.36057,100.013034,PF_C3_SR19_HM107,5/07/2012
1441,5010.951705,4999.296987,100.069526,PF_B3_SR19_L417,5/07/2012
1442,5010.83904,5000.640048,100.068838,PF_C2_SF30_L418,5/07/2012
1443,5011.076244,5000.609372,100.062445,PF_C2_SF30,5/07/2012
1444,5010.954984,5000.673117,100.070189,PF_C2_SF30,5/07/2012
1445,5010.793375,5000.566662,100.07402,PF_C2_SF30,5/07/2012
1446,5010.817339,5000.367042,100.068895,PF_C2_SF30,5/07/2012
1447,5010.962123,5000.263423,100.062164,PF_C2_SF30,5/07/2012
1448,5011.125248,5000.449251,100.058746,PF_C2_SF30,5/07/2012
1449,5010.935305,5000.509271,100.03382,PF_C2_SF30,5/07/2012
1450,5012.87203,5000.284431,100.040659,PF_D4_15_L419,5/07/2012
1451,5012.957919,5000.175093,100.083313,PF_D4_15_C14X62,5/07/2012
1452,5014.011317,5000.767367,100.070748,PF_E4_15_L420,5/07/2012
1453,5013.475347,4999.93976,100.05591,PF_D4_15_L421,5/07/2012
1454,5013.407241,5000.436829,100.090184,PF_E4_15_L422,5/07/2012
1455,5013.499067,5000.639553,100.084913,PF_E4_15_L423,5/07/2012
1456,5011.287488,4999.385186,100.043026,PF_B3_SR19_HB646,5/07/2012
1457,5011.340745,4999.509511,100.032134,PF_SR19_C14X63,5/07/2012
1458,5013.49357,5000.67754,100.05198,PF_E4_15_L424,5/07/2012
1459,5012.610449,4999.77212,100.059322,PF_D4_15_L425,5/07/2012
1460,5011.254782,4999.423337,100.012033,PF_SR15_HB647,5/07/2012
1461,5013.558549,5000.023838,100.066848,EL_D4_15_N,5/07/2012
1462,5012.900124,5000.598155,100.04614,EL_D4_15_E,5/07/2012
1463,5012.334195,4999.934985,100.055892,EL_D4_15_W,5/07/2012
1464,5012.87684,4999.310106,100.059741,EL_D4_15_W,5/07/2012
1465,5012.918849,4999.988392,100.052838,EL_D4_15_C,5/07/2012
1466,5014.262804,5000.680414,100.048537,EL_E4_15_N,5/07/2012
1467,5013.610207,5001.317492,100.043727,EL_E4_15_E,5/07/2012
1468,5012.920196,5000.615217,100.048685,EL_E4_15_S,5/07/2012
1469,5013.569076,5000.007868,100.070108,EL_E4_15_W,5/07/2012
1470,5013.537479,5000.583394,100.05252,EL_E4_15_C,5/07/2012
1471,5011.207691,4999.221261,100.067717,PF_SR19_HB648,5/07/2012
1472,5012.693719,5000.502094,100.08409,PF_D3_15_L426,5/07/2012
1473,5012.745475,5000.589918,100.074687,PF_D3_15_C14X64,5/07/2012
1474,5013.361812,5001.141067,100.047625,PF_E3_15_L427,5/07/2012
1475,5012.817284,5000.709152,100.059047,PF_D3_15_C14X65,5/07/2012
1476,5012.846399,5001.317803,100.033634,PF_E3_15_L428,5/07/2012
1477,5011.068215,4998.993162,100.06676,PF_SR19_HB649,5/07/2012
1478,5011.772335,5002.393467,100.216702,PF_E2_SR9_HM108,5/07/2012
1479,5013.393285,5001.436958,100.013091,PF_E3_15_C14X66,5/07/2012
1480,5013.005828,5000.756648,100.015787,PF_E3_15_L429,5/07/2012
1481,5013.565356,5001.352952,100.028244,EL_E3_15_N,5/07/2012
1482,5012.848593,5001.912781,100.027734,EL_E3_15_E,5/07/2012
1483,5012.281467,5001.380095,100.025474,EL_E3_15_S,5/07/2012
1484,5012.95459,5000.691945,100.033382,EL_E3_15_W,5/07/2012
1485,5012.898511,5001.313764,100.018229,EL_E3_15_C,5/07/2012
1486,5011.961085,5002.346536,100.184478,PF_E2_SR9_L430,5/07/2012
1487,5012.251645,5000.440892,100.054894,PF_D3_15_C14X67,5/07/2012
1488,5012.137906,5001.239649,100.02736,PF_D3_15_L431,5/07/2012
1489,5011.476317,4999.777553,100.040069,PF_B3_SF26_L432,5/07/2012
1490,5011.921591,5000.549273,100.064717,PF_D3_15_L433,5/07/2012
1491,5011.787365,5000.688985,100.073661,PF_D3_15_HM109,5/07/2012
1492,5011.701464,4999.214042,100.101672,PF_SR19,5/07/2012
1493,5011.749184,4999.532384,100.094159,PF_SR19,5/07/2012
1494,5011.644502,4999.789935,100.095075,PF_SR19,5/07/2012
1495,5011.247621,4999.729394,100.069677,PF_SR19,5/07/2012
1496,5011.018993,4999.5547,100.067327,PF_SR19,5/07/2012
1497,5010.825181,4999.244746,100.083463,PF_SR19,5/07/2012
1498,5010.935785,4998.94405,100.084327,PF_SR19,5/07/2012
1499,5011.528921,4999.699354,100.117581,PF_SR19_CR,5/07/2012
1500,5011.099295,4999.165672,100.045532,PF_SR19_SR,5/07/2012
1501,5012.302089,5000.035601,100.047764,PF_D3_15_L434,5/07/2012
1502,5011.685344,5002.00231,100.220682,PF_E2_SR9_HM110,5/07/2012
1503,5012.003715,5000.635536,100.039266,PF_D3_15L435,5/07/2012
1504,5011.93387,5002.123621,99.893719,PF_E2_SR9_L436,5/07/2012
1505,5012.039251,5000.613995,100.025589,PF_D3_15_L437,5/07/2012
1506,5012.871205,5000.616886,100.040144,EL_D3_15_N,5/07/2012
1507,5012.197541,5001.296955,100.021914,EL_D3_15_E,5/07/2012
1508,5011.532797,5000.581502,100.042335,EL_D3_15_S,5/07/2012
1509,5012.261277,4999.905994,100.048625,EL_D3_15_W,5/07/2012
1510,5012.279758,5000.63737,100.027714, EL_D3_15_C,5/07/2012
1511,5012.703624,5000.746779,100.029495, PF_D3_15A_SF31,5/07/2012
1512,5012.581783,5000.556335,100.041648, PF_D3_15A_SF31,5/07/2012
1513,5012.460809,5000.727943,100.023198, PF_D3_15A_SF31,5/07/2012
1514,5012.603072,5000.814459,100.014922, PF_D3_15A_SF31,5/07/2012
1515,5011.364476,5000.460616,100.039043, PF_C2_15_L438,5/07/2012
1516,5011.245826,5000.492166,100.037977, PF_C2_15_L439,5/07/2012
1517,5011.195228,5000.525624,100.051238, PF_C2_15_L440,5/07/2012
1518,5011.163384,5000.334695,100.040998, PF_C2_15_L441,5/07/2012
1519,5011.050256,5000.755729,100.054975, PF_C2_15_L442,5/07/2012
1520,5010.934164,5000.821176,100.058195, PF_C2_15_L443,5/07/2012
1521,5010.917264,5000.941576,100.055564, PF_C2_15_L444,5/07/2012
1522,5011.03015,5000.389985,100.04149, PF_C2_15_L445,5/07/2012
1523,5011.066519,5000.583572,100.035104, PF_C2_15_L446,5/07/2012
1524,5011.117235,5000.653328,100.041954, PF_C2_15_L447,5/07/2012
1525,5010.998656,5000.724728,100.031818, PF_C2_15_L448,5/07/2012
1526,5011.264246,5000.734229,100.030334, PF_C2_15_L449,5/07/2012
1527,5011.058618,5000.256999,100.025399, PF_C2_15_L450,5/07/2012
1528,5010.960513,5000.840402,100.030831, PF_C2_15_L451,5/07/2012
1529,5010.621535,5000.16767,100.055283, PF_C2_15_L452,5/07/2012
1530,5010.676895,5000.258414,100.048399, PF_C2_15_L453,5/07/2012
1531,5010.525577,5000.373525,100.046295, PF_C2_15_L454,5/07/2012
1532,5010.881445,5000.927461,100.034117, PF_C2_15_L455,5/07/2012
1533,5010.891804,5000.723282,100.004667, PF_C2_15_L456,5/07/2012
1534,5010.771758,5000.891888,100.039969, PF_C2_15_L457,5/07/2012
