Name,Northing,Easting,Elevation,Description
900,5010.7629,4985.473489,100.513262,CHECK120712
901,5009.369474,4996.60822,100.748199,CHECK120712
902,5019.970685,5002.979647,100.828609,CHECK120712
903,5011.65105,5001.954957,99.218143,PF_D2_28A_L1151
904,5011.520895,5001.789364,99.241164,PF_D2_28A_L1152
905,5011.435538,5001.767252,99.242078,PF_D2_28A_L1153
906,5011.61911,5002.036574,99.199742,EL_D1_28_N
907,5011.502336,5002.217376,99.178743,EL_D1_28_E
908,5010.702558,5001.604508,99.187531,EL_D1_28_S
909,5010.895605,5001.378155,99.217284,EL_D1_28_W
910,5011.422621,5001.666402,99.249651,PF_D2_28A_GS22
911,5011.282913,5001.560628,99.231504,PF_D2_28A_GS23
912,5011.413392,5001.565473,99.258342,PF_D2_28A_L1154
913,5011.086831,5001.341366,99.300705,PF_D2_28A_L1155
914,5011.179925,5001.572508,99.223381,PF_D2_28A_L1156
915,5011.62041,5001.504158,99.306628,PF_D2_28A_L1157
916,5011.440713,5001.372545,99.305152,PF_D2_28A_HM265
917,5010.38914,5000.289646,99.245124,EL_B2_28_E
918,5010.387869,5000.291715,99.242663,EL_B2_28A_N
919,5010.255943,5000.150537,99.247551,EL_B2_28_S
920,5010.256616,5000.150391,99.248009,EL_B2_28A_W
921,5010.011946,5000.620695,99.210881,EL_B2_28A_E
922,5009.498206,5000.192335,99.241388,EL_B2_28A_S
923,5009.658681,4999.717932,99.270085,EL_B2_28A_W
924,5011.529603,4999.214283,99.310105,EL_B3_28A_N
925,5010.843899,4999.888696,99.281296,EL_B3_28_E
926,5010.499609,4998.875553,99.304733,EL_B3_28B_S
927,5010.83272,4998.545661,99.334137,EL_B3_28A_W
928,5011.759176,5001.853856,99.233755,PF_D2_28_L1158
929,5011.73895,5001.586437,99.306036,PF_D2_28_L1159
930,5011.561755,5001.556352,99.26038,PF_D2_28_L1160
931,5011.681943,5001.106375,99.345689,PF_D2_28_L1161
932,5011.206074,5001.250328,99.306007,PF_D2_28_L1162
933,5011.381413,5001.170424,99.334464,PF_D2_28_L1163
934,5011.533523,5000.844267,99.347115,PF_D2_28_HM267
935,5011.246436,4999.872837,99.306037,PF_C3_28_L1164
936,5011.241474,4999.747293,99.281271,PF_C3_28_L1165
937,5011.661545,5001.480312,99.264122,PF_D2_28_L1166
938,5011.799616,5001.3253,99.305839,PF_D2_28_L1169
939,5011.592286,5001.12266,99.326191,PF_D2_28_L1170
940,5011.488041,5001.193392,99.307079,PF_D2_28_L1172
941,5011.26624,5001.32073,99.267411,PF_D2_28_L1173
942,5011.532372,5001.386421,99.26908,PF_D2_28_GS25
943,5010.995323,5000.435425,99.334837,PF_C2_28_L1174
944,5010.631748,5000.255707,99.249703,PF_C2_28_L1175
945,5010.482778,5000.333043,99.27678,PF_C2_28_L1176
946,5011.546364,4999.995599,99.300545,PF_C3_28_L1177
947,5011.650264,5000.000841,99.323549,PF_C3_28_L1178
948,5011.674815,5000.928725,99.33571,PF_D2_28_L1179
949,5011.388648,5000.992453,99.303787,PF_D2_28_L1180
950,5011.270399,5001.189482,99.282875,PF_D2_28_L1181
951,5011.61906,5000.827209,99.336493,PF_D2_28_HM268
952,5011.47616,5000.208389,99.307231,PF_C3_28_L1182
953,5011.671952,5000.188046,99.341274,PF_C3_28_L1183
954,5012.464583,5002.015383,99.225076,PF_E2_28A_L1184
955,5012.336086,5002.049073,99.236834,PF_E2_28A_L1185
956,5012.305559,5002.004228,99.235145,PF_E2_28A_L1186
957,5012.311907,5001.930882,99.232038,PF_E2_28A_L1187
958,5012.257611,5001.948588,99.243801,PF_E2_28A_L1188
959,5011.079376,5000.321055,99.307574,PF_C2_28_L1189
960,5011.203669,5000.416739,99.336029,PF_C2_28_L1190
961,5011.000634,5000.409498,99.290313,PF_C2_28_HM271
962,5011.810642,5001.40156,97.695068,PF_D2_28_L1191
963,5011.867646,5000.975595,99.342635,PF_D2_28_L1196
964,5012.231741,5001.261439,99.276823,PF_D2_28_L1198
965,5011.826737,5000.997528,99.317335,PF_D2_28_HM272
966,5011.569161,5001.128622,99.292029,PF_D2_28_HM274
967,5011.290391,5000.746516,99.356543,PF_C2_28_L1199
968,5011.354858,5000.759794,99.350662,PF_C2_28_L1199
969,5011.291819,5000.748696,99.315063,PF_C2_28_L1199
970,5011.340593,5000.75911,99.316376,PF_C2_28_L1199
971,5011.836812,5000.001829,99.350405,PF_C3_28_L1200
972,5012.20692,5002.430682,99.201684,PF_E2_28A_L1201
973,5012.176622,5002.200135,99.185193,PF_E2_28A_HM275
974,5011.878197,5001.799291,99.226594,PF_E2_28_L1202
975,5011.852298,4999.698689,99.359785,PF_C3_28_L1203
976,5011.178426,5000.574818,99.305991,PF_C2_28_L1204
977,5011.295359,5000.770799,99.347992,PF_C2_28_L1204
978,5011.254727,5000.743054,99.30682,PF_C2_28_L1204
979,5011.305736,5000.765411,99.302823,PF_C2_28_L1204
980,5010.932829,5001.342613,99.230703,EL_D2_28_S
981,5011.082025,5000.9949,99.324142,PF_C2_28_L1205
982,5012.467168,5002.564565,99.17935,EL_E2_28A_E
983,5010.997606,5000.803846,99.280371,PF_C2_28_L1206
984,5010.800809,5000.745804,99.285463,PF_C2_28_L1207
985,5011.943772,5000.838267,99.320051,PF_D3_28_L1208
986,5010.895576,5000.924628,99.282964,PF_C2_28_L1209
987,5012.030314,5000.965662,99.285067,PF_D3_28_C14X150
988,5012.230601,4999.862342,99.34186,EL_C3_28_N
989,5011.541958,5000.53808,99.314093,EL_C3_28_E
990,5010.869138,4999.931501,99.291361,EL_C3_28_S
991,5011.526972,4999.279861,99.323153,EL_C3_28_W
992,5011.622965,4999.941691,99.309865,EL_C3_28_C
993,5010.728093,5000.740581,99.266933,PF_C2_28A_L1210
994,5011.879027,5000.607684,99.327226,PF_D3_28_L1211
995,5012.165303,5000.553762,99.333141,PF_D3_28_L1212
996,5012.143624,5000.450854,99.327298,PF_D3_28_L1213
997,5012.134926,5000.434761,99.325636,PF_D3_28_AF11
998,5010.446656,5000.655022,99.229022,PF_C2_28A_HM276
999,5010.619838,5000.748731,99.248996,PF_C2_28A_L1214
1000,5010.953207,5001.178458,99.263788,PF_C2_28A_GS26
1001,5011.028202,5000.941289,99.237838,PF_C2_28A_HM278
1002,5010.795283,5000.895838,99.220571,PF_C2_28A_HM279
1003,5010.914652,5001.261735,99.258064,PF_C2_28A_L1215
1004,5013.158507,5001.152157,99.29174,PF_E3_28_HM280
1005,5011.55842,5000.573287,99.311229,EL_C2_28_N
1006,5010.844976,4999.956594,99.279626,EL_C2_28_W
1007,5010.894645,5000.627543,99.257008,EL_C2_28_C
1008,5010.883266,5001.279633,99.224049,EL_C2_28A_E
1009,5010.142194,5000.566775,99.209209,EL_C2_28A_S
1010,5013.003718,5000.527675,99.307275,EL_D3_28_N
1011,5012.368178,5001.247258,99.272707,EL_D3_28_E
1012,5011.598666,5000.595329,99.310989,EL_D3_28_S
1013,5012.26485,4999.878703,99.334756,EL_D3_28_W
1014,5012.258404,5000.586333,99.303492,EL_D3_28_C
1015,5011.595802,5002.172054,99.214282,PF_E1_28_L1217
1016,5010.572032,5000.993888,99.189384,PF_C1_28_GS27
1017,5011.567313,5002.210167,99.189279,PF_E1_28_HM281
1018,5010.481099,5000.924722,99.181905,PF_C1_28_GS28
1019,5011.975245,5002.307046,99.222229,PF_E1_28_L1218
1020,5010.426804,5000.845055,99.199259,PF_C1_28_AF12
1021,5012.158962,5002.43299,99.20427,PF_E1_28_HM282
1022,5012.079786,5002.407854,99.192632,PF_E1_28_L1219
1023,5012.02265,5002.331518,99.191492,PF_E1_28_AF13
1024,5012.023259,5002.280573,99.190735,PF_E1_28_AF13
1025,5010.856357,5001.292655,99.212942,EL_C1_28_N
1026,5010.640046,5001.551147,99.186465,EL_C1_28_E
1027,5009.974685,5000.892267,99.163214,EL_C1_28_S
1028,5010.142934,5000.665472,99.193835,EL_C1_28_W
1029,5012.23508,5002.484373,99.175778,PF_E1_28_L1220
1030,5012.458596,5002.561598,99.16372,EL_E1_28_N
1031,5012.314671,5002.739527,99.153007,EL_E1_28_E
1032,5011.570717,5002.227985,99.180345,EL_E1_28_S
1033,5010.217753,5000.772383,99.144094,PL_C1_29_L1233
1034,5011.685551,5002.030658,99.201239,EL_E1_28_W
1035,5010.675783,4999.823236,99.222869,PF_B2_29_HM283
1036,5010.467348,5000.284036,99.198716,PF_B2_29_L1221
1037,5010.90392,4999.585,99.222876,PF_B3_29_C14X151
1038,5009.759909,4999.894433,99.195932,PF_B2_29_L1222
1039,5010.343871,5000.184014,99.174173,PF_B2_29A_HM284
1040,5010.972916,4999.384347,99.23448,PFB3_29A_C14X153
1041,5010.017386,5000.124052,99.18625,PF_B2_29A_L1223
1042,5010.327722,5000.378564,99.173312,PF_B2_29A_HM285
1043,5010.803601,4999.926041,99.209822,EL_B2_29_N
1044,5010.165561,5000.638739,99.130791,EL_B2_29A_E
1045,5009.481041,4999.913607,99.188193,EL_B2_29_S
1046,5009.961595,5000.060289,99.182995,EL_B2_29_C
1047,5011.368989,4999.326486,99.238549,PF_B3_29A_HM286
1048,5010.08262,5000.578385,99.126398,PF_B1_29_N
1049,5009.962764,5000.742116,99.12257,PF_B1_29_E
1050,5009.490756,5000.173458,99.176337,PF_B1_29_S
1051,5009.455303,4999.945857,99.189658,PF_B1_29_W
1052,5009.712925,5000.3579,99.166079,PF_B1_29_C
1053,5010.845963,5000.345109,99.236655,PF_C2_29_L1224
1054,5010.615354,5000.271025,99.197863,PF_C2_29_L1225
1055,5010.837035,5000.379918,99.224421,PF_C2_29_C14X154
1056,5011.059917,5000.267431,99.21757,PF_C2_29_L1226
1057,5010.879987,5000.349663,99.200577,PF_C2_29_L1227
1058,5010.616315,5000.686843,99.204094,PF_C2_29_L1228
1059,5011.257087,5000.392264,99.224976,PF_C2_29_HM287
1060,5011.090151,5000.537888,99.212172,PF_C2_29_C14X155
1061,5011.185154,5000.86281,99.233977,PF_C2_29_L1229
1062,5010.516855,5000.68519,99.160927,PF_C2_29A_L1230
1063,5010.913718,5000.8722,99.156384,PF_C2_29A_L1231
1064,5010.536465,5000.930877,99.139358,PF_C2_29A_L1232
