Name,Northing,Easting,Elevation,Description,,,Date Taken
1230,5010.758258,4985.487677,100.504247,CHECK 130712,,,13/07/2012
1231,5011.988361,5000.337554,99.194429,PF_D330_L1183,,,13/07/2012
1232,5012.172944,5000.158769,99.207186,PF_D330_L1184,,,13/07/2012
1233,5012.178391,5000.367727,99.201617,PF_D330_C14X,,,13/07/2012
1234,5014.353094,5000.465032,100.037892,EN_SECT_BL,,,13/07/2012
1235,5012.663436,5002.335704,100.008489,EN_SECT_BL,,,13/07/2012
1236,5011.047039,5000.255437,99.12584,PF_C2_30_HM297,,,13/07/2012
1237,5011.890235,5000.326601,99.160659,PF_D3_30_HM298,,,13/07/2012
1238,5010.118829,5000.587027,99.088837,EL_E1_30_N,,,13/07/2012
1239,5009.956121,5000.792406,99.102574,EL_E1_30_E,,,13/07/2012
1240,5009.456855,4999.949984,99.135439,EL_E1_30_W,,,13/07/2012
1241,5009.668153,5000.340216,99.114843,EL_E1_30_C,,,13/07/2012
1242,5010.859627,5001.197282,99.105991,PF_C2_30B_L1285,,,13/07/2012
1243,5010.50886,5000.760232,99.104544,PF_C2_30B_L1286,,,13/07/2012
1244,5012.137317,5000.59028,99.149846,PF_D3_30B_L1287,,,13/07/2012
1245,5012.444923,5000.439957,99.173119,PF_D3_30B_L1288,,,13/07/2012
1246,5010.876245,5000.351686,99.101462,PF_C2_30_L1289,,,13/07/2012
1247,5010.640019,5001.047064,97.794026,PF_C2_30B_L1290,,,13/07/2012
1248,5011.535826,5000.553297,99.14105,EL_C2_30_N,,,13/07/2012
1249,5010.831428,4999.980305,99.11593,EL_C2_30_W,,,13/07/2012
1250,5010.927034,5000.591675,99.110404,EL_C2_30B_C,,,13/07/2012
1251,5010.912904,5001.311471,99.097923,EL_C2_30B_E,,,13/07/2012
1252,5010.144845,5000.633503,99.08888,EL_C2_30B_S,,,13/07/2012
1253,5012.975161,5000.513997,99.18746,EL_D3_30A_N,,,13/07/2012
1254,5012.360135,5001.224178,99.153248,EL_D3_30_E,,,13/07/2012
1255,5011.612976,5000.58986,99.164968,EL_D3_30_S,,,13/07/2012
1256,5012.258417,4999.899526,99.211707,EL_D3_30_W,,,13/07/2012
1257,5012.330466,5000.615539,99.156985,EL_D3_30_C,,,13/07/2012
1258,5011.669148,5000.764689,99.201643,PF_D2_30_C14X163,,,13/07/2012
1259,5010.681432,5001.291897,99.09298,PF_C1_30_L1300,,,13/07/2012
1260,5010.180265,5000.970629,99.074699,PF_C1_30_L1301,,,13/07/2012
1261,5011.44166,5000.808702,99.145238,PF_D2_30A_HM299,,,13/07/2012
1262,5011.651863,5000.911766,99.179168,PF_D2_30A_HM300,,,13/07/2012
1263,5010.8627,5001.336159,99.094648,EL_C1_30_N,,,13/07/2012
1264,5010.154043,5000.694061,99.088756,EL_C1_30_W,,,13/07/2012
1265,5010.291966,5001.225497,99.063448,EL_C1_30_C,,,13/07/2012
1266,5011.909774,5001.438903,99.151178,PF_E2_30A_L1302,,,13/07/2012
1267,5011.57815,5001.115744,99.153729,PF_E230A_C14X164,,,13/07/2012
1268,5010.947363,5001.457482,99.119619,PF_D1_30_L1303,,,13/07/2012
1269,5011.506202,4999.168004,99.134391,EL_B3_31_N,,,13/07/2012
1270,5010.888594,4999.144795,99.147659,EL_B3_31_C,,,13/07/2012
1271,5010.856019,4999.819189,99.077766,EL_B3_31A_E,,,13/07/2012
1272,5010.851388,4998.53252,99.167543,EL_B3_31B_W,,,13/07/2012
1273,5011.427418,5001.433999,99.133839,PF_D2_30B_L1304,,,13/07/2012
1274,5011.256435,5001.978913,99.077771,PF_D1_30_L1289,,,13/07/2012
1275,5011.094555,5001.656383,99.089396,PF_D1_30_L1290,,,13/07/2012
1276,5011.633251,5001.983607,99.082652,EL_D1_30_N,,,13/07/2012
1277,5011.473121,5002.187225,99.078217,EL_D1_30_E,,,13/07/2012
1278,5010.661913,5001.592466,99.072918,EL_D1_30_S,,,13/07/2012
1279,5010.926943,5001.337689,99.095673,EL_D1_30_W,,,13/07/2012
1280,5012.328771,5001.241534,99.118486,EL_D2_30_N,,,13/07/2012
1281,5011.652212,5001.962826,99.081271,EL_D2_30_E,,,13/07/2012
1282,5010.938386,5001.280105,99.094977,EL_D2_30_S,,,13/07/2012
1283,5011.592369,5000.627255,99.145317,EL_D2_30_W,,,13/07/2012
1284,5011.588033,5001.207348,99.103282,EL_D2_30_C,,,13/07/2012
1285,5010.328441,5000.119197,99.047472,PF_B2_31_HM301,,,13/07/2012
