Name,Northing,Easting,Elevation,Description,Date Taken
1580,5010.756915,4985.482238,100.504288,CHECK160712,16/07/2012
1581,5012.458808,5000.081415,98.996351,PF_D3_33_L1353,16/07/2012
1582,5012.469863,5000.063179,99.017061,PF_D3_33_L1354,16/07/2012
1583,5010.979077,4999.029818,98.920121,PF_B3_35_L1355,16/07/2012
1584,5011.493294,4999.181387,98.897643,EL_B3_35_N,16/07/2012
1585,5010.798934,4999.898502,98.903997,EL_B3_35_E,16/07/2012
1586,5010.828413,4998.565299,98.910504,EL_B3_35_W,16/07/2012
1587,5010.800269,4999.232822,98.909787,EL_B3_35_C,16/07/2012
1588,5012.242913,4999.886006,98.99602,EL_C3_33_N,16/07/2012
1589,5011.588058,5000.541682,98.948828,EL_C3_33_E,16/07/2012
1590,5010.84359,4999.925288,98.959071,EL_C3_33_S,16/07/2012
1591,5011.504693,4999.247557,99.01935,EL_C3_33_W,16/07/2012
1592,5011.585617,4999.917691,98.964756,EL_C3_33_C,16/07/2012
1593,5012.659624,5000.713226,98.96751,PF_D3_33_L1356,16/07/2012
1594,5011.944165,5000.449322,98.993435,PF_D3_33_L1357,16/07/2012
1595,5011.416007,5002.236697,98.925001,PF_D1_33_HM309,16/07/2012
1596,5011.133526,4999.024867,98.856671,PF_B3_36_L1358,16/07/2012
1597,5011.502825,5002.043828,98.921282,PF_D1_33_C14X173,16/07/2012
1598,5012.891406,5000.51809,98.958433,EL_D3_33_N,16/07/2012
1599,5012.386217,5001.178104,98.929753,EL_D3_33_E,16/07/2012
1600,5011.625531,5000.605058,98.943356,EL_D3_33_S,16/07/2012
1601,5012.274546,4999.893495,98.975606,EL_D3_33_W,16/07/2012
1602,5012.284023,5000.530707,98.966369,EL_D3_33_C,16/07/2012
1603,5010.919279,4999.605925,98.854377,PF_B3_36_L1359,16/07/2012
1604,5011.004283,5001.743832,98.94057,PF_D1_33_C14X174,16/07/2012
1605,5010.770345,4999.747208,98.827084,PF_B3_37_R58,16/07/2012
1606,5010.710756,4999.726355,98.788028,PF_B3_37_R58,16/07/2012
1607,5010.886675,4999.652121,98.843496,PF_B3_37_R58,16/07/2012
1608,5010.882972,4999.55139,98.850167,PF_B3_37_R58,16/07/2012
1609,5010.814903,4999.621228,98.765563,PF_B3_37_R58,16/07/2012
1610,5010.746929,4999.70263,98.766969,PF_B3_37_R58,16/07/2012
1611,5010.809521,4999.874701,98.915893,PF_B3_37_R58,16/07/2012
1612,5010.813687,4999.640406,98.903644,PF_B3_37_R58,16/07/2012
1613,5010.455663,5000.008192,98.94894,PF_B2_33_C14X175,16/07/2012
1614,5010.454709,5000.309459,98.953941,PF_B2_33_L1360,16/07/2012
1615,5010.373552,5000.505216,98.919165,PF_C2_33A_L1361,16/07/2012
1616,5010.432867,5000.611767,98.923324,PF_C2_33A_HM310,16/07/2012
1617,5011.627833,5001.996245,98.931753,EL_D1_33_N,16/07/2012
1618,5010.901106,5001.415665,98.945101,EL_D1_33_W,16/07/2012
1619,5011.41629,5002.241958,98.912814,EL_D1_33_E,16/07/2012
1620,5010.657298,5001.688029,98.929465,EL_D1_33_S,16/07/2012
1621,5010.865972,5001.076907,98.926697,PF_C2_33A_HM311,16/07/2012
1622,5010.693932,5001.027615,98.91873,PF_C2_33A_L1362,16/07/2012
1623,5011.553742,4999.151927,98.818195,EL_B3_37_N,16/07/2012
1624,5010.790157,4999.77656,98.788112,EL_B3_37_E,16/07/2012
1625,5010.866498,4998.55013,98.782685,EL_B3_37_W,16/07/2012
1626,5010.820103,4999.269041,98.782445,EL_B3_37_C,16/07/2012
1627,5010.771192,4999.970274,98.918165,EL_B2_33_N,16/07/2012
1628,5010.160644,5000.632332,98.903839,EL_B2_33_E,16/07/2012
1629,5009.482455,4999.931912,98.919585,EL_B2_33_S,16/07/2012
1630,5009.841067,5000.242197,98.902923,PF_B2_33_L1363,16/07/2012
1631,5009.778567,5000.053321,98.918223,PF_B2_33_C14X176,16/07/2012
1632,5010.46706,5000.711265,98.919934,PF_C2_33A_HM312,16/07/2012
1633,5010.627921,5000.920578,98.913125,P_C2_33A_C14X177,16/07/2012
1634,5011.056123,5001.276938,98.98766,P_D2_33_C14X178,16/07/2012
1635,5010.884967,4999.763271,98.716423,P_B3_38_L1364,16/07/2012
1636,5010.828182,4998.602481,98.749681,P_B3_38_L1365,16/07/2012
1637,5011.995707,5001.246259,98.974977,PF_D2_33_HM313,16/07/2012
1638,5011.949043,5001.461585,98.981493,PF_D2_33_HM314,16/07/2012
1639,5011.544262,4999.147535,98.75123,EL_B3_38_N,16/07/2012
1640,5010.753593,4999.82745,98.756197,EL_B3_38_E,16/07/2012
1641,5010.842018,4998.586228,98.743263,EL_B3_38_W,16/07/2012
1642,5010.79848,4999.233622,98.744453,EL_B3_38_C,16/07/2012
1643,5010.090866,5000.674501,98.883065,EL_B1_33_N,16/07/2012
1644,5009.792679,5000.965065,98.882576,EL_B1_33_E,16/07/2012
1645,5009.368044,5000.104372,98.902372,EL_B1_33_S,16/07/2012
1646,5009.66363,4999.702587,98.9559,EL_B1_33_W,16/07/2012
1647,5009.580232,5000.496706,98.882558,EL_B1_33_C,16/07/2012
1648,5010.872234,4998.606082,98.693103,PF_B3_39_L1366,16/07/2012
1649,5011.109408,4999.081889,98.68603,PF_B3_39_L1367,16/07/2012
1650,5011.124746,5001.148715,99.001493,PF_C2_33_ART9,16/07/2012
1651,5010.929746,5001.149152,99.006466,PF_C2_33_ART9,16/07/2012
1652,5010.960927,5001.04961,99.008557,PF_C2_33_ART9,16/07/2012
1653,5011.093406,5001.013602,99.014015,PF_C2_33_ART9,16/07/2012
1654,5011.029434,5001.092914,98.990906,PF_C2_33_ART9,16/07/2012
1655,5011.267326,5001.145911,98.995688,PF_D2_33_ART9,16/07/2012
1656,5010.931032,5001.215696,98.960507,PF_C2_33A_L1368,16/07/2012
1657,5010.916769,5001.176306,98.959698,PF_C2_33A_L1369,16/07/2012
1658,5010.960472,5001.168819,98.959302,P_C2_33A_C14X179,16/07/2012
1659,5011.380488,5001.102809,98.984806,PF_D2_33_L1370,16/07/2012
1660,5011.56079,5001.061706,98.980185,PF_D2_33_L1371,16/07/2012
1661,5011.653289,5001.208228,99.00934,PF_D2_33_L1372,16/07/2012
1662,5011.405142,5001.052023,98.956985,PF_D2_33_L1373,16/07/2012
1663,5011.51215,4999.166605,98.699973,EL_B3_39_N,16/07/2012
1664,5010.769868,4999.812351,98.693259,EL_B3_39_E,16/07/2012
1665,5010.847384,4998.555873,98.692067,EL_B3_39_W,16/07/2012
1666,5010.821975,4999.201815,98.690391,EL_B3_39_C,16/07/2012
1667,5011.627774,5001.070268,98.944999,PF_D2_33_L1374,16/07/2012
1668,5011.656708,5001.246475,98.943501,PF_D2_33_L1375,16/07/2012
1669,5011.637992,5001.212451,98.940063,PF_D2_33_C14X180,16/07/2012
1670,5011.568362,5000.560407,98.938718,EL_C2_33_N,16/07/2012
1671,5010.855076,5001.337381,98.916934,EL_C2_33A_E,16/07/2012
1672,5010.169279,5000.682612,98.892791,EL_C2_33A_S,16/07/2012
1673,5010.998689,5000.083083,98.933675,EL_C2_33_W,16/07/2012
1674,5010.897159,5000.651988,98.929403,EL_C2_33_C,16/07/2012
1675,5011.092681,5001.13214,98.948836,PF_D2_33A_L1376,16/07/2012
1676,5011.154048,5001.218094,98.947211,PF_D2_33A_L1377,16/07/2012
1677,5011.155829,5001.433307,98.974508,PF_D2_33A_L1378,16/07/2012
1678,5011.379683,5001.397234,98.926347,PF_D2_33A_L1379,16/07/2012
1679,5011.689515,5001.724398,98.941431,PF_D2_33A_L1380,16/07/2012
1680,5011.481487,5001.626659,98.95925,P_D2_33A_C14X181,16/07/2012
1681,5011.119013,5001.156792,98.928455,P_D2_33A_HM315,16/07/2012
1682,5010.185955,5001.087318,98.880799,PF_C1_33_L1381,16/07/2012
1683,5010.867042,4999.696024,98.674011,PF_B3_40_L1382,16/07/2012
1684,5010.563022,4998.899852,98.657377,PF_B3_40_L1383,16/07/2012
1685,5011.069966,4999.141925,98.664619,PF_B3_40_HM316,16/07/2012
1686,5011.492692,5001.480728,98.954745,PF_D2_33_HM317,16/07/2012
1687,5011.005946,5001.27184,98.947131,PF_D2_33_HM318,16/07/2012
1688,5011.414462,4999.171931,98.665924,EL_B3_40_N,16/07/2012
1689,5010.800517,4999.83688,98.614441,EL_B3_40_E,16/07/2012
1690,5010.822783,4998.587352,98.654267,EL_B3_40_W,16/07/2012
1691,5010.844982,4999.252987,98.650401,EL_B3_40_C,16/07/2012
1692,5011.029087,5001.410654,98.93684,PF_D2_33A_HM319,16/07/2012
