Name,Northing,Easting,Elevation,Description
1,5013.038383,4997.840727,100.739809,SL_B5_N
2,5012.673840,4998.172274,100.717711,SL_B5_E
3,5012.134649,4997.413832,100.740733,SL_B5_S
4,5012.361651,4997.157432,100.773055,SL_B5_W
5,5012.590519,4997.627263,100.746284,SL_B5_C
6,5013.740448,4997.140609,100.739955,SL_B6_N
7,5013.079193,4997.793239,100.743502,SL_B6_E
8,5012.427102,4997.139959,100.770381,SL_B6_S
9,5013.101404,4996.543155,100.734767,SL_B6_W
10,5013.065403,4997.162351,100.738748,SL_B6_C
11,5014.495946,4997.825316,100.718411,SL_C6_N
12,5013.760276,4998.506134,100.740166,SL_C6_E
13,5013.127296,4997.853308,100.744249,SL_C6_S
14,5013.805285,4997.185906,100.734725,SL_C6_W
15,5013.726754,4997.780288,100.739471,SL_C6_C
16,5013.729894,4998.535452,100.752245,SL_C5_N
17,5013.387884,4998.854053,100.756967,SL_C5_E
18,5012.763782,4998.220024,100.725788,SL_C5_S
19,5013.075472,4997.898596,100.742326,SL_C5_W
20,5013.201027,4998.369031,100.753206,SL_C5_C
21,5013.204009,4996.772950,100.720061,PF_B6_1_L1911
22,5013.283553,4996.865088,100.726783,PF_B6_1_L1912
23,5013.404063,4996.848941,100.729464,PF_B6_1_L1913
24,5013.441030,4997.069346,100.722707,PF_B6_1_L1914
25,5013.211665,4996.954803,100.723943,PF_B6_1_L1915
26,5013.323391,4996.991174,100.721683,PF_B6_1_L1916
27,5013.940066,4997.425414,100.736607,PF_C6_1_L1917
28,5013.686159,4997.636007,100.710278,PF_C6_1_L1918
29,5013.261340,4996.741413,100.711263,PF_B6_1_L1920
30,5012.882517,4998.234368,100.729597,PF_C5_1_L1919
31,5013.251331,4997.053042,100.725489,PF_B6_1_L1921
32,5013.671229,4997.570779,100.700864,PF_C6_1_L1922
33,5013.135830,4996.641818,100.712241,PF_B6_1_GLASS10
34,5012.844987,4996.820305,100.709711,PF_B6_1_GLASS11
35,5013.595771,4997.526861,100.699897,PF_C6_1_L1923
36,5013.180278,4996.837877,100.711451,PF_B6_1_L1924
37,5014.024676,4997.524258,100.717127,PF_C6_1_GLASS12
38,5012.884297,4997.247410,100.707435,PF_B6_1_C14X232
39,5013.053219,4997.847578,100.714142,EL_B5_1_N
40,5012.676068,4998.210201,100.694523,EL_B5_1_E
41,5011.982387,4997.495568,100.735211,EL_B5_1_S
42,5012.367767,4997.135166,100.735318,EL_B5_1_W
43,5012.557004,4997.655604,100.711296,EL_B5_1_C
44,5013.734709,4997.121220,100.696256,EL_B6_1_N
45,5013.070563,4997.774189,100.710546,EL_B6_1_E
46,5012.412756,4997.142957,100.730067,EL_B6_1_S
47,5013.079329,4996.497028,100.711906,EL_B6_1_W
48,5013.069530,4997.122550,100.701539,EL_B6_1_C
49,5014.245392,4997.612795,100.703290,PF_C6_1_L1925
50,5013.662343,4997.948310,100.708726,PF_C6_1_C14X233
51,5012.909409,4998.405855,100.685131,PF_C5_1_C14X234
52,5013.256991,4998.620781,100.716407,PF_C5_1_H 414
53,5013.734960,4998.547431,100.731317,EL_C5_1_N
54,5013.339328,4998.896972,100.711815,EL_C5_1_E
55,5012.692454,4998.238706,100.688589,EL_C5_1_S
56,5013.069067,4997.863223,100.708560,EL_C5_1_W
57,5013.256878,4998.395420,100.707056,EL_C5_1_C
58,5014.487947,4997.827320,100.697814,EL_C6_1_N
59,5013.758386,4998.534134,100.732642,EL_C6_1_E
60,5013.100646,4997.849605,100.710161,EL_C6_1_S
61,5013.769964,4997.157549,100.707884,EL_C6_1_W
62,5013.691969,4997.870412,100.699171,EL_C6_1_C
63,5013.252329,4997.189975,100.681639,PF_B6_2_C14X235
64,5013.490615,4997.019855,100.677737,PF_B6_2_L1926
65,5013.674538,4997.649653,100.681442,PF_C6_2_L1927
66,5012.518863,4997.874793,100.706711,PF_B5_2_L1928
67,5012.458392,4997.801091,100.712089,PF_B5_2_L1929
68,5012.798529,4997.875647,100.690458,PF_B5_2_C14X236
69,5012.586258,4997.954246,100.701970,PF_B5_2_C14X237
70,5013.854084,4997.312949,100.677498,PF_C6_2_C14X238
71,5013.485035,4997.332492,100.683557,PF_C6_2_C14X239
72,5013.226976,4996.718980,100.691487,PF_B6_2_L1930
73,5013.011570,4998.434601,100.668156,PF_C5_2_AB6
74,5013.005452,4998.390170,100.658841,PF_C5_2_AB6
75,5013.010735,4998.048403,100.696666,PF_C5_2_C14X240
76,5013.095018,4996.586340,100.680395,PF_B6_2_L1931
77,5013.645457,4997.759305,100.656981,PF_C6_2_C14X241
78,5012.440023,4997.442440,100.714857,PF_B5_2_L1932
79,5013.682259,4997.857881,100.678981,PF_C6_2_L1933
80,5014.024824,4998.186453,100.705014,PF_C6_2_C14X242
81,5013.730403,4997.128045,100.672561,EL_B6_2_N
82,5013.065782,4997.799582,100.672903,EL_B6_2_E
83,5012.419703,4997.133296,100.687752,EL_B6_2_S
84,5013.084788,4996.553800,100.676345,EL_B6_2_W
85,5013.056132,4997.153676,100.675474,EL_B6_2_C
86,5013.476896,4998.542758,100.683903,PF_C5_2_L1934
87,5013.708340,4998.550882,100.698123,EL_C5_2_N
88,5013.282720,4998.949752,100.692762,EL_C5_2_E
89,5012.684922,4998.258726,100.658725,EL_C5_2_S
90,5013.064369,4997.868782,100.674937,EL_C5_2_W
91,5013.214146,4998.402602,100.665383,EL_C5_2_C
92,5013.057806,4997.839270,100.671702,EL_B5_2_N
93,5012.666965,4998.201102,100.665187,EL_B5_2_E
94,5012.018893,4997.472773,100.698001,EL_B5_2_S
95,5012.376923,4997.139488,100.695598,EL_B5_2_W
96,5012.545436,4997.610196,100.673554,EL_B5_2_C
97,5014.472787,4997.810060,100.659093,EL_C6_2_N
98,5013.773331,4998.518520,100.692241,EL_C6_2_E
99,5013.094100,4997.837425,100.673816,EL_C6_2_S
100,5013.802610,4997.158481,100.662542,EL_C6_2_W
101,5013.679554,4997.937712,100.671146,EL_C6_2_C
102,5013.329623,4996.781541,100.650098,PF_B6_3_L1935
103,5013.476288,4996.876165,100.634901,PF_B6_3_L1936
104,5014.311005,4997.674040,100.648494,PF_C6_3_L1937
105,5013.260825,4997.201887,100.660214,PF_B6_3_L1938
106,5013.279772,4998.860686,100.648786,PF_C5_3_C14X243
107,5013.404908,4998.602446,100.654696,PF_C5_3_C14X244
108,5013.438582,4998.683869,100.661369,PF_C5_3_HM415
109,5014.024759,4997.987931,100.665745,PF_C6_3_C14X245
110,5012.755487,4997.617892,100.655082,PF_B5_3_L1939
111,5012.703854,4997.539431,100.654952,PF_B5_3_L1940
112,5012.964046,4997.268219,100.665119,PF_B6_3_C14X246
113,5013.226913,4997.153173,100.647916,PF_B6_3_C14X247
114,5014.185802,4997.713555,100.639364,PF_C6_3_L1941
115,5013.039356,4996.610229,100.658939,PF_B6_3_C14X248
116,5013.264097,4997.255616,100.649548,PF_B6_3_L1942
117,5013.461696,4998.406579,100.654155,PF_C5_3_L1943
118,5013.482941,4998.601201,100.659005,PF_C5_3_C14X249
119,5013.089413,4998.293224,100.627806,PF_C5_3_C14X250
120,5014.062147,4997.604848,100.637214,PF_C6_3_L1944
121,5012.305465,4997.392968,100.654034,PF_B5_3_C14X251
122,5013.025789,4997.986825,100.642454,PF_C5_3_CP1
123,5013.702524,4997.511612,100.647960,PF_C6_3_C14X252
124,5013.473946,4997.552897,100.659138,PF_C6_3_L1945
125,5013.591052,4997.771303,100.641794,PF_C6_3_L1946
126,5013.740006,4997.962268,100.650189,PF_C6_3_L1947
127,5013.473432,4997.731221,100.658503,PF_C6_3_L1948
128,5013.637843,4997.807738,100.629761,PF_C6_3_L1949
129,5013.814920,4998.044611,100.657370,PF_C6_3_L1950
130,5013.774730,4998.011594,100.651064,PF_C6_3_L1951
131,5013.654754,4998.313505,100.641082,PF_C6_3_L1952
132,5013.527478,4997.767406,100.648779,PF_C6_3_L1953
133,5013.153225,4998.370623,100.626738,PF_C5_3_TOOTH10
134,5013.236485,4998.533041,100.705732,PF_C5_3_R94
135,5013.202563,4998.464771,100.673974,PF_C5_3_R94
136,5013.274844,4998.445745,100.671693,PF_C5_3_R94
137,5013.280921,4998.528093,100.687109,PF_C5_3_R94
138,5013.254694,4998.489754,100.693057,PF_C5_3_R94
139,5013.255839,4998.496404,100.637706,PF_C5_3_R94
140,5013.708859,4997.122494,100.632725,EL_B6_3_N
141,5013.055581,4997.763561,100.626983,EL_B6_3_E
142,5012.397957,4997.132836,100.642905,EL_B6_3_S
143,5013.076743,4996.516468,100.637948,EL_B6_3_W
144,5013.097609,4997.120708,100.631593,EL_B6_3_C
145,5013.784552,4998.057827,100.642189,PF_C6_3_L1954
146,5013.806024,4998.077274,100.643219,PF_C6_3_L1955
147,5013.049482,4997.830692,100.646909,EL_B5_3_N
148,5012.651672,4998.222268,100.629623,EL_B5_3_E
149,5012.057769,4997.476116,100.658443,EL_B5_3_S
150,5012.370742,4997.155026,100.658498,EL_B5_3_W
151,5012.573670,4997.635929,100.636095,EL_B5_3_C
152,5014.469673,4997.816797,100.636459,EL_C6_3_N
153,5013.762479,4998.503265,100.656106,EL_C6_3_E
154,5013.088086,4997.850959,100.639882,EL_C6_3_S
155,5013.791359,4997.187197,100.642930,EL_C6_3_W
156,5013.732513,4997.843269,100.634998,EL_C6_3_C
157,5013.727972,4998.545122,100.657419,EL_C5_3_N
158,5013.285109,4998.944574,100.635329,EL_C5_3_E
159,5012.697814,4998.250355,100.625771,EL_C5_3_S
160,5013.072446,4997.864430,100.640471,EL_C5_3_W
161,5013.188140,4998.390871,100.633264,EL_C5_3_C
162,5013.393616,4998.025714,100.641335,PF_C6_3_R95
163,5013.564045,4998.043810,100.644822,PF_C6_3_R95
164,5013.486534,4997.991698,100.634815,PF_C6_3_R95
165,5013.482925,4998.080435,100.644852,PF_C6_3_R95
166,5013.497292,4998.042067,100.677313,PF_C6_3_R95
167,5013.512664,4998.042310,100.604139,PF_C6_3_R95
168,5014.219956,4997.825387,100.634853,PF_C6_3_R96
169,5014.271485,4997.728810,100.635872,PF_C6_3_R96
170,5014.266185,4997.787048,100.634010,PF_C6_3_R96
171,5014.217897,4997.775665,100.619175,PF_C6_3_R96
172,5014.244438,4997.765262,100.649429,PF_C6_3_R96
173,5014.224043,4997.809715,100.617781,PF_C6_3_R96
174,5014.229580,4997.812949,100.616423,PF_C6_3_R96
175,5012.965705,4998.325816,100.610756,PF_C5_3_GS50
176,5013.376069,4997.346657,100.618574,PF_B6_4_L1956
177,5012.421824,4997.443940,100.619675,PF_B5_4_C14X253
178,5013.468118,4997.982847,100.612945,PF_C6_4_L1957
179,5013.448433,4997.833946,100.613919,PF_C6_4_L1958
180,5013.423336,4997.766146,100.624239,PF_C6_4_L1959
181,5013.526667,4997.170204,100.605475,PF_B6_4_L1960
